field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,atlas_candidate,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error,objective_id
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_4h,L0_raw_forward_return,1,-1.0,3,True,0.9961093612799835,0.00041569653420190473,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,715,-0.0003691707649911649,-2.005322164574547,-2.005322164574547,-2.005322164574547,0.45314685314685316,719,-0.00015535237553188512,-1.3492143077578687,-1.3492143077578687,-1.3492143077578687,0.44367176634214184,719,-0.0003082954688134235,-2.045209022569764,-2.045209022569764,-2.045209022569764,0.4631432545201669,719,-0.00032966563698519856,-1.0552105868591073,-1.0552105868591073,-1.0552105868591073,0.4756606397774687,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_4h_L0_raw_forward_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_4h,L1_cross_sectional_relative_return,1,-1.0,3,True,0.9961093612799838,0.00041569653420190457,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,715,-0.0003691707649911649,-2.005322164574547,-2.005322164574547,-2.005322164574547,0.45314685314685316,719,-0.00015535237553188512,-1.3492143077578687,-1.3492143077578687,-1.3492143077578687,0.44367176634214184,719,-0.0003082954688134235,-2.045209022569764,-2.045209022569764,-2.045209022569764,0.4631432545201669,719,-0.00032966563698519856,-1.0552105868591073,-1.0552105868591073,-1.0552105868591073,0.4756606397774687,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_4h_L1_cross_sectional_relative_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_4h,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.7639341475927466,0.0004094783851478754,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,715,-0.0003323453061317301,-1.9245217786026019,-1.9245217786026019,-1.9245217786026019,0.46153846153846156,719,-0.00020486740427764791,-1.8204735524813507,-1.8204735524813507,-1.8204735524813507,0.4520166898470097,719,-0.00033770099811450036,-2.2979280272783074,-2.2979280272783074,-2.2979280272783074,0.45897079276773295,719,-0.000428099144081131,-1.3906748702047496,-1.3906748702047496,-1.3906748702047496,0.4756606397774687,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_4h_L3_liquidity_tier_relative_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_4h,L5_vol_adjusted_return,1,-1.0,3,True,0.6742270188229625,0.005965303481351292,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,715,-0.035194686047851045,-3.1986128037016095,-3.1986128037016095,-3.1986128037016095,0.43356643356643354,719,-0.034178822411362046,-3.338354539855852,-3.338354539855852,-3.338354539855852,0.4339360222531293,719,-0.032931022992147056,-2.381287344511296,-2.381287344511296,-2.381287344511296,0.4575799721835883,719,-0.0627146767160525,-3.0278132907203394,-3.0278132907203394,-3.0278132907203394,0.4603616133518776,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_4h_L5_vol_adjusted_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_24h,L0_raw_forward_return,1,-1.0,3,True,0.9898804441549289,0.0006224543351392595,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,695,-0.00042653106991415483,-2.237376197880101,-2.237376197880101,-2.237376197880101,0.45323741007194246,719,-0.0001374165402449341,-1.2066934815705332,-1.2066934815705332,-1.2066934815705332,0.47844228094575797,719,-0.0005380807863984456,-3.5354566556602065,-3.5354566556602065,-3.5354566556602065,0.4297635605006954,719,-0.0005963899346320507,-1.9271735880660974,-1.9271735880660974,-1.9271735880660974,0.4812239221140473,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_24h_L0_raw_forward_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_24h,L1_cross_sectional_relative_return,1,-1.0,3,True,0.989880444154929,0.0006224543351392595,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,695,-0.000426531069914155,-2.2373761978801023,-2.2373761978801023,-2.2373761978801023,0.45323741007194246,719,-0.000137416540244934,-1.2066934815705326,-1.2066934815705326,-1.2066934815705326,0.47844228094575797,719,-0.0005380807863984455,-3.535456655660206,-3.535456655660206,-3.535456655660206,0.4297635605006954,719,-0.0005963899346320506,-1.927173588066097,-1.927173588066097,-1.927173588066097,0.4812239221140473,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_24h_L1_cross_sectional_relative_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_24h,L3_liquidity_tier_relative_return,1,-1.0,3,True,0.9383903976265864,0.0005659927330533075,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,695,-0.0004997706144441277,-2.741941995710621,-2.741941995710621,-2.741941995710621,0.44316546762589926,719,-0.0001505720123662349,-1.3866597759335384,-1.3866597759335384,-1.3866597759335384,0.4728789986091794,719,-0.0005186155532462741,-3.513271350602905,-3.513271350602905,-3.513271350602905,0.4325452016689847,719,-0.0006358067532407041,-2.092766051446464,-2.092766051446464,-2.092766051446464,0.48400556328233657,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_24h_L3_liquidity_tier_relative_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_24h,L5_vol_adjusted_return,1,-1.0,3,True,0.7251254595701799,0.04716415969476738,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,695,-0.033974473608018974,-3.0882509525748554,-3.0882509525748554,-3.0882509525748554,0.4330935251798561,719,-0.025645104182918883,-2.390736894903998,-2.390736894903998,-2.390736894903998,0.45479833101529904,719,-0.05390450829761639,-4.012118472128077,-4.012118472128077,-4.012118472128077,0.4283727399165508,719,-0.08683948621805726,-4.318800277797495,-4.318800277797495,-4.318800277797495,0.4520166898470097,95.86666666666666,,core16e_basis_premium_premium_close_bps_delta_24h_L5_vol_adjusted_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,zscore_72h,L0_raw_forward_return,1,-1.0,3,True,0.8626575641035085,0.0003671540272744097,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,696,-0.00033179700497215474,-1.8734968342160643,-1.8734968342160643,-1.8734968342160643,0.4525862068965517,719,-0.0001387164250338793,-1.314039099200845,-1.314039099200845,-1.314039099200845,0.4534075104311544,719,-0.0003020736821954781,-2.2703359583709126,-2.2703359583709126,-2.2703359583709126,0.4561891515994437,719,-0.0007911407326714516,-3.164194946543498,-3.164194946543498,-3.164194946543498,0.44923504867872044,95.59583333333333,,core16e_basis_premium_premium_close_bps_zscore_72h_L0_raw_forward_return_h1
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,zscore_72h,L1_cross_sectional_relative_return,1,-1.0,3,True,0.8626575641035086,0.0003671540272744097,True,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_OK,696,-0.0003317970049721548,-1.8734968342160647,-1.8734968342160647,-1.8734968342160647,0.4525862068965517,719,-0.0001387164250338793,-1.314039099200845,-1.314039099200845,-1.314039099200845,0.4534075104311544,719,-0.0003020736821954781,-2.2703359583709126,-2.2703359583709126,-2.2703359583709126,0.4561891515994437,719,-0.0007911407326714516,-3.164194946543498,-3.164194946543498,-3.164194946543498,0.44923504867872044,95.59583333333333,,core16e_basis_premium_premium_close_bps_zscore_72h_L1_cross_sectional_relative_return_h1
