level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,expression,skeleton_key,production_key,blueprint_id
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,level,,open_interest_last,skel_ca36cd3eaf5a3a94,prod_bbed286d580956df,a7ff55r3_bbbd5285e33d0ad8
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,delta_4h,,"Delta(open_interest_last,4)",skel_1d39996e97d5ace0,prod_802bd60c79b560b7,a7ff55r3_1e3b86a259d800e6
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,mean_4h,,"Mean(open_interest_last,4)",skel_1d39996e97d5ace0,prod_f90e652870ea376d,a7ff55r3_975ba475a2fd2db7
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,zmean_4h,,"ZScore(Mean(open_interest_last,4))",skel_a311ee3fdacdeca2,prod_c861159160905671,a7ff55r3_10367d55d99f826b
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,delta_8h,,"Delta(open_interest_last,8)",skel_1d39996e97d5ace0,prod_7e0a7071bc6dfc74,a7ff55r3_ee6bbabd05eab8e3
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,mean_8h,,"Mean(open_interest_last,8)",skel_1d39996e97d5ace0,prod_4503e957b217aa7f,a7ff55r3_cac8e24a9e935b66
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,zmean_8h,,"ZScore(Mean(open_interest_last,8))",skel_a311ee3fdacdeca2,prod_7c3c4b249d75b995,a7ff55r3_a5a3fcbe929ec068
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,delta_24h,,"Delta(open_interest_last,24)",skel_1d39996e97d5ace0,prod_e429bfb85c701ecd,a7ff55r3_a381e1136fa161f1
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,mean_24h,,"Mean(open_interest_last,24)",skel_1d39996e97d5ace0,prod_b328e6194f5f41d3,a7ff55r3_f779a6623a3e6b14
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,open_interest_like,single,open_interest_last,,open_interest_like,,zmean_24h,,"ZScore(Mean(open_interest_last,24))",skel_a311ee3fdacdeca2,prod_fb2f7c01646523d2,a7ff55r3_4497feb0aa82f077
