level,candidate_role,generation_priority,semantic_pair,motif,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_transform,secondary_transform,expression,skeleton_key,production_key,blueprint_id,company_shard
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,mean_4h,,"Mean(liquidity_rank_active_universe,4)",skel_1d39996e97d5ace0,prod_5a137b6ad1fbc945,a7ff55r3_00439980e4a31870,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,delta_8h,,"Delta(trade_volume,8)",skel_1d39996e97d5ace0,prod_c147bbfd307d8412,a7ff55r3_047246911d3b2031,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,zmean_8h,,"ZScore(Mean(log_quote_volume_168h,8))",skel_a311ee3fdacdeca2,prod_83a668e004082c66,a7ff55r3_04bfc70549eef806,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,delta_4h,,"Delta(trade_count,4)",skel_1d39996e97d5ace0,prod_beff23ba9ccc9689,a7ff55r3_0d2000ebd15b7032,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,volume_volatility_ratio_168h,,liquidity_like,,delta_24h,,"Delta(volume_volatility_ratio_168h,24)",skel_1d39996e97d5ace0,prod_018857548bed7ba5,a7ff55r3_0d8c561727594ac2,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,zmean_24h,,"ZScore(Mean(trade_quote_volume,24))",skel_a311ee3fdacdeca2,prod_28753bf807960f0f,a7ff55r3_10643f012f22b237,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,median_quote_volume_168h,,liquidity_like,,delta_4h,,"Delta(median_quote_volume_168h,4)",skel_1d39996e97d5ace0,prod_96f156f20094dd7c,a7ff55r3_10dd87ec1d0502cf,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,mean_24h,,"Mean(log_quote_volume_168h,24)",skel_1d39996e97d5ace0,prod_f486528fca0d94b6,a7ff55r3_1151a375ac919483,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count_168h,,liquidity_like,,zmean_8h,,"ZScore(Mean(trade_count_168h,8))",skel_a311ee3fdacdeca2,prod_98bd97669479cd11,a7ff55r3_123f4f23feada1c9,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count_168h,,liquidity_like,,zmean_4h,,"ZScore(Mean(trade_count_168h,4))",skel_a311ee3fdacdeca2,prod_e503d5a1ca2b85d3,a7ff55r3_1279e68bbb232c79,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,delta_8h,,"Delta(trade_count,8)",skel_1d39996e97d5ace0,prod_5fcf129bc16f5a2a,a7ff55r3_161b740e47dbc95e,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,mean_8h,,"Mean(trade_count,8)",skel_1d39996e97d5ace0,prod_4ed069967ddd7db8,a7ff55r3_161c4b258dc53c01,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,age_x_liquidity,,liquidity_like,,zmean_8h,,"ZScore(Mean(age_x_liquidity,8))",skel_a311ee3fdacdeca2,prod_61ffd582c31f49b7,a7ff55r3_1c9200cea7950cb8,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,volume_volatility_ratio_168h,,liquidity_like,,zmean_4h,,"ZScore(Mean(volume_volatility_ratio_168h,4))",skel_a311ee3fdacdeca2,prod_518856ffa782636f,a7ff55r3_1d83412b8c8e3b3d,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,delta_4h,,"Delta(liquidity_rank_active_universe,4)",skel_1d39996e97d5ace0,prod_aa4f3be59f09e8b0,a7ff55r3_1f314ed12c341ea5,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,delta_72h,,"Delta(liquidity_rank_active_universe,72)",skel_1d39996e97d5ace0,prod_d78b3839f336eed4,a7ff55r3_22fb1a05dcee9007,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,mean_8h,,"Mean(liquidity_rank_active_universe,8)",skel_1d39996e97d5ace0,prod_e7f02ce609b8075e,a7ff55r3_26496c85242f3f61,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,age_x_liquidity,,liquidity_like,,zmean_4h,,"ZScore(Mean(age_x_liquidity,4))",skel_a311ee3fdacdeca2,prod_445c1470cb7c3eac,a7ff55r3_277eebac43baf473,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,mean_4h,,"Mean(trade_quote_volume,4)",skel_1d39996e97d5ace0,prod_d8bf47a36f72af65,a7ff55r3_2eb852791ae842a7,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,zmean_8h,,"ZScore(Mean(trade_volume,8))",skel_a311ee3fdacdeca2,prod_3f8a6bd9b1c32be8,a7ff55r3_31d075458211d71d,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,delta_24h,,"Delta(liquidity_rank_active_universe,24)",skel_1d39996e97d5ace0,prod_780b37a9a5c6b45f,a7ff55r3_327fcc8e57a38686,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,level,,trade_count,skel_ca36cd3eaf5a3a94,prod_3526f1884c5c90b5,a7ff55r3_32ef23b1b1494541,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count_168h,,liquidity_like,,mean_4h,,"Mean(trade_count_168h,4)",skel_1d39996e97d5ace0,prod_0e1d21a964b809df,a7ff55r3_3759dd589f4abe77,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,delta_24h,,"Delta(trade_volume,24)",skel_1d39996e97d5ace0,prod_2daf351a7df1e5cb,a7ff55r3_384d196fd66fc4a7,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count_168h,,liquidity_like,,mean_24h,,"Mean(trade_count_168h,24)",skel_1d39996e97d5ace0,prod_592e69bae4bb32d9,a7ff55r3_3e13a37bb3cbd1d1,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,mean_72h,,"Mean(trade_volume,72)",skel_1d39996e97d5ace0,prod_bc06b4de2b6af4fb,a7ff55r3_4248d2f6fe3b0f0c,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,median_quote_volume_168h,,liquidity_like,,mean_24h,,"Mean(median_quote_volume_168h,24)",skel_1d39996e97d5ace0,prod_a8dc09167143338b,a7ff55r3_4269b58a9645c1eb,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,level,,log_quote_volume_168h,skel_ca36cd3eaf5a3a94,prod_da73688f5077b863,a7ff55r3_44906b7d8fc1b922,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count_168h,,liquidity_like,,mean_72h,,"Mean(trade_count_168h,72)",skel_1d39996e97d5ace0,prod_9d2fb66ec19c427f,a7ff55r3_44d53756e15a8bf9,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,delta_72h,,"Delta(trade_quote_volume,72)",skel_1d39996e97d5ace0,prod_ca2a8ae8d66f47d4,a7ff55r3_4513b00367b82490,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count_168h,,liquidity_like,,delta_4h,,"Delta(trade_count_168h,4)",skel_1d39996e97d5ace0,prod_f91945e80449bf56,a7ff55r3_456ac9582ca8a271,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,median_quote_volume_168h,,liquidity_like,,delta_72h,,"Delta(median_quote_volume_168h,72)",skel_1d39996e97d5ace0,prod_b82d880e981aaff9,a7ff55r3_4a643a98424455fe,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,mean_4h,,"Mean(trade_volume,4)",skel_1d39996e97d5ace0,prod_42a29a210e049698,a7ff55r3_4b4fb24f86e233f2,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,delta_72h,,"Delta(trade_count,72)",skel_1d39996e97d5ace0,prod_40a09d219345e9eb,a7ff55r3_4c817ac72ccefc81,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,age_x_liquidity,,liquidity_like,,delta_4h,,"Delta(age_x_liquidity,4)",skel_1d39996e97d5ace0,prod_4f4feb729fcc9086,a7ff55r3_53c7517c5d9a3f5f,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,volume_volatility_ratio_168h,,liquidity_like,,zmean_8h,,"ZScore(Mean(volume_volatility_ratio_168h,8))",skel_a311ee3fdacdeca2,prod_c8377e8108b84072,a7ff55r3_5403f2ff1f5e1ee3,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,mean_4h,,"Mean(trade_count,4)",skel_1d39996e97d5ace0,prod_6cd848f8bca18dba,a7ff55r3_57375f2be61d85bf,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,delta_8h,,"Delta(trade_quote_volume,8)",skel_1d39996e97d5ace0,prod_ff45d962f42e0006,a7ff55r3_576e78e001d23f91,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,mean_24h,,"Mean(trade_count,24)",skel_1d39996e97d5ace0,prod_4865935e90124fb8,a7ff55r3_5885f0c22b156df2,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,volume_volatility_ratio_168h,,liquidity_like,,mean_72h,,"Mean(volume_volatility_ratio_168h,72)",skel_1d39996e97d5ace0,prod_f689f0aaa53aae7f,a7ff55r3_59c6cf83364ae898,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,delta_8h,,"Delta(log_quote_volume_168h,8)",skel_1d39996e97d5ace0,prod_3eece34f1e8d7b51,a7ff55r3_5a5db2635f9f8c60,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,volume_volatility_ratio_168h,,liquidity_like,,delta_4h,,"Delta(volume_volatility_ratio_168h,4)",skel_1d39996e97d5ace0,prod_0af39f548e592acd,a7ff55r3_5b48faa15734532c,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,median_quote_volume_168h,,liquidity_like,,zmean_4h,,"ZScore(Mean(median_quote_volume_168h,4))",skel_a311ee3fdacdeca2,prod_f476f5e2d134e221,a7ff55r3_5b8b0a6e1d8330be,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,delta_72h,,"Delta(trade_volume,72)",skel_1d39996e97d5ace0,prod_e272a3b4327f04c1,a7ff55r3_5d9042e844a0cec8,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,mean_72h,,"Mean(log_quote_volume_168h,72)",skel_1d39996e97d5ace0,prod_4140f1f02ae060d9,a7ff55r3_60190fe9959a6cbc,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count,,liquidity_like,,zmean_24h,,"ZScore(Mean(trade_count,24))",skel_a311ee3fdacdeca2,prod_773dd7b5201f417d,a7ff55r3_620f368be88b1cad,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_count_168h,,liquidity_like,,delta_24h,,"Delta(trade_count_168h,24)",skel_1d39996e97d5ace0,prod_48522d6551895882,a7ff55r3_636e346ee59b72de,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,delta_72h,,"Delta(log_quote_volume_168h,72)",skel_1d39996e97d5ace0,prod_2e6f7d335daca199,a7ff55r3_68bcdfca404b5c0d,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,mean_24h,,"Mean(liquidity_rank_active_universe,24)",skel_1d39996e97d5ace0,prod_88f59c8c99b9eb08,a7ff55r3_69892dff1bbedc57,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,age_x_liquidity,,liquidity_like,,zmean_24h,,"ZScore(Mean(age_x_liquidity,24))",skel_a311ee3fdacdeca2,prod_0b57055d25c776a6,a7ff55r3_6b255b1609fed6de,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,liquidity_rank_active_universe,,liquidity_like,,zmean_24h,,"ZScore(Mean(liquidity_rank_active_universe,24))",skel_a311ee3fdacdeca2,prod_fccdb83d481e42f1,a7ff55r3_6e0ab2c2a5cd8522,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,mean_24h,,"Mean(trade_volume,24)",skel_1d39996e97d5ace0,prod_91b8158918bef8ce,a7ff55r3_6eee0822ca54571e,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,zmean_24h,,"ZScore(Mean(log_quote_volume_168h,24))",skel_a311ee3fdacdeca2,prod_a9e8adba8c1a28ec,a7ff55r3_72deb7802f87137c,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,log_quote_volume_168h,,liquidity_like,,delta_4h,,"Delta(log_quote_volume_168h,4)",skel_1d39996e97d5ace0,prod_b8620f92e9d758c4,a7ff55r3_79692a307034166f,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_quote_volume,,liquidity_like,,zmean_4h,,"ZScore(Mean(trade_quote_volume,4))",skel_a311ee3fdacdeca2,prod_e01ec441cde55c0f,a7ff55r3_7ab533ff6e92cce2,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,age_x_liquidity,,liquidity_like,,delta_72h,,"Delta(age_x_liquidity,72)",skel_1d39996e97d5ace0,prod_0050116199eafa65,a7ff55r3_7ddfd882a3c2075f,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,median_quote_volume_168h,,liquidity_like,,level,,median_quote_volume_168h,skel_ca36cd3eaf5a3a94,prod_9fe183862ff2170f,a7ff55r3_7f00447fe81a9d93,shard_00
L1_repaired_single_field_transform,exploratory_signal_probe,R3P0,liquidity_like,single,trade_volume,,liquidity_like,,zmean_4h,,"ZScore(Mean(trade_volume,4))",skel_a311ee3fdacdeca2,prod_8cc9ff03345da9a6,a7ff55r3_7fc1a3a696fedba5,shard_00
