"shard_id","status","exit_code","started_at","ended_at","runtime","source_file"
"a7v3s0_reward_s001","failed","","2026-06-13T13:59:12Z","2026-06-13T14:27:13Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s001\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s002","failed","","2026-06-13T13:59:12Z","2026-06-13T14:27:13Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s002\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s000","failed","","2026-06-13T13:59:12Z","2026-06-13T14:28:13Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s000\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s003","failed","","2026-06-13T14:27:13Z","2026-06-13T14:59:14Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s003\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s004","failed","","2026-06-13T14:27:13Z","2026-06-13T14:59:14Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s004\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s005","failed","","2026-06-13T14:28:13Z","2026-06-13T14:59:34Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s005\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s006","failed","","2026-06-13T14:59:14Z","2026-06-13T15:18:15Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s006\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s007","failed","","2026-06-13T14:59:14Z","2026-06-13T15:18:15Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s007\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s008","failed","","2026-06-13T14:59:34Z","2026-06-13T15:18:15Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s008\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s009","failed","","2026-06-13T15:18:15Z","2026-06-13T15:20:15Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s009\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s010","failed","","2026-06-13T15:18:15Z","2026-06-13T15:20:15Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s010\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s011","failed","","2026-06-13T15:18:15Z","2026-06-13T15:20:15Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s011\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_shard_status.csv"
"a7v3s0_reward_s064","failed","","2026-06-13T14:11:44Z","2026-06-13T14:45:45Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s064\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s065","failed","","2026-06-13T14:11:44Z","2026-06-13T14:46:05Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s065\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s066","failed","","2026-06-13T14:11:44Z","2026-06-13T14:46:45Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s066\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s067","failed","","2026-06-13T14:45:45Z","2026-06-13T15:15:06Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s067\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s068","failed","","2026-06-13T14:46:05Z","2026-06-13T15:15:06Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s068\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s069","failed","","2026-06-13T14:46:45Z","2026-06-13T15:16:06Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s069\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s070","failed","","2026-06-13T15:15:06Z","2026-06-13T15:18:26Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s070\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s071","failed","","2026-06-13T15:15:06Z","2026-06-13T15:18:26Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s071\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s072","failed","","2026-06-13T15:16:06Z","2026-06-13T15:18:26Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s072\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s073","failed","","2026-06-13T15:18:26Z","2026-06-13T15:20:06Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s073\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s074","failed","","2026-06-13T15:18:26Z","2026-06-13T15:20:06Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s074\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s075","failed","","2026-06-13T15:18:26Z","2026-06-13T15:20:06Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s075\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_064_127_status.csv"
"a7v3s0_reward_s128","failed","","2026-06-13T14:11:55Z","2026-06-13T14:45:57Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s128\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s129","failed","","2026-06-13T14:11:56Z","2026-06-13T14:45:57Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s129\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s130","failed","","2026-06-13T14:11:56Z","2026-06-13T14:45:57Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s130\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s132","failed","","2026-06-13T14:45:57Z","2026-06-13T15:14:18Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s132\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s131","failed","","2026-06-13T14:45:57Z","2026-06-13T15:14:38Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s131\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s133","failed","","2026-06-13T14:45:57Z","2026-06-13T15:14:38Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s133\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s134","failed","","2026-06-13T15:14:18Z","2026-06-13T15:18:18Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s134\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s135","failed","","2026-06-13T15:14:38Z","2026-06-13T15:18:18Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s135\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s136","failed","","2026-06-13T15:14:38Z","2026-06-13T15:18:18Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s136\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s137","failed","","2026-06-13T15:18:18Z","2026-06-13T15:20:18Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s137\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s138","failed","","2026-06-13T15:18:18Z","2026-06-13T15:20:18Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s138\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
"a7v3s0_reward_s139","failed","","2026-06-13T15:18:18Z","2026-06-13T15:20:18Z","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s139\reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\a7v3s3_strict_reward_supplemental_128_255_status.csv"
