"shard","manifest_path","decision","accepted_count","rejected_count","queue_rows","runtime"
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s000\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s001\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s002\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s003\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s004\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s005\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s064\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s065\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s066\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s067\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s068\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s069\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s128\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s129\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s130\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s131\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s132\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
"reward_runtime","D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s3_strict_reward_sharded_720h_20260613\shards\a7v3s0_reward_s133\reward_runtime\a7reward1_manifest.json","HOLD_A7REWARD1_REWARD_MODEL_OR_QUEUE_FAILED",,,"16",
