candidate_id,semantic_bucket,motif_bucket,clue_rows,label_count,horizon_count,best_abs_corr,best_original_score,min_control_ratio,preflight_rank
a7ffcore5_f408fcf92eed3e3cea,liquidity_like|volatility_like,safe_div_abs,9,3,4,0.0115759511629764,0.8250897819144711,0.2894137141031,1
a7ffcore5_b14219288b18bf0b0c,liquidity_like|volatility_like,safe_div_abs,9,3,3,0.005416929937387,0.3327451129569743,0.3173581136739525,2
a7ffcore5_1f8c481e4c787863b8,liquidity_like|volatility_like,safe_div_abs,7,3,4,0.0052063087883757,0.0726521665935074,0.2286179293014896,3
a7ffcore5_fe6ab6fb0843878019,liquidity_like|volatility_like,safe_div_abs,7,3,3,0.0098956922244502,0.1219853567675567,0.117540469208229,4
a7ffcore5_f414f2621b03d718f6,open_interest_like|price_like,mean_reversion_gate,7,3,3,0.0070141530873141,0.6974343466508008,0.3364010630457452,5
a7ffcore5_291837028072641a1c,liquidity_like|volatility_like,safe_div_abs,7,2,4,0.0094772210020453,0.0094772210020453,0.4524087883611016,6
a7ffcore5_89d456568ed9db84c6,liquidity_like|volatility_like,liquidity_shock,7,2,4,0.0071439195806037,0.0071439195806037,0.4544969621762753,7
a7ffcore5_55d479db927df299ef,liquidity_like|volatility_like,liquidity_shock,7,2,4,0.0090934593466963,0.0090934593466963,0.456324731778188,8
a7ffcore5_0df84c13bb1ed0cc5e,liquidity_like|volatility_like,safe_div_abs,6,3,3,0.0060432581202158,0.1887481018121899,0.2506410007523411,9
a7ffcore5_2785be37d31870a000,open_interest_like|price_like,mean_reversion_gate,6,3,3,0.0091111075420305,0.4219122682496605,0.3331680731469889,10
a7ffcore5_fdc24ebd7772041b83,open_interest_like|price_like,mean_reversion_gate,6,3,3,0.0083905479193651,0.4219122682496605,0.4909868407198404,11
a7ffcore5_e8b09c1c628442bb96,liquidity_like|volatility_like,safe_div_abs,6,3,3,0.0033904675284135,0.1703323529236546,0.516391659843859,12
a7ffcore5_c5ecfea1d2af189266,open_interest_like|price_like,mean_reversion_gate,6,3,3,0.0070279099971703,0.6974343466508008,0.5567633692111014,13
a7ffcore5_f12228440913b31bb1,liquidity_like|volatility_like,liquidity_shock,6,2,4,0.0058414805624981,0.0058414805624981,0.5786489106087191,14
a7ffcore5_e49456a170f19eb240,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0084988330728883,0.0084988330728883,0.239752650253877,15
a7ffcore5_4a1f7c7ea34e49f970,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.009658269749572,0.009658269749572,0.2862324011615796,16
a7ffcore5_0d36019628d9445207,liquidity_like|volatility_like,safe_div_abs,6,2,3,0.0101760357187751,0.0101760357187751,0.2939244402031717,17
a7ffcore5_0460706c8101b16f2f,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0093236738745036,0.0093236738745036,0.3373761991136754,18
a7ffcore5_6f285061a4d5fa2922,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0088007880725204,0.0088007880725204,0.3443975364085868,19
a7ffcore5_11903004dcea88bab8,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0069309799032963,0.0069309799032963,0.3573961911545207,20
a7ffcore5_134c181d2d0d0a7a0d,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0068801074422032,0.0068801074422032,0.3743228694359157,21
a7ffcore5_056264aa1859f3ac7b,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0072177761297734,0.0072177761297734,0.3983264376632149,22
a7ffcore5_347cfd7114f3a1ae41,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0071799044697795,0.0071799044697795,0.4532172906393606,23
a7ffcore5_155172eb90a4ffee4e,liquidity_like|volatility_like,liquidity_shock,6,2,3,0.0092243030426367,0.0092243030426367,0.4987331406349438,24
a7ffcore5_74192e756c0281059e,liquidity_like|volatility_like,safe_div_abs,5,3,3,0.006736636000491,0.2176099396182628,0.2507369576413195,25
a7ffcore5_7f1edcbee2c722cdf1,liquidity_like|volatility_like,safe_div_abs,5,3,3,0.0088835367028045,0.0841855343073199,0.2584689471362035,26
a7ffcore5_c3c0979a0680ff0e0b,liquidity_like|volatility_like,safe_div_abs,5,3,3,0.0050381334823799,0.1477961521991742,0.4105838502034789,27
a7ffcore5_bfdcfe65197b45a109,liquidity_like|volatility_like,safe_div_abs,5,3,3,0.0049154555181129,0.1292482073281524,0.4868491451416151,28
a7ffcore5_b39e253ad9a5084d9a,taker_flow_like|open_interest_like,flow_x_leverage,5,2,4,0.0168126520859192,0.0168126520859192,0.3689904158610574,29
a7ffcore5_2545209b43e8b162b7,taker_flow_like|open_interest_like,flow_x_leverage,5,2,3,0.0152396906245097,0.0152396906245097,0.2547191784576678,30
a7ffcore5_25b2704821ce1d532b,taker_flow_like|basis_premium_like,gated_sign,5,2,3,0.0074704494606035,0.0074704494606035,0.3570020067350471,31
a7ffcore5_a3af6b68eb21e4cf8a,open_interest_like|price_like,mean_reversion_gate,5,2,3,0.0071903039922973,0.0071903039922973,0.3572969334880905,32
a7ffcore5_f705fad1a710ad28f0,taker_flow_like,single,4,3,3,0.0058362389303321,0.394925338434581,0.5897223599553452,33
a7ffcore5_1caefe1090deb89fed,open_interest_like|price_like,mean_reversion_gate,4,3,2,0.0031991207963981,0.2856107458974497,0.4979269270187556,34
