signal_vector_cluster_id,candidate_count,selected_count,forensic_pass_count,may_stress_failed_count,top_field_family,top_skeleton_key,top_production_key
svc_008,5,3,5,5,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|24
svc_015,2,1,2,2,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|8
svc_012,3,0,0,0,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_mean|index_close::4|24
svc_022,2,0,0,0,open_interest|price,skeleton-cdd50cc367bea61c,a7al2q_local_oi_price::oi_level_plus_neg_price_delta::open_interest_last|index_close::8|96
svc_062,2,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_mean|index_close::720|72
svc_000,1,0,0,0,open_interest|price,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_last|mark_close::4|504
svc_001,1,0,0,0,open_interest|price,skeleton-65ce4cb2af0cf72a,a7al2q_local_oi_price::abs_delta_gap::open_interest_value_mean|mark_close::720|12
svc_002,1,0,0,0,open_interest|price,skeleton-cdd50cc367bea61c,a7al2q_local_oi_price::oi_level_plus_neg_price_delta::open_interest_last|index_close::168|4
svc_003,1,0,0,0,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_last|mark_close::72|720
svc_004,1,0,0,0,open_interest|price,skeleton-c843c26fad347fd9,a7al2q_local_oi_price::oi_delta_x_price_delta::open_interest_last|index_close::504|12
svc_005,1,0,0,0,open_interest|price,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|trade_close::168|72
svc_006,1,0,0,0,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_mean|index_close::96|24
svc_007,1,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_last|trade_close::168|720
svc_009,1,0,0,0,open_interest|price,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_value_mean|mark_close::72|504
svc_010,1,0,0,1,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_value_last|index_close::4|72
svc_011,1,0,0,0,open_interest|price,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_value_last|index_close::48|24
svc_013,1,0,0,0,open_interest|price,skeleton-65ce4cb2af0cf72a,a7al2q_local_oi_price::abs_delta_gap::open_interest_value_mean|trade_close::4|336
svc_014,1,0,1,1,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|trade_close::168|504
svc_016,1,0,0,0,open_interest|price,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_mean|mark_close::4|72
svc_017,1,0,0,0,open_interest|price,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_value_last|index_close::8|24
svc_018,1,0,0,0,open_interest|price,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_mean|trade_close::504|96
svc_019,1,0,0,0,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_mean|trade_close::24|72
svc_020,1,0,0,0,open_interest|price,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_mean|mark_close::48|96
svc_021,1,0,0,0,open_interest|price,skeleton-c843c26fad347fd9,a7al2q_local_oi_price::oi_delta_x_price_delta::open_interest_last|index_close::48|336
svc_023,1,0,0,0,open_interest|price,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_last|trade_close::4|8
svc_024,1,0,0,1,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_mean|mark_close::168|336
svc_025,1,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_last|index_close::4|24
svc_026,1,0,0,1,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_value_mean|mark_close::12|336
svc_027,1,0,0,0,open_interest|price,skeleton-65ce4cb2af0cf72a,a7al2q_local_oi_price::abs_delta_gap::open_interest_mean|mark_close::8|12
svc_028,1,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_last|mark_close::96|168
svc_029,1,0,0,0,open_interest|price,skeleton-65ce4cb2af0cf72a,a7al2q_local_oi_price::abs_delta_gap::open_interest_value_last|index_close::336|8
svc_030,1,0,0,0,open_interest|price,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_value_last|mark_close::12|24
svc_031,1,0,0,0,open_interest|price,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_last|index_close::168|168
svc_032,1,0,0,0,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_value_last|index_close::4|720
svc_033,1,0,0,0,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_mean|index_close::504|336
svc_034,1,0,0,0,open_interest|price,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_value_last|mark_close::336|504
svc_035,1,0,0,0,open_interest|price,skeleton-3c104d6d475f05ac,a7al2q_local_oi_price::level_spread::open_interest_value_last|trade_close::12|8
svc_036,1,0,0,0,open_interest|price,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_last|trade_close::12|504
svc_037,1,0,0,0,open_interest|price,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_value_last|mark_close::96|504
svc_038,1,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_last|trade_close::168|4
svc_039,1,0,1,1,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|mark_close::24|504
svc_040,1,0,0,0,open_interest|price,skeleton-cdd50cc367bea61c,a7al2q_local_oi_price::oi_level_plus_neg_price_delta::open_interest_last|mark_close::72|8
svc_041,1,0,0,0,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_last|index_close::72|504
svc_042,1,0,0,0,open_interest|price,skeleton-b86d839c2c31ff74,a7al2q_local_oi_price::delta_spread::open_interest_value_mean|trade_close::96|720
svc_043,1,0,0,0,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_last|mark_close::336|24
svc_044,1,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_mean|index_close::504|336
svc_045,1,0,0,0,open_interest|price,skeleton-c843c26fad347fd9,a7al2q_local_oi_price::oi_delta_x_price_delta::open_interest_last|trade_close::12|4
svc_046,1,0,0,0,open_interest|price,skeleton-c843c26fad347fd9,a7al2q_local_oi_price::oi_delta_x_price_delta::open_interest_value_mean|trade_close::4|168
svc_047,1,0,0,0,open_interest|price,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_last|index_close::48|12
svc_048,1,0,0,0,open_interest|price,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_value_last|trade_close::8|8
svc_049,1,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_mean|index_close::24|72
svc_050,1,0,0,0,open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_last|index_close::72|168
svc_051,1,0,0,0,open_interest|price,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_value_last|mark_close::4|96
svc_052,1,0,0,0,open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_value_last|mark_close::48|336
svc_053,1,0,0,0,open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_last|mark_close::4|24
