artifact,report_path,generated_at,input_root_or_panel,input_agg_root,output,rows,columns,agg_rows,agg_symbol_month_count
aggtrades_enhanced_features_v1,G:\AlphaFactory_CryptoData\reports\aggtrades_enhanced_features_v1_20260522_094400.json,2026-05-22T01:44:00Z,G:\AlphaFactory_CryptoData\gold\microstructure\aggtrades_1h_flow_enhanced_v1,,G:\AlphaFactory_CryptoData\gold\features\aggtrades_enhanced_features_v1,62712,99,,87
crypto_core12_1h_with_aggtrades_features_v1,G:\AlphaFactory_CryptoData\reports\crypto_core12_1h_with_aggtrades_features_v1_20260522_094411.json,2026-05-22T01:44:11Z,G:\AlphaFactory_CryptoData\gold\panels\crypto_core12_1h_v1.parquet,G:\AlphaFactory_CryptoData\gold\features\aggtrades_enhanced_features_v1,G:\AlphaFactory_CryptoData\gold\panels\crypto_core12_1h_with_aggtrades_features_v1.parquet,251148,184,62712,87
