arm,reason,count
I0_basis_premium,core4_beta_too_high,1
I0_basis_premium,cost20_recent_collapse,35
I0_basis_premium,execution_lag_recent_collapse,21
I0_basis_premium,funding_beta_too_high,1
I0_basis_premium,raw_may_severely_negative,44
I0_basis_premium,raw_recent_nonpositive,62
I0_basis_premium,raw_validation_nonpositive,54
I0_basis_premium,residual_core4_recent_nonpositive,22
I0_basis_premium,residual_funding_may_negative,40
I0_basis_premium,residual_funding_recent_nonpositive,22
I0_basis_premium,residual_funding_validation_nonpositive,20
I1_flow_liquidity,core4_beta_too_high,2
I1_flow_liquidity,cost20_recent_collapse,16
I1_flow_liquidity,execution_lag_recent_collapse,4
I1_flow_liquidity,funding_beta_too_high,2
I1_flow_liquidity,raw_may_severely_negative,64
I1_flow_liquidity,raw_recent_nonpositive,30
I1_flow_liquidity,raw_validation_nonpositive,15
I1_flow_liquidity,residual_funding_may_negative,52
I2_microstructure_lite,core4_beta_too_high,2
I2_microstructure_lite,cost20_recent_collapse,41
I2_microstructure_lite,execution_lag_recent_collapse,5
I2_microstructure_lite,funding_beta_too_high,3
I2_microstructure_lite,pass_all_research_gates,1
I2_microstructure_lite,raw_may_severely_negative,63
I2_microstructure_lite,raw_recent_nonpositive,47
I2_microstructure_lite,raw_validation_nonpositive,55
I2_microstructure_lite,residual_funding_may_negative,54
I3_placebo_random,placebo_arm,64
