activity_ok_count,activity_ok_rate,authorizes_alpha_proof,authorizes_shadow_paper_live,blockers,decision,elapsed_seconds,end_row,eval_failure_count,eval_success_count,field_count,generated_at,lane_count,operator_count,queue_path,queue_rows,runtime,semantic_pair_count,shard_id,stage,start_row,symbol_cap,timestamp_cap,uses_may,manifest_path
681,0.681,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,65.054,1000,0,1000,40,2026-06-06T06:06:43Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,66,a7ls17_s000,A7LS-17,0,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s000\a7ls17_manifest.json
779,0.779,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,68.939,2000,0,1000,41,2026-06-06T06:06:47Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,67,a7ls17_s001,A7LS-17,1000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s001\a7ls17_manifest.json
847,0.847,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,71.153,3000,0,1000,41,2026-06-06T06:06:49Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,67,a7ls17_s002,A7LS-17,2000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s002\a7ls17_manifest.json
879,0.879,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,74.558,4000,0,1000,42,2026-06-06T06:08:13Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,69,a7ls17_s003,A7LS-17,3000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s003\a7ls17_manifest.json
876,0.876,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,71.811,5000,0,1000,41,2026-06-06T06:08:10Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,47,a7ls17_s004,A7LS-17,4000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s004\a7ls17_manifest.json
806,0.806,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,94.51,6000,0,1000,41,2026-06-06T06:08:33Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,48,a7ls17_s005,A7LS-17,5000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s005\a7ls17_manifest.json
781,0.781,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,66.317,7000,0,1000,42,2026-06-06T06:09:24Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,48,a7ls17_s006,A7LS-17,6000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s006\a7ls17_manifest.json
834,0.834,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,70.241,8000,0,1000,44,2026-06-06T06:09:28Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,46,a7ls17_s007,A7LS-17,7000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s007\a7ls17_manifest.json
799,0.799,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,75.041,9000,0,1000,43,2026-06-06T06:09:53Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,46,a7ls17_s008,A7LS-17,8000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s008\a7ls17_manifest.json
708,0.708,False,False,[],PASS_A7LS17_SHARD_MATERIALIZATION_COMPLETE,118.31,10000,0,1000,44,2026-06-06T06:11:37Z,1,13,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls15_million_scale_blueprint_generation_20260606\a7ls15_materialization_queue_100k.csv,1000,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3,36,a7ls17_s009,A7LS-17,9000,128,2048,False,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7ls17_company_materialization_20260606_r3\shards\a7ls17_s009\a7ls17_manifest.json
