a7ls_lane,rows,eval_success,activity_ok,semantic_pairs,motifs,finite_share_median,nonzero_share_median,eval_success_rate,activity_ok_rate
A7LS14_A,32000,32000,24226,71,18,0.9568583170572916,0.9999151425176362,1.0,0.7570625
A7LS14_B,32000,32000,24354,55,10,0.95745849609375,0.9999388120271948,1.0,0.7610625
A7LS14_C,24000,24000,19009,9,11,0.9574178059895834,1.0,1.0,0.7920416666666666
A7LS14_D,12000,12000,7790,7,6,0.9568583170572916,0.9999889023289582,1.0,0.6491666666666667
