cell_id,candidate_decision,count
C0000,A7O_PILOT_REJECTED,1
C0000,A7O_PILOT_RESEARCH_CANDIDATE,2
C0001,A7O_PILOT_REJECTED,3
C0002,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0002,A7O_PILOT_REJECTED,2
C0003,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0004,A7O_PILOT_RESEARCH_CANDIDATE,3
C0005,A7O_PILOT_REJECTED,1
C0005,A7O_PILOT_RESEARCH_CANDIDATE,2
C0006,A7O_PILOT_RESEARCH_CANDIDATE,3
C0007,A7O_PILOT_REJECTED,3
C0008,A7O_PILOT_RESEARCH_CANDIDATE,3
C0009,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0009,A7O_PILOT_REJECTED,1
C0009,A7O_PILOT_RESEARCH_CANDIDATE,1
C0010,A7O_PILOT_REJECTED,3
C0011,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0011,A7O_PILOT_REJECTED,2
C0012,A7O_PILOT_REJECTED,3
C0013,A7O_PILOT_REJECTED,3
C0014,A7O_PILOT_REJECTED,3
C0015,A7O_PILOT_REJECTED,3
C0016,A7O_PILOT_REJECTED,3
C0017,A7O_PILOT_REJECTED,3
C0018,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0018,A7O_PILOT_REJECTED,2
C0019,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0019,A7O_PILOT_REJECTED,2
C0020,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0021,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0021,A7O_PILOT_REJECTED,2
C0022,A7O_PILOT_REJECTED,3
C0023,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0023,A7O_PILOT_REJECTED,2
C0024,A7O_PILOT_REJECTED,1
C0024,A7O_PILOT_RESEARCH_CANDIDATE,2
C0025,A7O_PILOT_REJECTED,3
C0026,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0027,A7O_PILOT_REJECTED,3
C0028,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0028,A7O_PILOT_REJECTED,1
C0029,A7O_PILOT_REJECTED,3
C0030,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0030,A7O_PILOT_REJECTED,2
C0031,A7O_PILOT_RESEARCH_CANDIDATE,3
C0032,A7O_PILOT_REJECTED,3
C0033,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0033,A7O_PILOT_REJECTED,2
C0034,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0034,A7O_PILOT_REJECTED,1
C0034,A7O_PILOT_RESEARCH_CANDIDATE,1
C0035,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0035,A7O_PILOT_RESEARCH_CANDIDATE,2
C0036,A7O_PILOT_RESEARCH_CANDIDATE,3
C0037,A7O_PILOT_REJECTED,3
C0038,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0038,A7O_PILOT_RESEARCH_CANDIDATE,1
C0039,A7O_PILOT_REJECTED,3
C0040,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0040,A7O_PILOT_RESEARCH_CANDIDATE,2
C0041,A7O_PILOT_REJECTED,3
C0042,A7O_PILOT_RESEARCH_CANDIDATE,3
C0043,A7O_PILOT_REJECTED,2
C0043,A7O_PILOT_RESEARCH_CANDIDATE,1
C0044,A7O_PILOT_REJECTED,3
C0045,A7O_PILOT_REJECTED,3
C0046,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0046,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0047,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0047,A7O_PILOT_REJECTED,1
C0047,A7O_PILOT_RESEARCH_CANDIDATE,1
C0048,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0048,A7O_PILOT_REJECTED,2
C0049,A7O_PILOT_REJECTED,1
C0049,A7O_PILOT_RESEARCH_CANDIDATE,2
C0050,A7O_PILOT_REJECTED,3
C0051,A7O_PILOT_REJECTED,3
C0052,A7O_PILOT_REJECTED,3
C0053,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0053,A7O_PILOT_REJECTED,2
C0054,A7O_PILOT_REJECTED,3
C0055,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0055,A7O_PILOT_REJECTED,2
C0056,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0056,A7O_PILOT_REJECTED,2
C0057,A7O_PILOT_REJECTED,3
C0058,A7O_PILOT_REJECTED,3
C0059,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0060,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0060,A7O_PILOT_REJECTED,2
C0061,A7O_PILOT_REJECTED,3
C0062,A7O_PILOT_REJECTED,3
C0063,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0063,A7O_PILOT_REJECTED,2
