candidate_id,return_corr_cluster,max_corr_to_prior,cluster_size
a7o_l1_C0000_1939,rc_000,0.0,1
a7o_l1_C0000_0678,rc_001,0.0,1
a7o_l1_C0000_0775,rc_002,0.0,1
a7o_l1_C0002_1842,rc_003,0.0,3
a7o_l1_C0002_2035,rc_004,0.0,1
a7o_l1_C0003_0774,rc_005,0.0,1
a7o_l1_C0003_1454,rc_006,0.0,1
a7o_l1_C0003_0386,rc_003,0.8691127498633319,3
a7o_l1_C0004_0564,rc_007,0.0,1
a7o_l1_C0004_0180,rc_008,0.0,1
a7o_l1_C0004_2036,rc_009,0.0,1
a7o_l1_C0005_1454,rc_010,0.0,1
a7o_l1_C0005_0949,rc_011,0.0,1
a7o_l1_C0005_1745,rc_012,0.0,2
a7o_l1_C0006_0373,rc_013,0.0,1
a7o_l1_C0006_0757,rc_014,0.0,1
a7o_l1_C0006_0181,rc_015,0.0,1
a7o_l1_C0007_1842,rc_016,0.0,1
a7o_l1_C0008_0180,rc_017,0.0,1
a7o_l1_C0008_0564,rc_018,0.0,1
a7o_l1_C0008_2036,rc_019,0.0,1
a7o_l1_C0009_0373,rc_020,0.0,1
a7o_l1_C0009_0181,rc_021,0.0,1
a7o_l1_C0009_1841,rc_022,0.0,1
a7o_l1_C0010_1842,rc_023,0.0,1
a7o_l1_C0011_1842,rc_024,0.0,8
a7o_l1_C0013_1842,rc_025,0.0,1
a7o_l1_C0015_0387,rc_026,0.0,2
a7o_l1_C0015_0949,rc_027,0.0,1
a7o_l1_C0015_0386,rc_026,0.8716501806012954,2
a7o_l1_C0018_1842,rc_024,0.8866657797390043,8
a7o_l1_C0018_2035,rc_028,0.0,1
a7o_l1_C0019_1842,rc_029,0.0,1
a7o_l1_C0020_1255,rc_030,0.0,1
a7o_l1_C0020_1549,rc_031,0.0,1
a7o_l1_C0020_2028,rc_032,0.0,1
a7o_l1_C0021_0756,rc_033,0.0,1
a7o_l1_C0021_0193,rc_034,0.0,1
a7o_l1_C0021_1357,rc_035,0.0,1
a7o_l1_C0023_1163,rc_036,0.0,1
a7o_l1_C0023_0564,rc_037,0.0,1
a7o_l1_C0023_0181,rc_038,0.0,1
a7o_l1_C0024_0181,rc_039,0.0,1
a7o_l1_C0024_0565,rc_040,0.0,1
