manifest_group,file_count,row_count,unique_symbol_month,ok_or_written_count,checksum_ok_unique_symbol_month,missing_expected_symbol_month,error_count,manifest_paths
enhanced_hourly,3,85,84,85,0,0,0,G:\AlphaFactory_CryptoData\manifests\aggtrades_hourly_enhanced_v1_20260521_221659.csv;G:\AlphaFactory_CryptoData\manifests\aggtrades_hourly_enhanced_v1_20260521_221936_company.csv;G:\AlphaFactory_CryptoData\manifests\aggtrades_hourly_enhanced_v1_20260522_005140_company.csv
raw_roundrobin,6,74,72,72,70,14,0,G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-06_2024-10_core3_202406_202410_20260521_company.csv;G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2024-11_2025-04_core3_202411_202504_20260521_company.csv;G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2025-05_2025-10_core3_202505_202510_20260521_company.csv;G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_latest_roundrobin_2025-11_2026-04_core3_latest6_20260521_company.csv;G:\AlphaFactory_CryptoData\manifests\aggtrades_raw_only_2024-01_2026-04_20260521_121805.csv;G:\AlphaFactory_CryptoData\manifests\aggtrades_package_a_core3_2024-01_2026-04_20260521_111957.csv
