decision,count
HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,34089
HOLD_A7FFCORE16HE_CONTROL_LIKE,5472
A7FFCORE16HE_NEAR_MISS_CONTROL_MARGIN,434
A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,252
A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,105
