label_horizon_h,decision,count
1,HOLD_A7AL2Z5_PRE_MAY_UNSTABLE,85
1,HOLD_A7AL2Z5_CONTROL_DOMINATED,21
1,HOLD_A7AL2Z5_ONE_BAR_LAG_FRAGILE,15
1,HOLD_A7AL2Z5_COST10_FRAGILE,7
4,HOLD_A7AL2Z5_PRE_MAY_UNSTABLE,110
4,HOLD_A7AL2Z5_CONTROL_DOMINATED,9
4,HOLD_A7AL2Z5_ONE_BAR_LAG_FRAGILE,9
8,HOLD_A7AL2Z5_PRE_MAY_UNSTABLE,116
8,HOLD_A7AL2Z5_CONTROL_DOMINATED,6
8,HOLD_A7AL2Z5_ONE_BAR_LAG_FRAGILE,6
24,HOLD_A7AL2Z5_PRE_MAY_UNSTABLE,116
24,HOLD_A7AL2Z5_CONTROL_DOMINATED,9
24,HOLD_A7AL2Z5_ONE_BAR_LAG_FRAGILE,3
