source_objective_family,label_horizon_h,pre_may_positive_rate,lag_ok_rate,median_control_ratio,mutation_directives,eligible_for_z7_seed
Z0_funding_basis_premium_dislocation,1,0.125,0.375,3.303936620901242,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z1_price_range_volatility_structure,1,0.3125,0.4375,7.6291128232643395,add_smoothing_and_slow_delta|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference,True
Z2_liquidity_taker_microstructure_lite,1,0.375,0.25,12.424438674055748,add_smoothing_and_slow_delta|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference,True
Z3_basis_price_trend_reversal,1,0.625,0.25,2.90530888543638,add_smoothing_and_slow_delta|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference,True
Z4_upper_regime_relative_value,1,0.375,0.4375,4.765340923917155,add_smoothing_and_slow_delta|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference,True
Z5_latent_listing_meme_neutral_structure,1,0.4375,0.5,12.394229236881506,forbid_single_source_wrapper|require_matched_control_resistant_double_difference,True
Z6_cross_sectional_relative_flow_value,1,0.0,0.375,6.839784470368238,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
Z7_market_regime_price_breadth,1,0.4375,0.6875,2.886170282017427,forbid_single_source_wrapper|require_matched_control_resistant_double_difference,True
Z0_funding_basis_premium_dislocation,4,0.125,0.3125,3.9662579240313343,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z1_price_range_volatility_structure,4,0.125,0.25,6.54076888313644,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z2_liquidity_taker_microstructure_lite,4,0.125,0.125,7.087479175395566,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,True
Z3_basis_price_trend_reversal,4,0.25,0.25,9.562343528093209,add_smoothing_and_slow_delta|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference,True
Z4_upper_regime_relative_value,4,0.0625,0.125,4.460440281056937,add_smoothing_and_slow_delta|drop_or_downweight_mean_rank_templates|forbid_single_source_wrapper|prefer_group_neutralized_low_turnover_form|require_matched_control_resistant_double_difference|require_two_source_interaction,False
