control_id,base_candidate_id,family,control_mode,raw_validation_2025H1_ann_10bps_lag0,raw_validation_2025H1_sharpe_10bps_lag0,raw_validation_2025H1_sum_10bps_lag0,raw_validation_2025H1_active_hours_10bps_lag0,raw_recent_2025H2_2026Apr_ann_10bps_lag0,raw_recent_2025H2_2026Apr_sharpe_10bps_lag0,raw_recent_2025H2_2026Apr_sum_10bps_lag0,raw_recent_2025H2_2026Apr_active_hours_10bps_lag0,raw_may_2026_stress_ann_10bps_lag0,raw_may_2026_stress_sharpe_10bps_lag0,raw_may_2026_stress_sum_10bps_lag0,raw_may_2026_stress_active_hours_10bps_lag0,control_research_like
a7ag1_H0_agg_flow_x_context_24_5269501eb43f__sign_flip,a7ag1_H0_agg_flow_x_context_24_5269501eb43f,H0_agg_flow_x_context,sign_flip,-8.270544206976464,-6.354052167190098,-4.101283565651342,4344,-9.844021642593217,-11.274915361937056,-8.198856381776269,7296,-6.616602830591264,-10.443658455649656,-0.36255357975842545,480,False
a7ag1_H0_agg_flow_x_context_24_5269501eb43f__row_shuffle,a7ag1_H0_agg_flow_x_context_24_5269501eb43f,H0_agg_flow_x_context,row_shuffle,-9.159908707194631,-6.94808027671658,-4.364550107743195,4174,-10.715041646279046,-12.30673544866247,-8.554908821241511,6994,-5.515815438632642,-8.897391136352377,-0.28901361716123086,459,False
a7ag1_H0_agg_flow_x_context_24_5269501eb43f__wrong_lag_stale_24h,a7ag1_H0_agg_flow_x_context_24_5269501eb43f,H0_agg_flow_x_context,wrong_lag_stale_24h,-6.3987606699770705,-5.055626694470402,-3.173084058262602,4344,-12.821369854391268,-14.924396637479546,-10.678620371876562,7296,-11.332583939510311,-17.354761698831147,-0.6209635035348116,480,False
a7ag1_H0_agg_flow_x_context_24_5269501eb43f__time_shuffle,a7ag1_H0_agg_flow_x_context_24_5269501eb43f,H0_agg_flow_x_context,time_shuffle,-13.442031815755632,-10.236148557913966,-6.64582646050658,4331,-10.679527430557515,-12.373031245572559,-8.875223709413095,7280,-11.14723303694284,-17.261558780779882,-0.610807289695498,480,False
a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527__sign_flip,a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527,H0_agg_flow_x_context,sign_flip,-11.031309960955054,-8.466206810827105,-5.470320829953054,4344,-8.53968678713495,-9.791931860285464,-7.11250625558637,7296,-12.341737828749398,-19.504826714862627,-0.6762596070547615,480,False
a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527__row_shuffle,a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527,H0_agg_flow_x_context,row_shuffle,-11.253999536372449,-8.60540760256857,-5.3957532023703525,4200,-12.18777123429526,-13.687994013469474,-9.815607997483227,7055,-15.580191658459986,-24.799912682719636,-0.8305878429795449,467,False
a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527__wrong_lag_stale_24h,a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527,H0_agg_flow_x_context,wrong_lag_stale_24h,-12.909342663153888,-10.211850846689506,-6.401619238440695,4344,-5.562417739593698,-6.455962717516123,-4.632808199552011,7296,-7.355817159390789,-11.278480676730608,-0.40305847448716653,480,False
a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527__time_shuffle,a7ag1_H0_agg_flow_x_context_24_45e0ce2dd527,H0_agg_flow_x_context,time_shuffle,-11.016282580022073,-8.451645429880523,-5.4452629647826,4330,-10.734625459978785,-12.637277165309682,-8.918562111612511,7278,-6.828249338037572,-10.566112010373223,-0.3733711681415522,479,False
a7ag1_H0_agg_flow_x_context_24_8a15698fe19f__sign_flip,a7ag1_H0_agg_flow_x_context_24_8a15698fe19f,H0_agg_flow_x_context,sign_flip,-8.481030912170418,-6.569462640778644,-4.205661904391358,4344,-9.336825362707877,-10.88968335488688,-7.776424411679986,7296,-4.193178326912183,-6.524381402021264,-0.22976319599518813,480,False
a7ag1_H0_agg_flow_x_context_24_8a15698fe19f__row_shuffle,a7ag1_H0_agg_flow_x_context_24_8a15698fe19f,H0_agg_flow_x_context,row_shuffle,-11.233205946953529,-8.502005986411744,-5.370395719844906,4188,-10.818750441630781,-12.432481561134544,-8.69205086851569,7038,-11.47007035996868,-17.96493338924485,-0.6088564745873786,465,False
