source_run,dimension,value,count,share
A7I1B_original_generator,family,flow_liquidity,250,0.25
A7I1B_original_generator,family,microstructure_lite,250,0.25
A7I1B_original_generator,family,basis_premium,250,0.25
A7I1B_original_generator,family,placebo_random,250,0.25
A7J2_reranked_original_pool,family,flow_liquidity,250,0.25
A7J2_reranked_original_pool,family,microstructure_lite,250,0.25
A7J2_reranked_original_pool,family,basis_premium,250,0.25
A7J2_reranked_original_pool,family,placebo_random,250,0.25
A7K2_new_space,family,basis_premium_clean,250,0.25
A7K2_new_space,family,flow_liquidity_clean,250,0.25
A7K2_new_space,family,microstructure_lite_latency_robust,250,0.25
A7K2_new_space,family,placebo_random_control,250,0.25
A7I1B_original_generator,field_family_combo,price;volatility,156,0.156
A7I1B_original_generator,field_family_combo,basis;price,140,0.14
A7I1B_original_generator,field_family_combo,liquidity,136,0.136
A7I1B_original_generator,field_family_combo,price,103,0.103
A7I1B_original_generator,field_family_combo,volatility,94,0.094
A7I1B_original_generator,field_family_combo,basis,88,0.088
A7I1B_original_generator,field_family_combo,flow;liquidity,66,0.066
A7I1B_original_generator,field_family_combo,liquidity;price,56,0.056
A7I1B_original_generator,field_family_combo,flow,52,0.052
A7I1B_original_generator,field_family_combo,unknown,50,0.05
A7I1B_original_generator,field_family_combo,basis;volatility,24,0.024
A7I1B_original_generator,field_family_combo,flow;price,20,0.02
A7I1B_original_generator,field_family_combo,liquidity;volatility,12,0.012
A7I1B_original_generator,field_family_combo,liquidity;price;volatility,3,0.003
A7J2_reranked_original_pool,field_family_combo,price;volatility,156,0.156
A7J2_reranked_original_pool,field_family_combo,basis;price,140,0.14
A7J2_reranked_original_pool,field_family_combo,liquidity,136,0.136
A7J2_reranked_original_pool,field_family_combo,price,103,0.103
A7J2_reranked_original_pool,field_family_combo,volatility,94,0.094
A7J2_reranked_original_pool,field_family_combo,basis,88,0.088
A7J2_reranked_original_pool,field_family_combo,flow;liquidity,66,0.066
A7J2_reranked_original_pool,field_family_combo,liquidity;price,56,0.056
A7J2_reranked_original_pool,field_family_combo,flow,52,0.052
A7J2_reranked_original_pool,field_family_combo,unknown,50,0.05
A7J2_reranked_original_pool,field_family_combo,basis;volatility,24,0.024
A7J2_reranked_original_pool,field_family_combo,flow;price,20,0.02
A7J2_reranked_original_pool,field_family_combo,liquidity;volatility,12,0.012
