source_run,stage,count,rate_vs_generated
A7I1B_original_generator,generated,1000.0,1.0
A7I1B_original_generator,non_may_preselection_pass,,
A7I1B_original_generator,selected,256.0,0.256
A7I1B_original_generator,research_candidate,1.0,0.001
A7I1B_original_generator,placebo_research_candidate,0.0,0.0
A7I1B_original_generator,non_flow_research_candidate,0.0,0.0
A7J2_reranked_original_pool,generated,1000.0,1.0
A7J2_reranked_original_pool,non_may_preselection_pass,11.0,0.011
A7J2_reranked_original_pool,selected,256.0,0.256
A7J2_reranked_original_pool,research_candidate,0.0,0.0
A7J2_reranked_original_pool,placebo_research_candidate,0.0,0.0
A7J2_reranked_original_pool,non_flow_research_candidate,0.0,0.0
A7K2_new_space,generated,1000.0,1.0
A7K2_new_space,non_may_preselection_pass,64.0,0.064
A7K2_new_space,selected,64.0,0.064
A7K2_new_space,research_candidate,0.0,0.0
A7K2_new_space,placebo_research_candidate,0.0,0.0
A7K2_new_space,non_flow_research_candidate,0.0,0.0
