source_run,generated,unique_expr_hash,unique_expr_ratio,arm_count,family_count,field_family_combo_count,operator_combo_count,horizon_count,preselection_pass_count,preselection_pass_rate,selected_count,selected_rate,top_family_share,top_field_family_combo_share,top_operator_combo_share,max_formula_depth,median_formula_depth
A7I1B_original_generator,1000,723,0.723,4,4,14,15,2,,,256,0.256,0.25,0.156,0.233,2,2.0
A7J2_reranked_original_pool,1000,723,0.723,4,4,14,15,2,11.0,0.011,256,0.256,0.25,0.156,0.233,2,2.0
A7K2_new_space,1000,1000,1.0,4,4,15,8,2,64.0,0.064,64,0.064,0.25,0.104,0.606,3,2.0
