feature_family_set,cell_count,w2_registry_candidates,quarantined_cells,raw_weak_cells,cost_lag_redesign_cells,residual_redesign_cells,mean_pre_may_pass_rate,mean_cost20_fail_rate,mean_lag1_fail_rate,may_stress_veto_rate_stress_only,policy_uses_may
P1_range_volatility,26,11,0,8,2,0,0.2948717948717948,0.5929487179487181,0.5256410256410257,0.8381410256410258,False
P11_volatility_basis,26,8,0,5,4,0,0.26166666666666666,0.5833333333333333,0.5183333333333333,0.8333333333333333,False
P3_trade_size,26,8,0,11,0,0,0.25666666666666665,0.6333333333333333,0.58,0.7249999999999999,False
P14_horizon_spread,25,8,0,7,1,0,0.22463768115942032,0.6068840579710145,0.5253623188405797,0.7717391304347826,False
P10_price_liquidity,21,6,1,3,6,0,0.2719298245614035,0.6052631578947368,0.5350877192982456,0.7149122807017543,False
P7_cross_symbol_relative,31,5,0,14,4,2,0.1221264367816092,0.7112068965517243,0.6364942528735632,0.7298850574712644,False
P0_price_return,26,5,0,13,3,0,0.165,0.7049999999999998,0.625,0.7866666666666666,False
P6_funding_observable,32,2,0,11,2,1,0.125,0.6566091954022989,0.5603448275862069,0.8132183908045977,False
P9_price_basis,25,2,0,12,3,2,0.10227272727272728,0.7651515151515152,0.6742424242424243,0.7537878787878788,False
P5_basis_premium,24,2,0,6,6,3,0.16304347826086957,0.7010869565217391,0.5996376811594202,0.7880434782608695,False
P12_liquidity_flow,18,2,0,5,3,0,0.18749999999999997,0.7199074074074074,0.6597222222222222,0.775462962962963,False
P2_liquidity,18,2,0,10,2,0,0.16666666666666669,0.7181372549019609,0.659313725490196,0.6029411764705883,False
P8_regime_state,28,0,1,6,1,0,0.3605769230769231,0.5272435897435898,0.4823717948717948,0.6955128205128205,False
P13_trade_size_volatility,24,0,0,10,2,0,0.23674242424242428,0.6647727272727273,0.6079545454545454,0.7651515151515152,False
P4_taker_flow,20,0,0,16,2,0,0.04398148148148148,0.8888888888888888,0.8194444444444444,0.7824074074074074,False
P15_open_ast_diverse,14,0,0,5,1,0,0.3237179487179487,0.5673076923076923,0.49679487179487175,0.705128205128205,False
