semantic_pair,blocker_family,rows
basis_premium_like,pre_may_unstable,2854
listing_age_like,pre_may_unstable,1264
basis_premium_like,control_dominated,996
open_interest_like|positioning_like,pre_may_unstable,827
open_interest_like|basis_premium_like,pre_may_unstable,599
listing_age_like|regime_state,pre_may_unstable,591
volatility_like|regime_state,pre_may_unstable,566
basis_premium_like,lag_fragile,453
volatility_like,control_dominated,349
volatility_like,pre_may_unstable,346
open_interest_like|positioning_like,control_dominated,253
volatility_like|regime_state,control_dominated,152
listing_age_like|regime_state,control_dominated,129
listing_age_like,control_dominated,125
open_interest_like|basis_premium_like,control_dominated,121
basis_premium_like,numeric_clue,92
basis_premium_like,rank_label_diagnostic_clue,37
volatility_like,rank_label_diagnostic_clue,21
listing_age_like,rank_label_diagnostic_clue,8
basis_premium_like,cost_fragile,7
volatility_like,numeric_clue,4
listing_age_like,numeric_clue,3
volatility_like|regime_state,rank_label_diagnostic_clue,2
basis_premium_like,nonoverlap_weak,1
