gate,pass_count,fail_count,pass_rate
raw_recent_positive,57,943,0.057
cost20_recent_nonnegative,70,930,0.07
cost20_validation_nonnegative,93,907,0.093
raw_validation_positive,93,907,0.093
lag1_recent_nonnegative,103,897,0.103
lag1_validation_nonnegative,147,853,0.147
residual_funding_validation_positive,531,469,0.531
residual_core4_recent_positive,560,440,0.56
residual_funding_recent_positive,562,438,0.562
recent_gross_exposure,948,52,0.948
spot_artifact,948,52,0.948
validation_gross_exposure,948,52,0.948
beta,994,6,0.994
recent_n,1000,0,1.0
validation_n,1000,0,1.0
