artifact_type,stage_id,path,commit,commit_subject,bytes
report,A7U0R-SOURCE-TRACE-AUDIT,reports/CRYPTO_A7U0R_SOURCE_TRACE_AUDIT_20260522.md,5dad490,update crypto a7u0r source trace pass,4999
runtime,A7W0,runtime/a7w0_post_source_trace_status/a7w0_authorization_matrix.json,0a7c50a,update source trace pass and post status,828
runtime,A7W0,runtime/a7w0_post_source_trace_status/a7w0_manifest.json,0a7c50a,update source trace pass and post status,370
runtime,A7W0,runtime/a7w0_post_source_trace_status/a7w0_stage_status.csv,0a7c50a,update source trace pass and post status,779
report,A7W0-POST-SOURCE-TRACE-STATUS,reports/CRYPTO_A7W0_POST_SOURCE_TRACE_STATUS_20260522.md,0a7c50a,update source trace pass and post status,4350
runtime,BASELINES,runtime/baselines/crypto_core4_conservative_dry_shadow_v0.json,cd052a1,initial crypto alphafactory artifacts,952
runtime,BASELINES,runtime/baselines/crypto_core4_locked_research_book_v1.json,cd052a1,initial crypto alphafactory artifacts,4109
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/COMPANY_FULL_RUN_SUMMARY.md,f2f8c3b,add company a7al2q2r full run artifacts,1204
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/logs/a7al2q2r_company_full_20260528.err.log,f2f8c3b,add company a7al2q2r full run artifacts,3
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/logs/a7al2q2r_company_full_20260528.out.log,f2f8c3b,add company a7al2q2r full run artifacts,11857
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/reports/CRYPTO_A7AL2Q_LOCAL_OI_PRICE_FORMULA_SEARCH_20260528.md,f2f8c3b,add company a7al2q2r full run artifacts,10477
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/reports/CRYPTO_A7AL2R_LOCAL_FORENSIC_20260528.md,f2f8c3b,add company a7al2q2r full run artifacts,19256
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_candidate_scoreboard.csv,f2f8c3b,add company a7al2q2r full run artifacts,87187
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_control_dominance.csv,f2f8c3b,add company a7al2q2r full run artifacts,220450
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_cost_proxy.csv,f2f8c3b,add company a7al2q2r full run artifacts,911896
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_decision_record.json,f2f8c3b,add company a7al2q2r full run artifacts,407
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_deep_audit_scoreboard.csv,f2f8c3b,add company a7al2q2r full run artifacts,10420
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_eval_errors.csv,f2f8c3b,add company a7al2q2r full run artifacts,2
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_executed_fast_replay_candidates.csv,f2f8c3b,add company a7al2q2r full run artifacts,48800
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_fast_replay_metrics.csv,f2f8c3b,add company a7al2q2r full run artifacts,1385870
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_generated_candidates.csv,f2f8c3b,add company a7al2q2r full run artifacts,1508959
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_latency_label_alignment.csv,f2f8c3b,add company a7al2q2r full run artifacts,10969
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_manifest.json,f2f8c3b,add company a7al2q2r full run artifacts,2019
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_nonoverlap_offset_tstats.csv,f2f8c3b,add company a7al2q2r full run artifacts,2
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_overlap_robust_tstats.csv,f2f8c3b,add company a7al2q2r full run artifacts,2
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_reject_reason_summary.csv,f2f8c3b,add company a7al2q2r full run artifacts,98
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_selected_for_fast_replay.csv,f2f8c3b,add company a7al2q2r full run artifacts,48800
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2q_local_oi_price_formula_search/a7al2q_timevarying_latent_metrics.csv,f2f8c3b,add company a7al2q2r full run artifacts,2
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_control_dominance.csv,f2f8c3b,add company a7al2q2r full run artifacts,19776
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_decision_record.csv,f2f8c3b,add company a7al2q2r full run artifacts,2513
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_eval_errors.csv,f2f8c3b,add company a7al2q2r full run artifacts,2
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_input_candidates.csv,f2f8c3b,add company a7al2q2r full run artifacts,9106
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_latent_state_contribution.csv,f2f8c3b,add company a7al2q2r full run artifacts,50148
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_manifest.json,f2f8c3b,add company a7al2q2r full run artifacts,1785
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_month_contribution.csv,f2f8c3b,add company a7al2q2r full run artifacts,21195
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_nonoverlap_offset_tstats.csv,f2f8c3b,add company a7al2q2r full run artifacts,128809
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_orientation_audit.csv,f2f8c3b,add company a7al2q2r full run artifacts,1272
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_overlap_robust_tstats.csv,f2f8c3b,add company a7al2q2r full run artifacts,7173
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_symbol_contribution.csv,f2f8c3b,add company a7al2q2r full run artifacts,51958
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_timevarying_latent_metrics.csv,f2f8c3b,add company a7al2q2r full run artifacts,17318
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_top_gain_loss_hours.csv,f2f8c3b,add company a7al2q2r full run artifacts,108808
runtime,COMPANY-A7AL2Q2R-FULL,runtime/company_a7al2q2r_full_20260528/runtime/a7al2r_local_forensic/a7al2r_variant_metrics.csv,f2f8c3b,add company a7al2q2r full run artifacts,241038
