interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,delta_4h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_close_bps_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,delta_4h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_premium_close_bps_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,zscore_72h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_close_bps_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_premium_close_bps_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,zscore_168h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_close_bps_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_premium_close_bps_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,shock_24h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_close_bps_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_close_bps,basis_premium,shock_24h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_premium_close_bps_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,delta_4h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_index_basis_bps_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,delta_4h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_index_basis_bps_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,zscore_72h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_index_basis_bps_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_index_basis_bps_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_index_basis_bps_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_index_basis_bps_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,shock_24h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_index_basis_bps_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_index_basis_bps,basis_premium,shock_24h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_index_basis_bps_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,delta_4h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_trade_basis_bps_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,delta_4h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_trade_basis_bps_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,zscore_72h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_trade_basis_bps_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_trade_basis_bps_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_trade_basis_bps_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_trade_basis_bps_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,shock_24h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_mark_trade_basis_bps_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,mark_trade_basis_bps,basis_premium,shock_24h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_mark_trade_basis_bps_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,delta_4h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_basis_abs_168h_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,delta_4h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_basis_abs_168h_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,zscore_72h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_basis_abs_168h_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,zscore_72h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_basis_abs_168h_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,zscore_168h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_basis_abs_168h_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,zscore_168h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_basis_abs_168h_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,shock_24h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_basis_abs_168h_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,basis_abs_168h,basis_premium,shock_24h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_basis_abs_168h_shock_24h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_abs_168h,basis_premium,delta_4h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_abs_168h_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_abs_168h,basis_premium,delta_4h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_premium_abs_168h_delta_4h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_abs_168h,basis_premium,zscore_72h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_abs_168h_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_abs_168h,basis_premium,zscore_72h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_premium_abs_168h_zscore_72h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_abs_168h,basis_premium,zscore_168h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_abs_168h_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_abs_168h,basis_premium,zscore_168h,SafeDiv,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_SafeDiv_premium_abs_168h_zscore_168h
I2_OI_delta_x_basis_premium_dislocation,open_interest_last,open_interest,premium_abs_168h,basis_premium,shock_24h,Mul,core16ge_I2_OI_delta_x_basis_premium_dislocation_open_interest_last_Mul_premium_abs_168h_shock_24h
