field_name,field_family,field_source,role,generator_enabled,requires_agg_features_available_mask,availability_scope,cross_symbol_scope,feature_available_lag_bars,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed,notes
agg_trade_count,activity_liquidity,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_underlying_trade_count,activity_liquidity,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_quantity,activity_liquidity,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_notional,activity_liquidity,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_buy_agg_trade_count,flow,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_sell_agg_trade_count,flow,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_buy_underlying_trade_count,flow,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_sell_underlying_trade_count,flow,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_buy_quantity,flow,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_sell_quantity,flow,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
agg_buy_notional,flow,aggtrades_enhanced_v1,feature,True,True,core3_available_rows_only,"BTCUSDT,ETHUSDT,SOLUSDT",1,False,False,False,Loaded by agg-aware generator only. Old A7M/A7O generators remain unchanged unless this registry is explicitly enabled.
