source_info_axis,next_wave_family,label_family,deep_audit_rows
raw_multi_axis,raw_multi_axis_probe,L1_cross_sectional_relative_return,11
raw_multi_axis,raw_multi_axis_probe,L0_raw_forward_return,10
vol_liquidity_x_basis,vol_liquidity_interaction,L0_raw_forward_return,9
vol_liquidity_x_basis,vol_liquidity_interaction,L1_cross_sectional_relative_return,9
positioning_x_basis,positioning_context_interaction,L1_cross_sectional_relative_return,6
raw_multi_axis,raw_multi_axis_probe,L3_liquidity_tier_relative_return,6
positioning_x_basis,positioning_context_interaction,L5_vol_adjusted_return,6
positioning_x_basis,positioning_context_interaction,L3_liquidity_tier_relative_return,5
vol_liquidity_x_basis,basis_context_interaction,L0_raw_forward_return,4
vol_liquidity_x_basis,basis_context_interaction,L1_cross_sectional_relative_return,4
vol_liquidity_x_basis,basis_context_interaction,L3_liquidity_tier_relative_return,4
vol_liquidity_x_basis,vol_liquidity_interaction,L3_liquidity_tier_relative_return,3
positioning_x_basis,positioning_context_interaction,L0_raw_forward_return,3
vol_liquidity_x_basis,vol_liquidity_deep,L1_cross_sectional_relative_return,2
listing_x_basis_regime,listing_state_interaction,L1_cross_sectional_relative_return,2
listing_x_basis_regime,listing_state_interaction,L0_raw_forward_return,2
raw_multi_axis,raw_multi_axis_probe,L5_vol_adjusted_return,2
vol_liquidity_x_basis,vol_liquidity_deep,L0_raw_forward_return,2
listing_x_basis_regime,listing_state_interaction,L3_liquidity_tier_relative_return,1
positioning_x_basis,positioning_flow_recovery,L3_liquidity_tier_relative_return,1
vol_liquidity_x_basis,basis_crowding_deep,L5_vol_adjusted_return,1
