variant,cost_tier,split,n,mean,annualized_mean,std,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min,q01,q05,median,q95,q99,bars_le_minus_1pct,bars_le_minus_5pct,bars_le_minus_10pct,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_multiplier,median_multiplier,mean_gross_exposure,max_gross_exposure,mean_turnover,fee_drag_total,funding_drag_total
R0_unscaled,zero_0bp,train_2024,8784,0.00036559111926062006,3.202578204723032,0.01222752313288355,2.798396168489588,4.1740978032376095,0.5166211293260473,3.2113523915852866,-2.643798332295016,11.878325151412717,-0.9331922348500765,-0.0847221374271111,-0.030848105475161508,-0.019257559548760073,0.00036619413481298334,0.019197487266189226,0.03383338298280289,1386,9,0,12,8,0.6666666666666666,-1.4028835769484793,1.0,1.0,1.9287340619307833,2.0,0.38038858530661807,0.0,0.10195502166666703
R0_unscaled,zero_0bp,validation_2025H1,4344,0.0006643313191894143,5.8195423560992685,0.011655535096485465,5.334633205666158,6.48311869435302,0.5538674033149171,2.8858552505588158,-2.384823309837199,12.273806690821567,-0.9216009315516366,-0.1699436712884519,-0.030625375289503893,-0.01759330276796515,0.0012848197104093667,0.017353211483147484,0.0277679690554655,597,7,2,6,3,0.5,-0.9948987198298083,1.0,1.0,2.0,2.0,0.36291436464088395,0.0,-0.09534110499997692
R0_unscaled,zero_0bp,recent_oos_2025H2_2026,7296,0.0006399092276690666,5.605604834381023,0.008556524800419482,6.9995966155797245,10.887066586958955,0.5327576754385965,4.66877772507351,-2.4930015727887116,80.61269680799849,-0.9207714235459139,-0.0420651762824107,-0.021874670349399435,-0.012251287661357215,0.00040609222782795,0.01337760485530175,0.02382712501800446,558,0,0,10,9,0.9,-1.8217236968767512,1.0,1.0,1.9899259868421053,2.0,0.3788719846491228,0.0,-0.03590224249998679
R0_unscaled,normal_5bp,train_2024,8784,0.00017539682660731097,1.5364762010800441,0.01223004479178081,1.3422880908767776,2.0007236638907693,0.5080828779599271,1.5406857249186197,-2.856631665628349,1.4225544508240109,-0.9460384457786868,-0.08476380409377776,-0.03106909601217836,-0.01938811276688903,0.00018360035754083333,0.019030814301166977,0.033611716316136235,1409,10,0,12,7,0.5833333333333334,-1.5912169102818128,1.0,1.0,1.9287340619307833,2.0,0.38038858530661807,1.6706666666666665,0.10195502166666703
R0_unscaled,normal_5bp,validation_2025H1,4344,0.0004828741368689723,4.229977438972197,0.011655877663152367,3.8774036731995296,4.716900039844901,0.5474217311233885,2.0976052505588156,-2.6730316431705403,5.036755562430614,-0.9412610527928157,-0.17006867128845188,-0.03088890127890694,-0.017775221352615854,0.0011033264170701,0.017201017278312126,0.027652149948344022,611,7,2,6,3,0.5,-1.1498987198298083,1.0,1.0,2.0,2.0,0.36291436464088395,0.7882499999999999,-0.09534110499997692
R0_unscaled,normal_5bp,recent_oos_2025H2_2026,7296,0.00045047323534450507,3.9461455416178643,0.008559823631458508,4.925566981409712,7.648149499737224,0.5167214912280702,3.286652725073509,-2.6662760155283936,19.497543662499414,-0.9334305342227942,-0.0421901762824107,-0.02209317658889444,-0.012407306127818566,0.00021045650687361673,0.01314702722875345,0.02361866549719978,584,0,0,10,8,0.8,-1.9838903635434177,1.0,1.0,1.9899259868421053,2.0,0.3788719846491228,1.382125,-0.03590224249998679
R0_unscaled,stress_10bp,train_2024,8784,-1.4797466045998049e-05,-0.1296258025629429,0.012233628656681398,-0.11320982304206563,-0.1686166677599071,0.4993169398907104,-0.12998094174804686,-3.0694649989616893,-0.5444878692081139,-0.9601871810440119,-0.08480547076044444,-0.031255256703501474,-0.019578321945115613,-9.257206001433315e-06,0.01889174616318931,0.03352363906911399,1449,10,0,12,5,0.4166666666666667,-1.779550243615146,1.0,1.0,1.9287340619307833,2.0,0.38038858530661807,3.341333333333333,0.10195502166666703
R0_unscaled,stress_10bp,validation_2025H1,4344,0.00030141695454853016,2.640412521845124,0.011657693732938528,2.4199538795323017,2.947381616142415,0.5398250460405156,1.309355250558815,-2.9612399765038684,1.7448410584271112,-0.9561545327966392,-0.1701936712884519,-0.031150959232170043,-0.017962672256090145,0.0009438200016687499,0.017069815329274277,0.027545066615010702,629,7,2,6,3,0.5,-1.3048987198298083,1.0,1.0,2.0,2.0,0.36291436464088395,1.5764999999999998,-0.09534110499997692
R0_unscaled,stress_10bp,recent_oos_2025H2_2026,7296,0.00026103724301994373,2.286686248854707,0.008565224240483811,2.8524352161134994,4.424063941644953,0.5038377192982456,1.9045277250735095,-2.8397343488617293,4.146063490338274,-0.9440697913001911,-0.0423151762824107,-0.022328435662382476,-0.012603042664276901,4.134230773394996e-05,0.012960824400953074,0.023535332163866447,600,0,0,10,7,0.7,-2.1460570302100845,1.0,1.0,1.9899259868421053,2.0,0.3788719846491228,2.76425,-0.03590224249998679
R0_unscaled,severe_20bp,train_2024,8784,-0.00039518605135261607,-3.4618298098489166,0.012243978997096719,-3.0208633782138987,-4.492152631771869,0.48178506375227687,-3.4713142750813795,-5.640350640091054,-0.9839161889521866,-0.9980212454212115,-0.08488880409377776,-0.03165823645211938,-0.020033829224576607,-0.0003752001174976461,0.018525552427797836,0.03313546282315353,1516,10,0,12,4,0.3333333333333333,-2.1562169102818127,1.0,1.0,1.9287340619307833,2.0,0.38038858530661807,6.682666666666666,0.10195502166666703
R0_unscaled,severe_20bp,validation_2025H1,4344,-6.149741009235355e-05,-0.5387173124090171,0.011665743070854282,-0.49339696320340337,-0.6025383542005643,0.5239410681399632,-0.2671447494411838,-3.601867739234843,-0.4328986816052812,-0.9773215016409016,-0.1704436712884519,-0.031678693322185314,-0.01836716572122495,0.0005698682903006668,0.016606976500491213,0.027353211835963835,646,7,2,6,3,0.5,-1.6148987198298081,1.0,1.0,2.0,2.0,0.36291436464088395,3.1529999999999996,-0.09534110499997692
R0_unscaled,severe_20bp,recent_oos_2025H2_2026,7296,-0.00011783474162917902,-1.0322323366716082,0.008582313377278059,-1.2850529961314419,-1.9879276398893588,0.47875548245614036,-0.8597222749264901,-3.446705759680518,-0.6760269227159661,-0.9705441639684105,-0.0425651762824107,-0.022749268995715808,-0.013065902678333042,-0.00029846731952778337,0.012644227918642267,0.023368665497199778,652,0,0,10,4,0.4,-2.4703903635434177,1.0,1.0,1.9899259868421053,2.0,0.3788719846491228,5.5285,-0.03590224249998679
R1_gross_1x_cap,zero_0bp,train_2024,8784,0.0001832942556896096,1.60565767984098,0.006688861663587883,2.564771585820502,3.6357853073972226,0.5166211293260473,1.6100567419775307,-1.343229952398751,3.110334361063681,-0.7487613260726713,-0.05648142495140741,-0.01786445858350967,-0.010301689468529253,0.00018859200794896667,0.010450958432505547,0.019339118430547576,475,2,0,12,8,0.6666666666666666,-0.7678182293340498,0.5239071038251367,0.5,1.0,1.0,0.1982945633475005,0.0,0.08846145874999478
R1_gross_1x_cap,zero_0bp,validation_2025H1,4344,0.00033216565959470713,2.9097711780496343,0.005827767548242733,5.334633205666158,6.48311869435302,0.5538674033149171,1.4429276252794079,-1.1924116549185995,2.9292994213501844,-0.7083223750435417,-0.08497183564422595,-0.015312687644751946,-0.008796651383982576,0.0006424098552046834,0.008676605741573742,0.01388398452773275,161,2,0,6,3,0.5,-0.49744935991490413,0.5,0.5,1.0,1.0,0.18145718232044197,0.0,-0.04767055249998846
R1_gross_1x_cap,zero_0bp,recent_oos_2025H2_2026,7296,0.0003252733112900636,2.849394206900957,0.004306060747194721,7.0700149417590765,11.005035253157931,0.5327576754385965,2.373194079172304,-1.2561985763794774,9.028253646289869,-0.7183258851745202,-0.02103258814120535,-0.010942421627780552,-0.006166046228945838,0.00020439241372778333,0.006732710827006996,0.012105134112342816,97,0,0,10,9,0.9,-0.9205596384234971,0.502375730994152,0.5,0.9990405701754386,1.0,0.19062956871345027,0.0,-0.017291175138882287
R1_gross_1x_cap,normal_5bp,train_2024,8784,8.41469740158593e-05,0.7371274923789275,0.006690344134732453,1.1771778961612132,1.6688941758447573,0.5080828779599271,0.7391470197553082,-1.4630982380648048,0.7204487865237035,-0.7792818918474798,-0.05650920272918518,-0.01793201180329413,-0.010385782738141107,9.317285633312498e-05,0.010357485271955564,0.019213712965959053,483,2,0,12,8,0.6666666666666666,-0.8630265626673831,0.5239071038251367,0.5,1.0,1.0,0.1982945633475005,0.8709097222222221,0.08846145874999478
R1_gross_1x_cap,normal_5bp,validation_2025H1,4344,0.00024143706843448616,2.1149887194860986,0.005827938831576183,3.8774036731995296,4.716900039844901,0.5474217311233885,1.0488026252794078,-1.3365158215852702,1.649659566772201,-0.7474959082279983,-0.08503433564422594,-0.01544445063945347,-0.008887610676307927,0.00055166320853505,0.008600508639156063,0.013826074974172011,164,2,0,6,3,0.5,-0.5749493599149041,0.5,0.5,1.0,1.0,0.18145718232044197,0.39412499999999995,-0.04767055249998846
R1_gross_1x_cap,normal_5bp,recent_oos_2025H2_2026,7296,0.0002299585269333384,2.0144366959360442,0.004307582259815504,4.996524155775054,7.763155405834507,0.5167214912280702,1.677777412505637,-1.3447385755270957,4.003420510855015,-0.742257342318887,-0.02109508814120535,-0.011061614692518327,-0.006246346198273097,0.00010655954512560004,0.006642914160283755,0.012040550779009474,98,0,0,10,8,0.8,-1.0035457495346083,0.502375730994152,0.5,0.9990405701754386,1.0,0.19062956871345027,0.6954166666666666,-0.017291175138882287
R1_gross_1x_cap,stress_10bp,train_2024,8784,-1.5000307657890902e-05,-0.1314026950831243,0.006692380042661829,-0.20978364364647095,-0.29743461238419894,0.4993169398907104,-0.13176270246691368,-1.5940288142558747,-0.27996322289196884,-0.8188941658073646,-0.056536980506962965,-0.01803810183810433,-0.010487402670897143,-4.6286030007166575e-06,0.010257214336587437,0.019113050583275778,489,2,0,12,5,0.4166666666666667,-0.9582348960007164,0.5239071038251367,0.5,1.0,1.0,0.1982945633475005,1.7418194444444441,0.08846145874999478
R1_gross_1x_cap,stress_10bp,validation_2025H1,4344,0.00015070847727426508,1.320206260922562,0.005828846866469264,2.4199538795323017,2.947381616142415,0.5398250460405156,0.6546776252794075,-1.4806199882519342,0.7866579214959892,-0.7814126588162086,-0.08509683564422595,-0.015575479616085021,-0.008981336128045072,0.00047191000083437497,0.008534907664637138,0.013772533307505351,171,2,0,6,3,0.5,-0.6524493599149042,0.5,0.5,1.0,1.0,0.18145718232044197,0.7882499999999999,-0.04767055249998846
