candidate_id,arm,candidate_decision,raw_10bp__fresh_forward_2026May__annualized_mean,residual_vs_funding_10bp__fresh_forward_2026May__annualized_mean,reject_reasons,may_used_for_ranking,may_used_for_selection
i1_flow_liquidity_237,I1_flow_liquidity,A7J_CLUE_ONLY,-5.963341027849613,-2.215079226661637,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_021,I1_flow_liquidity,A7J_CLUE_ONLY,-5.281552218244906,-1.701038668710512,funding_beta_too_high;core4_beta_too_high;may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_023,I1_flow_liquidity,A7J_CLUE_ONLY,-5.281552218244906,-1.7107600879028524,funding_beta_too_high;core4_beta_too_high;may_stress_severe_fail;may_residual_funding_negative,False,False
i2_microstructure_lite_167,I2_microstructure_lite,A7J_CLUE_ONLY,-6.820872465872915,-3.810177690118481,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_203,I1_flow_liquidity,A7J_CLUE_ONLY,-4.926100283192914,-1.817092929554004,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_235,I1_flow_liquidity,A7J_CLUE_ONLY,-4.928021311647785,-1.9650138933380732,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_113,I1_flow_liquidity,A7J_CLUE_ONLY,-5.678266561248807,-1.6094854693336464,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_227,I1_flow_liquidity,A7J_CLUE_ONLY,-5.678266561248807,-1.6094854693336464,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_207,I1_flow_liquidity,A7J_CLUE_ONLY,-3.638370576765964,-1.6333795617255968,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_141,I1_flow_liquidity,A7J_CLUE_ONLY,-4.963957922766348,-2.648924396785276,may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_107,I1_flow_liquidity,A7J_CLUE_ONLY,-4.536981493679106,-1.114803183335947,cost20_recent_negative;may_stress_severe_fail;may_residual_funding_negative,False,False
i1_flow_liquidity_239,I1_flow_liquidity,A7J_CLUE_ONLY,-5.13797965464329,-1.729791064758132,may_stress_severe_fail;may_residual_funding_negative,False,False
