source_blueprint_id,blueprint_id,horizon_h,expression,formula,candidate_role,semantic_pair,motif,skeleton_key,source_lag_gate,sortino_source_lag_1h,sortino_source_lag_2h,sortino_source_lag_4h,nonoverlap_floor_sortino_source_lag_1h,nonoverlap_floor_sortino_source_lag_2h,nonoverlap_floor_sortino_source_lag_4h,rankic_mean_source_lag_2h,floor_retention_source_lag_2h,source_lag_survivor_rank
a7mech1_0020,a7mech1_0020_oi_only_tsrank,4,"TSRank(open_interest_last,504)","TSRank(open_interest_last,504)",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"TSRank(open_interest_last,N)",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,16.816293202518388,15.081519187006643,12.402323808255163,13.63673267543762,13.932805697596448,10.55076135138576,0.0214064867479921,0.8521534186660015,1
a7mech1_0021,a7mech1_0021_oi_only_cs_tsrank,4,"CSRank(TSRank(open_interest_last,504))","CSRank(TSRank(open_interest_last,504))",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"CSRank(TSRank(open_interest_last,N))",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,16.816293202518388,15.081519187006643,12.402323808255163,13.63673267543762,13.932805697596448,10.55076135138576,0.0214064867479921,0.8521534186660015,2
a7mech1_0054,a7mech1_0054_oi_only_tsrank,8,"TSRank(open_interest_last,504)","TSRank(open_interest_last,504)",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"TSRank(open_interest_last,N)",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,15.647507599390083,14.342789112903914,12.837404927440982,13.694766292132789,13.369853472656644,10.107193354729493,0.0297740049122017,0.8359048783402201,3
a7mech1_0055,a7mech1_0055_oi_only_cs_tsrank,8,"CSRank(TSRank(open_interest_last,504))","CSRank(TSRank(open_interest_last,504))",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"CSRank(TSRank(open_interest_last,N))",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,15.647507599390083,14.342789112903914,12.837404927440982,13.694766292132789,13.369853472656644,10.107193354729493,0.0297740049122017,0.8359048783402201,4
a7mech1_0026,a7mech1_0026_oi_only_tsrank,4,"TSRank(open_interest_mean,504)","TSRank(open_interest_mean,504)",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"TSRank(open_interest_mean,N)",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,16.548096616064626,14.947788240986668,12.489983840205268,15.21878387479593,13.243709327486355,11.672651187279577,0.020357160643815,0.868174865767206,5
a7mech1_0027,a7mech1_0027_oi_only_cs_tsrank,4,"CSRank(TSRank(open_interest_mean,504))","CSRank(TSRank(open_interest_mean,504))",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"CSRank(TSRank(open_interest_mean,N))",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,16.548096616064626,14.947788240986668,12.489983840205268,15.21878387479593,13.243709327486355,11.672651187279577,0.020357160643815,0.868174865767206,6
a7mech1_0018,a7mech1_0018_oi_only_tsrank,4,"TSRank(open_interest_last,336)","TSRank(open_interest_last,336)",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"TSRank(open_interest_last,N)",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,15.512689213762876,14.314149427747829,12.005698691944552,13.161270191652475,13.09600073098004,10.30183026086752,0.0228128563792965,0.8761345941678281,7
a7mech1_0019,a7mech1_0019_oi_only_cs_tsrank,4,"CSRank(TSRank(open_interest_last,336))","CSRank(TSRank(open_interest_last,336))",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"CSRank(TSRank(open_interest_last,N))",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,15.512689213762876,14.314149427747829,12.005698691944552,13.161270191652475,13.09600073098004,10.30183026086752,0.0228128563792965,0.8761345941678281,8
a7mech1_0060,a7mech1_0060_oi_only_tsrank,8,"TSRank(open_interest_mean,504)","TSRank(open_interest_mean,504)",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"TSRank(open_interest_mean,N)",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,15.5223628701878,14.355362492405142,13.003069431769816,13.910472446403096,12.708393260811963,10.2740741841595,0.0295600713067873,0.844228416924076,9
a7mech1_0061,a7mech1_0061_oi_only_cs_tsrank,8,"CSRank(TSRank(open_interest_mean,504))","CSRank(TSRank(open_interest_mean,504))",source_lag_survivor_research_candidate,open_interest,a7source5_source_lag_survivor,"CSRank(TSRank(open_interest_mean,N))",PASS_SOURCE_LAG_1H_2H_DIAGNOSTIC,15.5223628701878,14.355362492405142,13.003069431769816,13.910472446403096,12.708393260811963,10.2740741841595,0.0295600713067873,0.844228416924076,10
