symbol,component_id,may_gross_price_pnl_sum,may_funding_current_long_only_drag_sum,may_funding_full_signed_pnl_sum,may_fee_drag_sum,may_turnover_sum,may_net_current_long_only_sum,may_net_full_signed_sum,expression,horizon,orientation,train_ic_mean
ADAUSDT,funding_rate_h6,-0.059213144511427826,0.00012723999999999998,0.0015969600000000001,0.004999999999999999,5.0,-0.06434038451142784,-0.06261618451142785,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
AVAXUSDT,funding_rate_h6,0.013246607488425051,0.00018712000000000004,0.00114358,0.007333333333333333,7.333333333333333,0.0057261541550917075,0.007056854155091705,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
BCHUSDT,funding_rate_h6,-0.21908717271041173,-0.0008740599999999999,0.0007997799999999999,0.003,3.0,-0.22104644604374504,-0.22112072604374505,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
BNBUSDT,funding_rate_h6,-0.0655886359281038,0.00022623999999999998,-8.327999999999998e-05,0.004,3.9999999999999996,-0.06981487592810379,-0.06967191592810378,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
BTCUSDT,funding_rate_h6,0.07230436293960396,-0.00036602,0.00063466,0.005333333333333333,5.333333333333333,0.06750371627293729,0.06777235627293728,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
DOGEUSDT,funding_rate_h6,-0.02936686425106337,0.00035739999999999996,9.006000000000002e-05,0.005333333333333333,5.333333333333333,-0.03505759758439671,-0.03461013758439672,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
ETHUSDT,funding_rate_h6,-0.007978771299636159,-0.00056964,0.00129904,0.0031666666666666666,3.1666666666666665,-0.010409131299636158,-0.00967973129963616,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
LINKUSDT,funding_rate_h6,-0.09709190932087094,0.00039475999999999997,0.00108712,0.0055,5.5,-0.10298666932087096,-0.10150478932087094,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
LTCUSDT,funding_rate_h6,0.014669747865069208,0.00053922,-0.00044966000000000006,0.0045,4.5,0.009797194531735883,0.009886754531735882,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
SOLUSDT,funding_rate_h6,-0.10670228909979568,0.00018136,0.00043096,0.005166666666666667,5.166666666666666,-0.11205031576646238,-0.11143799576646235,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
SUIUSDT,funding_rate_h6,0.20960543057578135,0.00011665999999999998,0.00015597999999999998,0.0058333333333333345,5.833333333333332,0.20382210390911476,0.2040947439091147,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
XRPUSDT,funding_rate_h6,0.04031642813927526,0.00038337999999999995,-1.204e-05,0.004833333333333334,4.833333333333333,0.035266381472608604,0.035637721472608595,ZScore(latest_known_funding_rate),6,-1.0,-0.019099199241048068
ADAUSDT,funding_rate_h12,-0.04685526811235759,0.00038693,0.00258254,0.004999999999999999,5.0,-0.0522421981123576,-0.04927272811235761,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
AVAXUSDT,funding_rate_h12,-0.12633637402692574,0.0005858,0.0016143966666666665,0.007333333333333333,7.333333333333333,-0.1342555073602591,-0.1320553106935924,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
BCHUSDT,funding_rate_h12,-0.5274416625765558,-0.0015763766666666663,0.00130759,0.003,3.0,-0.5286986192432225,-0.5289674059098891,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
BNBUSDT,funding_rate_h12,-0.0824264001145747,0.0003902533333333333,0.0002854433333333333,0.004,3.9999999999999996,-0.08681665344790804,-0.08614095678124134,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
BTCUSDT,funding_rate_h12,0.01130210800328818,-0.0007537433333333333,0.00132095,0.005333333333333333,5.333333333333333,0.006889184669954876,0.007456391336621515,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
DOGEUSDT,funding_rate_h12,-0.11579244147870696,0.0007342433333333332,-7.831666666666664e-05,0.005333333333333333,5.333333333333333,-0.12186001814537364,-0.12120409147870698,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
ETHUSDT,funding_rate_h12,-0.05283327824360583,-0.0011848133333333332,0.0026866066666666666,0.0031666666666666666,3.1666666666666665,-0.054648464910272476,-0.0531466715769391,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
LINKUSDT,funding_rate_h12,-0.0811953364945065,0.00044741999999999997,0.0026849733333333334,0.0055,5.5,-0.08714275649450642,-0.08401036316117316,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
LTCUSDT,funding_rate_h12,0.1533899844191563,0.0010745533333333334,-0.0007003533333333333,0.0045,4.5,0.14798209775248966,0.14835629775248965,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
SOLUSDT,funding_rate_h12,-0.2156372009933854,0.00028008,0.00099447,0.005166666666666667,5.166666666666666,-0.22108394766005207,-0.2198093976600521,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
SUIUSDT,funding_rate_h12,0.5512673112984943,0.0002593366666666666,0.000302,0.005833333333333333,5.833333333333332,0.5453413079651612,0.5459026446318278,ZScore(latest_known_funding_rate),12,-1.0,-0.0272782721976099
