symbol,timestamp,feature_time_ms,execution_time_ms,label_start_time_ms,label_end_time_h6_ms,label_end_time_h12_ms,funding_field_time_ms,funding_payment_time_ms,open_minus_funding_ms,feature_before_execution,funding_before_feature,current_event_exact
ADAUSDT,2024-01-01 00:00:00+00:00,1704070799999,1704070800000,1704070800000,1704092400000,1704114000000,1704067200000,1704067200000,0,True,True,True
ADAUSDT,2024-01-01 01:00:00+00:00,1704074399999,1704074400000,1704074400000,1704096000000,1704117600000,1704067200000,1704067200000,3600000,True,True,False
ADAUSDT,2024-01-01 02:00:00+00:00,1704077999999,1704078000000,1704078000000,1704099600000,1704121200000,1704067200000,1704067200000,7200000,True,True,False
ADAUSDT,2024-01-01 03:00:00+00:00,1704081599999,1704081600000,1704081600000,1704103200000,1704124800000,1704067200000,1704067200000,10800000,True,True,False
ADAUSDT,2024-01-01 04:00:00+00:00,1704085199999,1704085200000,1704085200000,1704106800000,1704128400000,1704067200000,1704067200000,14400000,True,True,False
ADAUSDT,2024-01-01 05:00:00+00:00,1704088799999,1704088800000,1704088800000,1704110400000,1704132000000,1704067200000,1704067200000,18000000,True,True,False
ADAUSDT,2024-01-01 06:00:00+00:00,1704092399999,1704092400000,1704092400000,1704114000000,1704135600000,1704067200000,1704067200000,21600000,True,True,False
ADAUSDT,2024-01-01 07:00:00+00:00,1704095999999,1704096000000,1704096000000,1704117600000,1704139200000,1704067200000,1704067200000,25200000,True,True,False
ADAUSDT,2024-01-01 08:00:00+00:00,1704099599999,1704099600000,1704099600000,1704121200000,1704142800000,1704096000000,1704096000000,0,True,True,True
ADAUSDT,2024-01-01 09:00:00+00:00,1704103199999,1704103200000,1704103200000,1704124800000,1704146400000,1704096000000,1704096000000,3600000,True,True,False
ADAUSDT,2024-01-01 10:00:00+00:00,1704106799999,1704106800000,1704106800000,1704128400000,1704150000000,1704096000000,1704096000000,7200000,True,True,False
ADAUSDT,2024-01-01 11:00:00+00:00,1704110399999,1704110400000,1704110400000,1704132000000,1704153600000,1704096000000,1704096000000,10800000,True,True,False
ADAUSDT,2024-01-01 12:00:00+00:00,1704113999999,1704114000000,1704114000000,1704135600000,1704157200000,1704096000000,1704096000000,14400000,True,True,False
ADAUSDT,2024-01-01 13:00:00+00:00,1704117599999,1704117600000,1704117600000,1704139200000,1704160800000,1704096000000,1704096000000,18000000,True,True,False
ADAUSDT,2024-01-01 14:00:00+00:00,1704121199999,1704121200000,1704121200000,1704142800000,1704164400000,1704096000000,1704096000000,21600000,True,True,False
ADAUSDT,2024-01-01 15:00:00+00:00,1704124799999,1704124800000,1704124800000,1704146400000,1704168000000,1704096000000,1704096000000,25200000,True,True,False
ADAUSDT,2024-01-01 16:00:00+00:00,1704128399999,1704128400000,1704128400000,1704150000000,1704171600000,1704124800000,1704124800000,0,True,True,True
ADAUSDT,2024-01-01 17:00:00+00:00,1704131999999,1704132000000,1704132000000,1704153600000,1704175200000,1704124800000,1704124800000,3600000,True,True,False
ADAUSDT,2024-01-01 18:00:00+00:00,1704135599999,1704135600000,1704135600000,1704157200000,1704178800000,1704124800000,1704124800000,7200000,True,True,False
ADAUSDT,2024-01-01 19:00:00+00:00,1704139199999,1704139200000,1704139200000,1704160800000,1704182400000,1704124800000,1704124800000,10800000,True,True,False
ADAUSDT,2024-01-01 20:00:00+00:00,1704142799999,1704142800000,1704142800000,1704164400000,1704186000000,1704124800000,1704124800000,14400000,True,True,False
ADAUSDT,2024-01-01 21:00:00+00:00,1704146399999,1704146400000,1704146400000,1704168000000,1704189600000,1704124800000,1704124800000,18000000,True,True,False
ADAUSDT,2024-01-01 22:00:00+00:00,1704149999999,1704150000000,1704150000000,1704171600000,1704193200000,1704124800000,1704124800000,21600000,True,True,False
