candidate_id,series,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,mean_turnover,mean_gross_exposure
a7h_flow_rank_taker_imbalance_h6,raw_10bp,train_2024,8736,-0.0004036210267029375,-3.5357201939177325,0.003130223644780448,-12.068421454250583,-15.676265345969552,0.43246336996337,-3.526033289276862,-3.591835530335997,-0.9718336252437868,-0.9736174134401885,-0.03871182918808313,-0.00927682774530485,-0.0053420106701854405,-0.0003231258690879104,0.004138148032617516,0.3632389505427982,0.49303721020013597
a7h_flow_rank_taker_imbalance_h6,raw_10bp,validation_2025H1,4296,-0.0003501521851232579,-3.067333141679739,0.002885510747888755,-11.357590281058886,-16.7388999266957,0.4292364990689013,-1.5042537872895159,-1.507413706879459,-0.7818013093441968,-0.7824886277902792,-0.03493242683078847,-0.007607229932693082,-0.004412197996781209,-0.00037504675859847015,0.0036539922452951752,0.3670080695220361,0.5
a7h_flow_rank_taker_imbalance_h6,raw_10bp,recent_oos_2025H2_2026Apr,7248,-0.00037834904266108847,-3.314337613711135,0.002009677864373237,-17.620500636536725,-23.669485788577838,0.40852649006622516,-2.742273861207569,-2.7390970325933255,-0.9365466159218891,-0.9363443929680131,-0.026281450913105842,-0.005916618801415496,-0.003538199889677344,-0.000348071912159691,0.0026751826619393175,0.35539689109639444,0.5
a7h_flow_rank_taker_imbalance_h6,raw_10bp,fresh_forward_2026May,392,-0.0003395278645286301,-2.9742640932707998,0.0018922846552756804,-16.79349183276734,-25.072705813819734,0.3622448979591837,-0.133094922895223,-0.13527820258173484,-0.12524948054689578,-0.12715321438090676,-0.011066580679783722,-0.005538063500956408,-0.0026869696194788606,-0.0003809338104654029,0.0021882100735363713,0.3548044217687076,0.5
a7h_flow_rank_taker_imbalance_h6,raw_20bp,train_2024,8736,-0.0007668599772457358,-6.717693400672645,0.0031351860317199833,-22.89311078227157,-29.832126476403445,0.36904761904761907,-6.699288761218748,-6.72934100227788,-0.998823142572692,-0.9988575654261975,-0.03920220165360994,-0.009699997408704284,-0.0057356403745407935,-0.0006943458487259793,0.0038002664699350033,0.3632389505427982,0.49303721020013597
a7h_flow_rank_taker_imbalance_h6,raw_20bp,validation_2025H1,4296,-0.0007171602546452939,-6.282323830692775,0.002889667600881029,-23.228457822859742,-33.98589465196857,0.3645251396648045,-3.0809204539561827,-3.083663706879469,-0.9549472747199793,-0.9550705276264098,-0.03526576016412181,-0.007944402170438299,-0.004775744478386565,-0.00071133539697261,0.0032635015790372455,0.3670080695220361,0.5
a7h_flow_rank_taker_imbalance_h6,raw_20bp,recent_oos_2025H2_2026Apr,7248,-0.000733745933757483,-6.427614379715551,0.002017664562702109,-34.03680560508244,-45.368769396151166,0.3216059602649007,-5.318190527874236,-5.314513699259988,-0.9951797355014171,-0.9951619468090073,-0.02644811757977251,-0.006282050003872096,-0.00391118128121545,-0.0007036595441187768,0.002319165774928499,0.35539689109639444,0.5
a7h_flow_rank_taker_imbalance_h6,raw_20bp,fresh_forward_2026May,392,-0.0006943322862973378,-6.082350827964679,0.0018942636711961334,-34.30670302643595,-51.03511120134616,0.25510204081632654,-0.2721782562285564,-0.27264409660626737,-0.23888729423000998,-0.23923927086439878,-0.01156658067978372,-0.005719730167623074,-0.0030316966455829065,-0.0007134052501544947,0.001795976654662438,0.3548044217687076,0.5
a7h_flow_rank_taker_imbalance_h6,residual_vs_funding_10bp,train_2024,8736,6.354298446801491e-21,5.566365439398106e-17,0.0031302234707764423,1.8999593899105723e-16,2.4470864914452865e-16,0.5132783882783882,5.551115123125783e-17,-0.6026133091028351,-0.04194176553128448,-0.4614609645123936,-0.03831121745548959,-0.008873286925215561,-0.00493833960491943,7.996297614473106e-05,0.004541727974696503,0.3632389505427982,0.49303721020013597
a7h_flow_rank_taker_imbalance_h6,residual_vs_funding_10bp,validation_2025H1,4296,5.350567832548404e-05,0.4687097421312402,0.002885444822436847,1.7355580868203782,2.560513228996462,0.5067504655493482,0.22986039408627945,-0.18140769710010934,0.23619408592007374,-0.16792066432203934,-0.034539955379359735,-0.0072046504137287335,-0.004010250878021409,2.8515558236559308e-05,0.004058939612184434,0.3670080695220361,0.5
