signal_name,field_family,a7al2_role,direct_rank_allowed,mutation_allowed,required_control
age_x_volatility,listing_age_latent_interaction,regime_state_or_neutralizer,False,True,matched wrong_lag_stale_168h dominance
range_bps,price_volatility_interaction,mutation_source_only,False,True,matched wrong_lag_future_24h and wrong_lag_stale_168h dominance
trade_count_level,liquidity_volume,mutation_source_only,False,True,matched wrong_lag_future_24h and wrong_lag_stale_168h dominance
oi_level_log,open_interest,regime_state_or_neutralizer,False,True,matched wrong_lag_stale_168h dominance
