candidate_id,expression,objective_family,source_stage,field_families,fields,operator_signature,window_signature,skeleton_key,production_key,historical_source_ok,field_lineage_ok,pit_policy_ok,negative_control_attached,selected_for_z8_materialization,preflight_decision,shared_pool_stage,control_modes,static_valid,eval_success,finite_share,nonzero_share,activity_ok,error,selected_by_z8,was_z7_selected
a7al2z7_01cba4970c25369f,"LatentNeutralRank(Sub(Rank(SafeDiv(Mean(Sub(mark_high,mark_low),12),Mean(trade_close,12))),Rank(Delta(trade_close,12))),liquidity_tier)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,liquidity_tier|mark_high|mark_low|trade_close,Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub,12,skeleton-0fd76254a649d3de,a7al2z7::M1_price_range_smoothed_reversal::liquidity_tier|mark_high|mark_low|trade_close::Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub::12,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9962654409652398,1.0,True,,True,True
a7al2z7_00db615b9305fec8,"GroupNeutralize(Mul(Rank(SafeDiv(Mean(Sub(mark_high,mark_low),48),Mean(trade_close,48))),Neg(Rank(Delta(trade_close,24)))),liquidity_tier)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,liquidity_tier|mark_high|mark_low|trade_close,Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub,24|48,skeleton-7522e672725c8071,a7al2z7::M1_price_range_smoothed_reversal::liquidity_tier|mark_high|mark_low|trade_close::Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub::24|48,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.9928181557023844,0.9999939718364198,True,,True,True
a7al2z7_009122ab58cd2a9c,"LatentNeutralRank(Sub(Rank(SafeDiv(Mean(Sub(trade_high,trade_low),12),Mean(index_close,12))),Rank(Delta(index_close,24))),R0_market_trend_state)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,R0_market_trend_state|index_close|trade_high|trade_low,Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub,12|24,skeleton-a7537d92797064d4,a7al2z7::M1_price_range_smoothed_reversal::R0_market_trend_state|index_close|trade_high|trade_low::Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub::12|24,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.8204538925596093,1.0,True,,True,True
a7al2z7_00465f6a4d7171aa,"GroupNeutralize(Mul(Rank(SafeDiv(Mean(Sub(trade_high,trade_low),48),Mean(index_close,48))),Neg(Rank(Delta(index_close,24)))),R1_market_volatility_state)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,R1_market_volatility_state|index_close|trade_high|trade_low,Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub,24|48,skeleton-a8da5fed8b17facd,a7al2z7::M1_price_range_smoothed_reversal::R1_market_volatility_state|index_close|trade_high|trade_low::Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub::24|48,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.8204538925596093,0.9999963527077498,True,,True,True
a7al2z7_05688909c97d394a,"LatentNeutralRank(Sub(Rank(SafeDiv(Mean(Sub(mark_high,mark_low),48),Mean(index_close,48))),Rank(Delta(index_close,4))),liquidity_tier)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,index_close|liquidity_tier|mark_high|mark_low,Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub,4|48,skeleton-0fd76254a649d3de,a7al2z7::M1_price_range_smoothed_reversal::index_close|liquidity_tier|mark_high|mark_low::Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub::4|48,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.993105429474289,1.0,True,,True,True
a7al2z7_06ea7f699ed8f206,"GroupNeutralize(Mul(Rank(SafeDiv(Mean(Sub(trade_high,trade_low),24),Mean(trade_close,24))),Neg(Rank(Delta(trade_close,8)))),liquidity_tier)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,liquidity_tier|trade_close|trade_high|trade_low,Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub,8|24,skeleton-7522e672725c8071,a7al2z7::M1_price_range_smoothed_reversal::liquidity_tier|trade_close|trade_high|trade_low::Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub::8|24,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.993105429474289,0.9999939735801756,True,,True,True
a7al2z7_0788b9564003a690,"GroupNeutralize(Mul(Rank(SafeDiv(Mean(Sub(mark_high,mark_low),48),Mean(index_close,48))),Neg(Rank(Delta(index_close,12)))),liquidity_tier)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,index_close|liquidity_tier|mark_high|mark_low,Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub,12|48,skeleton-7522e672725c8071,a7al2z7::M1_price_range_smoothed_reversal::index_close|liquidity_tier|mark_high|mark_low::Delta|GroupNeutralize|Mean|Mul|Neg|Rank|SafeDiv|Sub::12|48,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.993105429474289,0.999987947160351,True,,True,True
a7al2z7_0138e50d0e7b387a,"LatentNeutralRank(Sub(Rank(SafeDiv(Mean(Sub(trade_high,trade_low),72),Mean(mark_close,72))),Rank(Delta(mark_close,12))),R0_market_trend_state)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,R0_market_trend_state|mark_close|trade_high|trade_low,Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub,12|72,skeleton-a7537d92797064d4,a7al2z7::M1_price_range_smoothed_reversal::R0_market_trend_state|mark_close|trade_high|trade_low::Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub::12|72,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.820741166331514,1.0,True,,True,True
a7al2z7_01cc321810e635c7,"LatentNeutralRank(Sub(Rank(SafeDiv(Mean(Sub(mark_high,mark_low),24),Mean(trade_close,24))),Rank(Delta(trade_close,4))),R1_market_volatility_state)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,R1_market_volatility_state|mark_high|mark_low|trade_close,Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub,4|24,skeleton-a7537d92797064d4,a7al2z7::M1_price_range_smoothed_reversal::R1_market_volatility_state|mark_high|mark_low|trade_close::Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub::4|24,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.820741166331514,1.0,True,,True,True
a7al2z7_037571959d044fcd,"LatentNeutralRank(Sub(Rank(SafeDiv(Mean(Sub(mark_high,mark_low),12),Mean(index_close,12))),Rank(Delta(index_close,24))),R0_market_trend_state)",M1_price_range_smoothed_reversal,a7al2z7_response_guided_dry_generation,price|range|state,R0_market_trend_state|index_close|mark_high|mark_low,Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub,12|24,skeleton-a7537d92797064d4,a7al2z7::M1_price_range_smoothed_reversal::R0_market_trend_state|index_close|mark_high|mark_low::Delta|LatentNeutralRank|Mean|Rank|SafeDiv|Sub::12|24,True,True,True,True,True,,selected_for_response_guided_materialization,one_bar_lag|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,0.8204538925596093,1.0,True,,True,True
