semantic_bucket,motif_bucket,candidate_count
liquidity_like,single,2
liquidity_like|volatility_like,liquidity_shock,7
liquidity_like|volatility_like,safe_div_abs,1
open_interest_like,single,3
open_interest_like|positioning_like,delta_x_divergence,2
taker_flow_like,single,1
taker_flow_like|basis_premium_like,gated_sign,1
taker_flow_like|open_interest_like,flow_x_leverage,4
volatility_like,single,2
