object,component_id,candidate_id,expression,horizon,base_orientation,orientation,train_ic_mean,placebo_mode
sign_flip,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,1.0,-0.019866734694312303,sign_flip
sign_flip,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,1.0,-0.028380368809666306,sign_flip
sign_flip,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,1.0,-0.015508350205716953,sign_flip
sign_flip,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,1.0,-0.025175257543557955,sign_flip
wrong_lag_stale_24h,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,-1.0,-0.019511122905595667,wrong_lag_stale_24h
wrong_lag_stale_24h,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,-1.0,-0.028953617532794712,wrong_lag_stale_24h
wrong_lag_stale_24h,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,-1.0,-0.011182822548314838,wrong_lag_stale_24h
wrong_lag_stale_24h,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,-1.0,-0.024588168659444753,wrong_lag_stale_24h
wrong_lag_future_24h_diagnostic,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,1.0,0.04722628704634806,wrong_lag_future_24h_diagnostic
wrong_lag_future_24h_diagnostic,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,1.0,0.0849979358634206,wrong_lag_future_24h_diagnostic
wrong_lag_future_24h_diagnostic,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,1.0,0.04483787103286227,wrong_lag_future_24h_diagnostic
wrong_lag_future_24h_diagnostic,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,1.0,0.058620492413433034,wrong_lag_future_24h_diagnostic
row_shuffle,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,1.0,0.004395864811886468,row_shuffle
row_shuffle,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,-1.0,-0.0012405130549339994,row_shuffle
row_shuffle,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,1.0,0.0003935217902640051,row_shuffle
row_shuffle,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,-1.0,-0.0005955737792472042,row_shuffle
time_shuffle,funding_rate_h6,fundingcore_rate_h6,ZScore(latest_known_funding_rate),6,-1.0,-1.0,-0.004228765221933305,time_shuffle
time_shuffle,funding_rate_h12,fundingcore_rate_h12,ZScore(latest_known_funding_rate),12,-1.0,-1.0,-0.004869138866058418,time_shuffle
time_shuffle,funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),6,-1.0,-1.0,-0.0059358072574240885,time_shuffle
time_shuffle,funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),12,-1.0,-1.0,-0.003091404228781082,time_shuffle
