object,held_out_component,risk_variant,cost_tier,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_gross_exposure,mean_turnover
FundingCore_minus_funding_rate_h6,funding_rate_h6,R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,0.00012781342751984437,1.1196456250738367,0.0037381362480991844,3.200172639643423,4.120629037193499,0.5231227106227107,1.1165781028133603,-1.3414254691331635,1.8732147737362443,-0.7412592023986035,-0.0323425510918156,-0.010620771274825754,-0.005662009251103335,0.00013928423674084128,0.005543568571143657,12,9,0.75,-1.158991190940749,0.4364049549823419,0.019732331261200775
FundingCore_minus_funding_rate_h6,funding_rate_h6,R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.00027372002822084285,2.3977874472145833,0.003741316724434966,6.847533314472953,8.237525776587617,0.5570297951582868,1.175901241236741,-0.5348048457650673,2.1443368800227898,-0.4186671473301222,-0.03895544726670002,-0.009449898839874736,-0.005466824800255596,0.0003465760154009914,0.005799043601414329,6,5,0.8333333333333334,-0.3311264759424401,0.48697699916982257,0.02919487693107336
FundingCore_minus_funding_rate_h6,funding_rate_h6,R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,0.00011104093099124119,0.9727185554832728,0.0029008869500864493,3.5826496734726074,5.061607240116252,0.510485651214128,0.8048246678245161,-0.9977502865368149,1.169162568148694,-0.635355957289661,-0.020350056015062998,-0.008553755361339567,-0.004138880950212293,4.7935918750399836e-05,0.004339699815888748,10,7,0.7,-0.7763943092171838,0.48406280583872513,0.031223350172354426
FundingCore_minus_funding_rate_h6,funding_rate_h6,R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,-0.00032983865238821853,-2.8893865949207944,0.0029431485314869877,-10.48917715387335,-19.77627990270237,0.3673469387755102,-0.12929675173618166,-0.2218685661865106,-0.12278852495974779,-0.19933935974951933,-0.008317701509720603,-0.0067079769445926255,-0.00436256723586759,-0.0005528744163340873,0.0043551240194126374,1,0,0.0,-0.1292967517361817,0.49739026216754184,0.03253780611789437
FundingCore_minus_funding_rate_h12,funding_rate_h12,R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,7.006289199531363e-05,0.6137509338789473,0.0033958894174692393,1.9310191169072475,2.415857248451139,0.5156822344322345,0.6120694244710598,-1.1675473783978503,0.7535614959737889,-0.6916512971285516,-0.028300165840067053,-0.010281759310460065,-0.005022899282432207,9.419224901253438e-05,0.004898905227782252,12,10,0.8333333333333334,-0.972430703861787,0.44774856213727804,0.020392336878192314
FundingCore_minus_funding_rate_h12,funding_rate_h12,R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.00022600071625977108,1.9797662744355946,0.0034373706273942263,6.153688480245876,7.556627107150057,0.5477188081936686,0.9708990770519765,-0.49150114111248844,1.5737401824491384,-0.39228487607671025,-0.03480801635532756,-0.009411871032733268,-0.004876382834214246,0.0002836794632647246,0.005216590042414595,6,5,0.8333333333333334,-0.31314997874003714,0.49401651311555633,0.029678342353152688
FundingCore_minus_funding_rate_h12,funding_rate_h12,R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,7.685769905411093e-05,0.6732734437140118,0.0025956751012703983,2.7713354707219833,3.9068591377755624,0.5088300220750552,0.557064602744196,-0.8146255286818209,0.7034876883242343,-0.5593967140635363,-0.015351397760325538,-0.007545253902284211,-0.003676604706742857,3.4603109483956156e-05,0.0038593567873198413,10,6,0.6,-0.638934541873551,0.4872018501852736,0.03153241558884681
FundingCore_minus_funding_rate_h12,funding_rate_h12,R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,-0.0002873018754693221,-2.5167644291112614,0.0025420858637000728,-10.577920496153109,-19.317142566627687,0.3673469387755102,-0.11262233518397426,-0.16942130789190085,-0.10765153228910174,-0.1561080651722324,-0.007435943264426693,-0.005771331285108316,-0.0037868166901788643,-0.0004224532036377817,0.0034675818472694768,1,0,0.0,-0.11262233518397426,0.49833141299294215,0.032642470177067374
FundingCore_minus_funding_persistence_h6,funding_persistence_h6,R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,0.00013930688634203694,1.2203283243562435,0.003794597261051212,3.4360458438064483,4.416264423777215,0.520260989010989,1.2169849590840347,-1.5843675172999165,2.1706571890427977,-0.7977030846823154,-0.031574525056910614,-0.010724130839165326,-0.005651126408290392,0.00013066763369345158,0.00577785775230412,12,9,0.75,-1.29750261426774,0.47166906491434124,0.022567310643860864
FundingCore_minus_funding_persistence_h6,funding_persistence_h6,R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.00024325616306354058,2.1309239884366153,0.0035790688069729016,6.361299709218351,7.359876198229643,0.5623836126629422,1.0450284765209703,-0.47267207856746984,1.7656853740611322,-0.3810667051771287,-0.041251490492025915,-0.009259031912937235,-0.005111275452235627,0.0003591340433599801,0.005365960303037016,6,4,0.6666666666666666,-0.27565586285998184,0.48989771723966624,0.029217308827844672
