checkpoint_id,check,count,pass
03,may_used_for_generation,0,True
03,may_used_for_static_score,0,True
03,may_used_for_strict_selection,0,True
03,may_used_for_deep_selection,0,True
03,may_used_only_for_post_selection_label,0,True
04,may_used_for_generation,0,True
04,may_used_for_static_score,0,True
04,may_used_for_strict_selection,0,True
04,may_used_for_deep_selection,0,True
04,may_used_only_for_post_selection_label,0,True
05,may_used_for_generation,0,True
05,may_used_for_static_score,0,True
05,may_used_for_strict_selection,0,True
05,may_used_for_deep_selection,0,True
05,may_used_only_for_post_selection_label,0,True
06,may_used_for_generation,0,True
06,may_used_for_static_score,0,True
06,may_used_for_strict_selection,0,True
06,may_used_for_deep_selection,0,True
06,may_used_only_for_post_selection_label,0,True
