decision,label_family,count
A7FF53ES00_NUMERIC_CLUE,L0_raw_forward_return,18
A7FF53ES00_NUMERIC_CLUE,L1_cross_sectional_relative_return,19
A7FF53ES00_NUMERIC_CLUE,L3_liquidity_tier_relative_return,16
A7FF53ES00_NUMERIC_CLUE,L5_vol_adjusted_return,24
A7FF53ES00_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,39
HOLD_A7FF53ES00_CONTROL_DOMINATED,L0_raw_forward_return,166
HOLD_A7FF53ES00_CONTROL_DOMINATED,L1_cross_sectional_relative_return,159
HOLD_A7FF53ES00_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,183
HOLD_A7FF53ES00_CONTROL_DOMINATED,L5_vol_adjusted_return,155
HOLD_A7FF53ES00_CONTROL_DOMINATED,L7_ranked_future_return,239
HOLD_A7FF53ES00_COST2_PROXY_FRAGILE,L0_raw_forward_return,3
HOLD_A7FF53ES00_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,6
HOLD_A7FF53ES00_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,3
HOLD_A7FF53ES00_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,13
HOLD_A7FF53ES00_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,16
HOLD_A7FF53ES00_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,17
HOLD_A7FF53ES00_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,23
HOLD_A7FF53ES00_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,33
HOLD_A7FF53ES00_PRE_MAY_UNSTABLE,L0_raw_forward_return,400
HOLD_A7FF53ES00_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,400
HOLD_A7FF53ES00_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,381
HOLD_A7FF53ES00_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,398
HOLD_A7FF53ES00_PRE_MAY_UNSTABLE,L7_ranked_future_return,289
