candidate_id,family_id,primary_seed_field,source_fields,skeleton_key,production_key,motif,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error
a7ab3_3b8e498a22c42cbc,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_0f915c45eabbea19,prod_6f9573d1224714f3,rank_atom,Rank(ZScore(trade_return_1h)),True,0.99951171875,1.0,True,0.010416666666666666,1.0,0.28859961469427037,
a7ab3_617d5fd64be60100,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_8196f9d0a18000c7,prod_bf6a0736d8853070,zscore_atom,"ZScore(TSRank(trade_return_1h,24))",True,0.98828125,0.999410717226614,True,-9.241037588025431,9.40497093414662,0.9947780321927768,
a7ab3_385c707663bf3d94,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_92a027c8f2dc1bf3,prod_d9e852b96887a3ae,horizon_spread,"Sub(Delta(trade_return_1h,1),ZScore(Sub(Decay(trade_return_1h,12),Decay(trade_return_1h,24))))",True,0.98828125,1.0,True,-9.440334401315399,9.290375917881539,0.9943725845763862,
a7ab3_e9d3ac5ca8c61f32,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_f45bdb251a88eaea,prod_6199adfa8867969c,self_interaction,"Mul(Mean(trade_return_1h,24),Sub(TSRank(Delta(trade_return_1h,4),168),Rank(Delta(trade_return_1h,24))))",True,0.987060546875,0.9969932599554786,True,-0.06433630087418654,0.05150651712300683,0.0008014222406257787,
a7ab3_1b877fb7b527e1ae,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_5190274b100e392b,prod_7d438a3bbcba55b6,clip_atom,"Clip(Decay(trade_return_1h,4),-3,3)",True,0.998046875,0.9984252690802349,True,-0.14961428747913533,0.2724546249642906,0.005515841833770759,
a7ab3_1bbac777d8c7cece,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_d4e122deedc31056,prod_6f6c6bd3b682d7ab,winsor_atom,"Winsor(Clip(ZScore(trade_return_1h),-3,3),3)",True,0.99951171875,1.0,True,-5.0,5.0,0.9527408077890389,
a7ab3_b32904f3e48a1c9f,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_6914c509e2ef8a2e,prod_ab0044062d7eed99,decay_atom,"Decay(Winsor(ZScore(trade_return_1h),3),12)",True,0.994140625,1.0,True,-2.9415489703051616,3.9389461132689982,0.29232273434735284,
a7ab3_1f806f028de41c42,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_f2a1f4fc989ed2f7,prod_d2adf3bf20dbeb32,rank_horizon_spread,"Rank(Sub(Rank(Delta(trade_return_1h,24)),Decay(ZScore(trade_return_1h),4)))",True,0.99267578125,1.0,True,0.010416666666666666,1.0,0.28865946580043894,
a7ab3_2408450b6a3804c1,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_b4719759c75cc639,prod_0b0687502f84bf2e,zscore_self_interaction,"ZScore(Mul(ZScore(Mean(trade_return_1h,168)),Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,12))))",True,0.9912109375,1.0,True,-9.68399354648659,9.692434463749333,0.9947780321927769,
a7ab3_038bfab0a7a0ecb3,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_9e297cdfa8071e81,prod_51fe2182fc723b6d,clip_horizon_spread,"Clip(Sub(TSRank(Delta(trade_return_1h,4),24),Clip(Delta(trade_return_1h,4),-3,3)),-3,3)",True,0.986328125,1.0,True,0.04361820966699951,0.997317803073014,0.2755813452232216,
a7ab3_1615f89091205d2b,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_dbcc3589a0dbe876,prod_dc30f8d952ea4686,winsor_self_interaction,"Winsor(Mul(Decay(ZScore(trade_return_1h),4),Mul(Rank(Mean(trade_return_1h,72)),ZScore(Delta(trade_return_1h,24)))),3)",True,0.99267578125,1.0,True,-5.0,5.0,0.6288720210182677,
a7ab3_90e5cc8b69d8e4f8,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_b1cbe6cc6bad4f18,prod_830f4ae6a9b61971,single_atom,"Sub(TSRank(trade_return_1h,72),Rank(trade_return_1h))",True,0.993896484375,0.9914026037828544,True,-0.9756944444444445,0.9895833333333334,0.25850937736774826,
a7ab3_568082728e6a9609,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_6574be5f6db7bce2,prod_63e18a82ceed5db7,rank_atom,"Rank(Sub(ZScore(Mean(trade_return_1h,4)),ZScore(trade_return_1h)))",True,0.998046875,1.0,True,0.010416666666666666,1.0,0.2886594438065665,
a7ab3_09c000b24485330c,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_cc27571b1f17020e,prod_123566b01069d672,zscore_atom,"ZScore(Mul(Rank(trade_return_1h),ZScore(Delta(trade_return_1h,24))))",True,0.993408203125,1.0,True,-9.426300729126195,9.618797088234567,0.9947780321927769,
a7ab3_8a63f47f08ef2ff2,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_d28a4a1d3d3ef772,prod_5e2ddc6848a8647b,horizon_spread,"Sub(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,4)),Sub(TSRank(trade_return_1h,24),Rank(trade_return_1h)))",True,0.98828125,1.0,True,-0.9961963274777343,0.9544983707223841,0.26538559537638734,
a7ab3_54087a42f7c10ba9,G0_price_return_reversal,trade_return_1h,trade_return_1h,skeleton_9d763470c3811caf,prod_b98c981c78f86d30,self_interaction,"Mul(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,168)),Mean(Delta(trade_return_1h,4),72))",True,0.9873046875,0.9998171158918563,True,-0.00015966979260192084,0.0005347786825366632,2.857288022849182e-06,
