field_family,feature_role,field_count,candidate_count
price_return,beta_or_neutralized_signal_candidate,1,12
volatility,downside_avoidance_signal_candidate,2,7
basis_premium,raw_relative_signal_candidate,1,7
positioning,downside_avoidance_signal_candidate,3,5
liquidity,downside_avoidance_signal_candidate,1,4
open_interest,downside_avoidance_signal_candidate,1,4
open_interest_interaction,downside_avoidance_signal_candidate,1,4
basis_premium,beta_or_neutralized_signal_candidate,1,2
liquidity,beta_or_neutralized_signal_candidate,1,2
taker_flow,downside_avoidance_signal_candidate,1,2
basis_premium,downside_avoidance_signal_candidate,1,1
funding,weak_or_unstable,2,0
open_interest,control_like_or_risk_exposure,2,0
basis_premium,control_like_or_risk_exposure,1,0
basis_premium,regime_state_or_interaction_input,1,0
funding,control_like_or_risk_exposure,1,0
liquidity,control_like_or_risk_exposure,1,0
price_return,control_like_or_risk_exposure,1,0
taker_flow,regime_state_or_interaction_input,1,0
