field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L7_ranked_future_return,1,-1.0,3,True,0.2543170677185504,0.02162746974442906,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,719,-0.07269508512337093,-9.424357982121402,-9.424357982121402,-9.424357982121402,0.3588317107093185,719,-0.04138855925680073,-5.828584491638501,-5.828584491638501,-5.828584491638501,0.3810848400556328,719,-0.061590888040383866,-9.313300191045903,-9.313300191045903,-9.313300191045903,0.34492350486787204,719,-0.07081091170972952,-10.603270120559912,-10.603270120559912,-10.603270120559912,0.3337969401947149,95.86666666666666,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L7_ranked_future_return,4,-1.0,3,True,0.2675451847919714,0.020828723791145226,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,716,-0.06394578936478378,-8.253004860821566,-4.031310083728995,-5.926566131835422,0.38687150837988826,716,-0.04961885167727085,-6.952524750367033,-3.4962535296663195,-4.024514820438065,0.40083798882681565,716,-0.05845430431400666,-8.916281280980192,-4.2744993923599015,-5.6971821105432605,0.3840782122905028,716,-0.05493701807096535,-8.356521793521543,-4.50085539419676,-4.942908043883266,0.3854748603351955,95.46666666666667,
trade_return_1h,price_return,derived_replay_base,derived_rolling,cs_rank,L7_ranked_future_return,1,-1.0,3,True,0.2543170677185504,0.02162746974442906,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,719,-0.07269508512337093,-9.424357982121402,-9.424357982121402,-9.424357982121402,0.3588317107093185,719,-0.04138855925680073,-5.828584491638501,-5.828584491638501,-5.828584491638501,0.3810848400556328,719,-0.061590888040383866,-9.313300191045903,-9.313300191045903,-9.313300191045903,0.34492350486787204,719,-0.07081091170972952,-10.603270120559912,-10.603270120559912,-10.603270120559912,0.3337969401947149,95.86666666666666,
trade_return_1h,price_return,derived_replay_base,derived_rolling,cs_rank,L7_ranked_future_return,4,-1.0,3,True,0.2675451847919714,0.020828723791145226,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,716,-0.06394578936478378,-8.253004860821566,-4.031310083728995,-5.926566131835422,0.38687150837988826,716,-0.04961885167727085,-6.952524750367033,-3.4962535296663195,-4.024514820438065,0.40083798882681565,716,-0.05845430431400666,-8.916281280980192,-4.2744993923599015,-5.6971821105432605,0.3840782122905028,716,-0.05493701807096535,-8.356521793521543,-4.50085539419676,-4.942908043883266,0.3854748603351955,95.46666666666667,
realized_vol_24h,volatility,trade_ohlcv,derived_rolling,level,L7_ranked_future_return,1,-1.0,3,True,0.9395079520844721,0.031090393679493122,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,719,-0.042439908180085514,-4.4954110481982426,-4.4954110481982426,-4.4954110481982426,0.41863699582753827,719,-0.020483133080925153,-2.209086741167302,-2.209086741167302,-2.209086741167302,0.4506258692628651,719,-0.026549380569721323,-3.4753881651700866,-3.4753881651700866,-3.4753881651700866,0.4297635605006954,719,-0.03458668160510998,-4.75172010738194,-4.75172010738194,-4.75172010738194,0.4381084840055633,95.86666666666666,
realized_vol_24h,volatility,trade_ohlcv,derived_rolling,cs_rank,L7_ranked_future_return,1,-1.0,3,True,0.9395079520844721,0.031090393679493122,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,719,-0.042439908180085514,-4.4954110481982426,-4.4954110481982426,-4.4954110481982426,0.41863699582753827,719,-0.020483133080925153,-2.209086741167302,-2.209086741167302,-2.209086741167302,0.4506258692628651,719,-0.026549380569721323,-3.4753881651700866,-3.4753881651700866,-3.4753881651700866,0.4297635605006954,719,-0.03458668160510998,-4.75172010738194,-4.75172010738194,-4.75172010738194,0.4381084840055633,95.86666666666666,
realized_vol_168h,volatility,trade_ohlcv,derived_rolling,level,L7_ranked_future_return,1,-1.0,3,True,0.8794980260372742,0.0347141734919899,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,719,-0.036179686292690465,-3.863790256067084,-3.863790256067084,-3.863790256067084,0.4297635605006954,719,-0.024525849302014107,-2.586084465755415,-2.586084465755415,-2.586084465755415,0.44923504867872044,719,-0.028914338973883482,-4.087612149928399,-4.087612149928399,-4.087612149928399,0.42559109874826145,719,-0.036153688894040074,-4.955279609354727,-4.955279609354727,-4.955279609354727,0.4172461752433936,95.86666666666666,
realized_vol_168h,volatility,trade_ohlcv,derived_rolling,cs_rank,L7_ranked_future_return,1,-1.0,3,True,0.8794980260372742,0.0347141734919899,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,719,-0.036179686292690465,-3.863790256067084,-3.863790256067084,-3.863790256067084,0.4297635605006954,719,-0.024525849302014107,-2.586084465755415,-2.586084465755415,-2.586084465755415,0.44923504867872044,719,-0.028914338973883482,-4.087612149928399,-4.087612149928399,-4.087612149928399,0.42559109874826145,719,-0.036153688894040074,-4.955279609354727,-4.955279609354727,-4.955279609354727,0.4172461752433936,95.86666666666666,
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,delta_24h,L7_ranked_future_return,1,-1.0,3,True,0.7914377201455718,0.015794517756878675,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,695,-0.017255945430967912,-2.9186119147291256,-2.9186119147291256,-2.9186119147291256,0.4474820143884892,719,-0.025875560554259266,-4.691874257964881,-4.691874257964881,-4.691874257964881,0.4283727399165508,719,-0.032420285375779116,-6.144363184530614,-6.144363184530614,-6.144363184530614,0.42141863699582754,719,-0.011248307467014006,-2.1032740740555553,-2.1032740740555553,-2.1032740740555553,0.47426981919332406,95.86666666666666,
mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,delta_24h,L0_raw_forward_return,1,-1.0,3,True,0.7857862638470475,0.0004787305924585473,True,A7AA1_PRIMITIVE_RESPONSE_CANDIDATE,695,-0.00038217729795135313,-2.070242978026351,-2.070242978026351,-2.070242978026351,0.4446043165467626,719,-0.0005977100209471618,-5.662058569087587,-5.662058569087587,-5.662058569087587,0.38386648122392214,719,-0.001146864652087776,-7.286762963771391,-7.286762963771391,-7.286762963771391,0.3463143254520167,719,-0.0013307889463188695,-4.098221868779841,-4.098221868779841,-4.098221868779841,0.44367176634214184,95.86666666666666,
