seed,algorithm,mechanism_family,primitive_id,visits,unique_candidates,first_evaluations
20260715,uct_ucb_like,CROSS_SECTIONAL_RELATIVE,Transition,1,1,1
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,Acceleration,3,3,3
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,Delta,2,2,2
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,Duration,3,3,3
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,EventWindow,10,10,10
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,FirstHit,6,6,6
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,LastHit,43,4,4
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,MultiScaleRelation,3,3,3
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,PathShape,3,3,3
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,Persistence,41,10,10
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,Slope,5,5,5
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,StateAge,2,2,1
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,TimeSince,1,1,1
20260715,uct_ucb_like,DIRECTIONAL_STATEFUL,Transition,4,4,3
20260715,uct_ucb_like,SPARSE_EVENT_CARRY,TimeSince,1,1,1
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Acceleration,5,5,5
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Delta,5,5,5
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,EventWindow,6,6,6
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,FirstHit,2,2,1
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,MultiScaleRelation,14,14,14
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,PathShape,5,5,5
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Persistence,6,6,6
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Slope,7,7,7
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,StateAge,1,1,1
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,TimeSince,2,2,2
20260716,canonical_typed_random,CROSS_SECTIONAL_RELATIVE,Transition,1,1,1
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,Acceleration,5,5,5
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,Delta,6,6,6
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,Duration,1,1,1
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,EventWindow,6,6,6
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,LastHit,2,2,2
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,MultiScaleRelation,14,14,13
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,PathShape,6,6,6
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,Persistence,5,5,3
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,Slope,7,7,6
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,StateAge,1,1,1
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,TimeSince,1,1,1
20260716,canonical_typed_random,DIRECTIONAL_STATEFUL,Transition,1,1,1
20260716,canonical_typed_random,SPARSE_EVENT_CARRY,Duration,1,1,1
20260716,canonical_typed_random,SPARSE_EVENT_CARRY,EventWindow,5,5,5
20260716,canonical_typed_random,SPARSE_EVENT_CARRY,FirstHit,1,1,1
20260716,canonical_typed_random,SPARSE_EVENT_CARRY,Persistence,7,7,7
20260716,canonical_typed_random,SPARSE_EVENT_CARRY,StateAge,1,1,1
20260716,canonical_typed_random,SPARSE_EVENT_CARRY,TimeSince,2,2,2
20260716,canonical_typed_random,SPARSE_EVENT_CARRY,Transition,2,2,2
20260716,cem_like,CROSS_SECTIONAL_RELATIVE,Acceleration,2,2,2
20260716,cem_like,CROSS_SECTIONAL_RELATIVE,EventWindow,3,3,3
20260716,cem_like,CROSS_SECTIONAL_RELATIVE,PathShape,2,1,1
20260716,cem_like,CROSS_SECTIONAL_RELATIVE,Persistence,1,1,1
20260716,cem_like,CROSS_SECTIONAL_RELATIVE,StateAge,1,1,1
20260716,cem_like,CROSS_SECTIONAL_RELATIVE,TimeSince,1,1,1
20260716,cem_like,CROSS_SECTIONAL_RELATIVE,Transition,1,1,1
20260716,cem_like,DIRECTIONAL_STATEFUL,Delta,2,2,2
20260716,cem_like,DIRECTIONAL_STATEFUL,Duration,2,2,2
20260716,cem_like,DIRECTIONAL_STATEFUL,EventWindow,45,11,8
20260716,cem_like,DIRECTIONAL_STATEFUL,FirstHit,2,2,1
20260716,cem_like,DIRECTIONAL_STATEFUL,MultiScaleRelation,1,1,1
20260716,cem_like,DIRECTIONAL_STATEFUL,PathShape,4,3,3
20260716,cem_like,DIRECTIONAL_STATEFUL,Persistence,10,5,2
20260716,cem_like,DIRECTIONAL_STATEFUL,Slope,2,2,1
20260716,cem_like,DIRECTIONAL_STATEFUL,TimeSince,2,2,2
20260716,cem_like,SPARSE_EVENT_CARRY,EventWindow,32,14,14
20260716,cem_like,SPARSE_EVENT_CARRY,FirstHit,3,2,2
