candidate_id,return_corr_cluster,cluster_size,max_corr_to_prior
e0_current_a7l_manual_generator_s1_01053,rc_000,245,0.0
e0_current_a7l_manual_generator_s1_03049,rc_000,245,0.875836
e0_current_a7l_manual_generator_s1_00661,rc_000,245,0.909696
e0_current_a7l_manual_generator_s1_02973,rc_000,245,0.950354
e0_current_a7l_manual_generator_s1_03441,rc_000,245,0.916957
e0_current_a7l_manual_generator_s1_03597,rc_001,15,0.0
e0_current_a7l_manual_generator_s1_01173,rc_000,245,0.849133
e0_current_a7l_manual_generator_s1_04429,rc_000,245,0.904216
e0_current_a7l_manual_generator_s1_03557,rc_000,245,0.999738
e0_current_a7l_manual_generator_s1_02953,rc_002,43,0.0
e0_current_a7l_manual_generator_s1_03165,rc_000,245,0.910489
e0_current_a7l_manual_generator_s1_02773,rc_001,15,0.912964
e0_current_a7l_manual_generator_s1_00781,rc_000,245,0.904316
e0_current_a7l_manual_generator_s1_01153,rc_000,245,0.866598
e0_current_a7l_manual_generator_s1_01213,rc_000,245,0.857882
e0_current_a7l_manual_generator_s1_02361,rc_003,49,0.0
e0_current_a7l_manual_generator_s2_04584,rc_000,245,0.90263
e0_current_a7l_manual_generator_s2_00260,rc_000,245,1.0
e0_current_a7l_manual_generator_s2_04700,rc_002,43,0.858866
e0_current_a7l_manual_generator_s2_03524,rc_002,43,0.856355
e0_current_a7l_manual_generator_s2_02604,rc_001,15,0.855084
e0_current_a7l_manual_generator_s2_00064,rc_000,245,0.904201
e0_current_a7l_manual_generator_s2_00536,rc_000,245,1.0
e0_current_a7l_manual_generator_s2_01712,rc_000,245,0.948757
e0_current_a7l_manual_generator_s2_01124,rc_000,245,0.942222
e0_current_a7l_manual_generator_s2_00732,rc_000,245,1.0
e0_current_a7l_manual_generator_s2_03096,rc_002,43,0.85092
e0_current_a7l_manual_generator_s2_04632,rc_000,245,0.943137
e0_current_a7l_manual_generator_s2_01240,rc_000,245,1.0
e0_current_a7l_manual_generator_s2_03432,rc_001,15,0.85244
e0_current_a7l_manual_generator_s2_00456,rc_000,245,0.874917
e0_current_a7l_manual_generator_s2_00272,rc_000,245,0.972971
e0_current_a7l_manual_generator_s3_02215,rc_000,245,0.948262
e0_current_a7l_manual_generator_s3_03087,rc_003,49,0.866636
e0_current_a7l_manual_generator_s3_04451,rc_000,245,0.999688
e0_current_a7l_manual_generator_s3_04171,rc_002,43,0.904456
e0_current_a7l_manual_generator_s3_04123,rc_001,15,0.890038
e0_current_a7l_manual_generator_s3_02911,rc_000,245,0.9056
e0_current_a7l_manual_generator_s3_04383,rc_002,43,0.904761
e0_current_a7l_manual_generator_s3_02879,rc_000,245,0.938915
e0_current_a7l_manual_generator_s3_03895,rc_001,15,0.909343
e0_current_a7l_manual_generator_s3_04351,rc_002,43,0.907366
e0_current_a7l_manual_generator_s3_03891,rc_001,15,0.999547
