candidate_id,production_family,expression,horizon,control_mode,control_id,validation_net10,recent_net10,recent_net20,may_net10,control_validation_net10,control_recent_net10,control_may_net10,derived_feature_id,source_fields,transform
a7x3_F0_slow_aggtrades_horizon_24_44f6877c820f,F0_slow_aggtrades_horizon,"HorizonSpread(agg_cross_symbol_signed_flow_share,12,48)",24,sign_flip,a7x3_F0_slow_aggtrades_horizon_24_44f6877c820f__ctrl_sign_flip_a97c255a2997,-5.275702733356805,-2.256324771314312,-3.133824771314313,0.0292051856185916,4.200702733356804,0.5013247713143109,-0.1302051856185917,horizon_spread,agg_cross_symbol_signed_flow_share,horizon_spread
a7x3_F0_slow_aggtrades_horizon_24_4777f848567d,F0_slow_aggtrades_horizon,"HorizonSpread(agg_notional_sum_24h,12,48)",24,wrong_lag,a7x3_F0_slow_aggtrades_horizon_24_4777f848567d__ctrl_wrong_lag_0d80305680b8,-3.0801963128108607,2.422425690193358,2.14342569019336,-0.5732385832245961,3.850857743380753,2.899181846025929,0.1591524859912181,horizon_spread,agg_notional_sum_24h,horizon_spread
a7x3_F0_slow_aggtrades_horizon_24_74306c8674cc,F0_slow_aggtrades_horizon,"HorizonSpread(agg_buy_notional_share,12,48)",24,sign_flip,a7x3_F0_slow_aggtrades_horizon_24_74306c8674cc__ctrl_sign_flip_32aa54e3de4d,-2.658945697161593,-6.071997586962748,-7.491497586962749,0.3100329701488066,0.907945697161592,3.2329975869627465,-0.4740329701488067,horizon_spread,agg_buy_notional_share,horizon_spread
a7x3_F0_slow_aggtrades_horizon_24_8c929afeca56,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_imbalance_notional,12,48)",24,sign_flip,a7x3_F0_slow_aggtrades_horizon_24_8c929afeca56__ctrl_sign_flip_3db06c87e7e7,-2.658945697161593,-6.071997586962748,-7.491497586962749,0.3100329701488066,0.907945697161592,3.2329975869627465,-0.4740329701488067,horizon_spread,agg_flow_imbalance_notional,horizon_spread
a7x3_F0_slow_aggtrades_horizon_24_b820df62f45e,F0_slow_aggtrades_horizon,"HorizonSpread(agg_large_notional_sum_24h,12,48)",24,wrong_lag,a7x3_F0_slow_aggtrades_horizon_24_b820df62f45e__ctrl_wrong_lag_eb76afd9a78f,-2.295341656782204,0.3376401303487364,0.0486401303487366,-0.6777719393694251,7.9991364477173725,2.09281966871298,0.0717370767181078,horizon_spread,agg_large_notional_sum_24h,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_1c2c7eed8cfc,F0_slow_aggtrades_horizon,"HorizonSpread(agg_avg_trade_notional_24h,12,48)",48,sign_flip,a7x3_F0_slow_aggtrades_horizon_48_1c2c7eed8cfc__ctrl_sign_flip_21ae4c98c71c,-2.8239925027193387,-1.1593587124188047,-1.457358712418804,-0.5020605607111441,2.4689925027193365,0.5633587124188033,0.4620605607111441,horizon_spread,agg_avg_trade_notional_24h,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_50c526838e42,F0_slow_aggtrades_horizon,"HorizonSpread(agg_notional_sum_24h,12,48)",48,wrong_lag,a7x3_F0_slow_aggtrades_horizon_48_50c526838e42__ctrl_wrong_lag_582c5afd3a1c,-0.0097328335899475,5.562449782636741,5.283449782636742,-0.1085303331535735,3.8338946839424177,5.57805328189289,-0.917588245785454,horizon_spread,agg_notional_sum_24h,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_75dc2ca72e3f,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_accel_4h_vs_24h,12,48)",48,wrong_lag,a7x3_F0_slow_aggtrades_horizon_48_75dc2ca72e3f__ctrl_wrong_lag_d21d8f85d0e4,2.235067165877447,2.3499658689116067,1.523465868911606,-0.0861805358931107,2.975371308941908,3.425573205150024,0.5322289189033353,horizon_spread,agg_flow_accel_4h_vs_24h,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_923970023469,F0_slow_aggtrades_horizon,"HorizonSpread(agg_large_notional_sum_24h,12,48)",48,wrong_lag,a7x3_F0_slow_aggtrades_horizon_48_923970023469__ctrl_wrong_lag_fae5def250b9,5.300638091836323,2.57192717797836,2.282927177978359,-0.3012407857833736,7.921351844517581,5.677574805905177,-1.0426727483586855,horizon_spread,agg_large_notional_sum_24h,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_b5311d81eaf8,F0_slow_aggtrades_horizon,"HorizonSpread(agg_buy_notional_share,12,48)",48,sign_flip,a7x3_F0_slow_aggtrades_horizon_48_b5311d81eaf8__ctrl_sign_flip_67c5569411e1,-3.704947830455222,-6.038779072724878,-7.458279072724879,-0.3636677076892123,1.95394783045522,3.199779072724875,0.2106677076892121,horizon_spread,agg_buy_notional_share,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_b5311d81eaf8,F0_slow_aggtrades_horizon,"HorizonSpread(agg_buy_notional_share,12,48)",48,wrong_lag,a7x3_F0_slow_aggtrades_horizon_48_b5311d81eaf8__ctrl_wrong_lag_285770102428,-3.704947830455222,-6.038779072724878,-7.458279072724879,-0.3636677076892123,1.9256402491977307,0.6559702903506355,-0.8819035563681281,horizon_spread,agg_buy_notional_share,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_d1bcf0b3e65a,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_minus_ethusdt_4h,12,48)",48,sign_flip,a7x3_F0_slow_aggtrades_horizon_48_d1bcf0b3e65a__ctrl_sign_flip_b85999ac8104,-4.951267406407329,-6.044143167456385,-6.856643167456387,-0.6367711100049179,3.9912674064073297,4.419143167456385,0.5437711100049178,horizon_spread,agg_flow_minus_ethusdt_4h,horizon_spread
a7x3_F0_slow_aggtrades_horizon_48_d1bcf0b3e65a,F0_slow_aggtrades_horizon,"HorizonSpread(agg_flow_minus_ethusdt_4h,12,48)",48,wrong_lag,a7x3_F0_slow_aggtrades_horizon_48_d1bcf0b3e65a__ctrl_wrong_lag_ef3549c63b5d,-4.951267406407329,-6.044143167456385,-6.856643167456387,-0.6367711100049179,1.011469138755954,0.2613366301168569,-1.0008439277088503,horizon_spread,agg_flow_minus_ethusdt_4h,horizon_spread
