shard,stage,decision,input_blueprint_count,queue_path,queue_offset,queue_limit,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,uses_may,authorizes_search
00,A7FF-16S00,PASS_A7FF16S00_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,48,D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_cost_tiered_numeric_followup_contract\a7ff16_execution_queue.csv,0,48,48,960,203,47,48,33,False,False
01,A7FF-16S01,PASS_A7FF16S01_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,48,D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff16_cost_tiered_numeric_followup_contract\a7ff16_execution_queue.csv,48,48,48,960,199,34,47,26,False,False
