cell_id
C0064
C0132
C0031
C0160
C0222
C0213
C0169
C0063
C0280
C0025
C0318
C0270
C0187
C0166
C0032
C0360
C0252
C0339
C0094
C0200
C0017
C0316
C0227
C0289
C0241
C0229
C0134
C0151
C0337
C0050
C0044
C0059
C0343
C0107
C0370
C0019
C0238
C0164
C0042
C0364
C0147
C0355
C0350
C0137
C0269
C0007
C0083
C0140
C0078
C0082
C0368
C0048
C0183
C0251
C0111
C0194
C0004
C0356
C0336
C0036
C0323
C0045
C0020
C0253
