decision,label_family,count
A7FF16S00_NUMERIC_CLUE,L0_raw_forward_return,42
A7FF16S00_NUMERIC_CLUE,L1_cross_sectional_relative_return,44
A7FF16S00_NUMERIC_CLUE,L3_liquidity_tier_relative_return,42
A7FF16S00_NUMERIC_CLUE,L5_vol_adjusted_return,75
A7FF16S00_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,47
HOLD_A7FF16S00_CONTROL_DOMINATED,L0_raw_forward_return,52
HOLD_A7FF16S00_CONTROL_DOMINATED,L1_cross_sectional_relative_return,50
HOLD_A7FF16S00_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,48
HOLD_A7FF16S00_CONTROL_DOMINATED,L5_vol_adjusted_return,41
HOLD_A7FF16S00_CONTROL_DOMINATED,L7_ranked_future_return,14
HOLD_A7FF16S00_COST2_PROXY_FRAGILE,L0_raw_forward_return,1
HOLD_A7FF16S00_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,2
HOLD_A7FF16S00_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,1
HOLD_A7FF16S00_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,10
HOLD_A7FF16S00_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,9
HOLD_A7FF16S00_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,13
HOLD_A7FF16S00_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,10
HOLD_A7FF16S00_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,53
HOLD_A7FF16S00_PRE_MAY_UNSTABLE,L0_raw_forward_return,87
HOLD_A7FF16S00_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,87
HOLD_A7FF16S00_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,88
HOLD_A7FF16S00_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,66
HOLD_A7FF16S00_PRE_MAY_UNSTABLE,L7_ranked_future_return,78
