subset,clusters,removed_cluster,cluster_count,cost_tier,split,n,annualized_mean,sharpe_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,month_count,positive_month_count,positive_month_rate,mean_multiplier,mean_gross_exposure,mean_turnover
Core4_full,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,,4,stress_10bp,train_2024,8784,-0.026280539016625852,-0.20978364364647875,0.4993169398907104,-0.02635254049338373,-0.31880576285117507,-0.03364094881318003,-0.274412242542892,-0.01130739610139261,12,5,0.4166666666666667,0.1047814207650273,0.19999999999999996,0.0396589126695001
Core4_full,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,,4,stress_10bp,validation_2025H1,4344,0.2640412521845128,2.419953879532303,0.5398250460405156,0.13093552505588169,-0.29612399765038677,0.1365287072371777,-0.2574794851193737,-0.017019367128845185,6,3,0.5,0.09999999999999998,0.19999999999999996,0.036291436464088396
Core4_full,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,,4,stress_10bp,recent_oos_2025H2_2026,7296,0.23589583699422603,2.9237705355299664,0.5038377192982456,0.19647214916779374,-0.2866741039943087,0.2138058082605554,-0.24957957908410344,-0.004231517628241073,10,7,0.7,0.10047514619883043,0.19980811403508775,0.03812591374269007
Core4_full,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,,4,severe_20bp,train_2024,8784,-0.37369261400144677,-2.980438666629561,0.48178506375227687,-0.3747164293822727,-0.6223797418767965,-0.31791825646948546,-0.4671456687152129,-0.01131850721250372,12,3,0.25,0.1047814207650273,0.19999999999999996,0.0396589126695001
Core4_full,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,,4,severe_20bp,validation_2025H1,4344,-0.053871731240901596,-0.49339696320340215,0.5239410681399632,-0.026714474944118327,-0.36018677392348436,-0.029237835390521494,-0.3037099205114133,-0.017044367128845186,6,3,0.5,0.09999999999999998,0.19999999999999996,0.036291436464088396
Core4_full,crypto_a4_1h_001|crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,,4,severe_20bp,recent_oos_2025H2_2026,7296,-0.09808716739173899,-1.2133619843938943,0.47875548245614036,-0.08169451749887302,-0.3405360477403089,-0.0809498050834605,-0.28918860452831285,-0.0042565176282410725,10,4,0.4,0.10047514619883043,0.19980811403508775,0.03812591374269007
LOO_without_crypto_a4_1h_001,crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_001,3,stress_10bp,train_2024,8784,0.07938449317534178,0.5668903947108466,0.49977231329690347,0.07960198493746601,-0.3026323275205588,0.07226472470806633,-0.26174765133897737,-0.011602225638538119,12,5,0.4166666666666667,0.1070582877959927,0.19999999999999996,0.04270264116575592
LOO_without_crypto_a4_1h_001,crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_001,3,stress_10bp,validation_2025H1,4344,0.2607654639505868,2.18076585598747,0.5446593001841621,0.12931109308234578,-0.32629916778125473,0.13400869254154024,-0.27980838460372914,-0.0188138035220784,6,3,0.5,0.09999999999999998,0.19999999999999996,0.03832105586249232
LOO_without_crypto_a4_1h_001,crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_001,3,stress_10bp,recent_oos_2025H2_2026,7296,0.2578748455303286,2.9269915364524817,0.506578947368421,0.21477795353758872,-0.34192340118434644,0.23558536264276064,-0.2900008173941091,-0.004857825903524876,10,7,0.7,0.10080180921052634,0.19980811403508775,0.039927509746588694
LOO_without_crypto_a4_1h_001,crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_001,3,severe_20bp,train_2024,8784,-0.2946906434366801,-2.102867028120546,0.4828096539162113,-0.29549801506253404,-0.5747367981232759,-0.2631322988241763,-0.44208293711423685,-0.011618892305204786,12,5,0.4166666666666667,0.1070582877959927,0.19999999999999996,0.04270264116575592
LOO_without_crypto_a4_1h_001,crypto_a4_1h_002|crypto_a4_1h_003|crypto_a4_1h_004,crypto_a4_1h_001,3,severe_20bp,validation_2025H1,4344,-0.07492698540484571,-0.6263182615888857,0.5280847145488029,-0.037155573584320756,-0.3877259378870472,-0.03989210643360175,-0.32290181140293317,-0.018847136855411735,6,3,0.5,0.09999999999999998,0.19999999999999996,0.03832105586249232
