candidate_id,family_id,dataset,motif,primary_field,partner_field,window_h,operator,expression,candidate_role,executes_numeric,primary_field_available,partner_field_available,materialization_preflight_pass,numeric_probe_id,executes_numeric_in_core30,authorized_for_core30e_numeric_probe
a7ffcore29e_0000,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,premium_index_bps,4,Delta,"Delta(agg_signed_aggressor_notional,4)*ZScore(Delta(premium_index_bps,4))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0000,False,True
a7ffcore29e_0001,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,premium_index_bps,8,Delta,"Delta(agg_volume_imbalance,8)*ZScore(Delta(premium_index_bps,8))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0001,False,True
a7ffcore29e_0075,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,4,Delta,"Delta(agg_large_notional_ratio_100k_plus,4)*ZScore(Delta(mark_index_basis_bps,4))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0002,False,True
a7ffcore29e_0076,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,agg_price_range_bps,8,Delta,"Delta(agg_signed_aggressor_notional,8)*ZScore(Delta(agg_price_range_bps,8))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0003,False,True
a7ffcore29e_0015,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,agg_price_range_bps,4,SpreadShortLong,"Sub(ZScore(Mean(agg_large_notional_ratio_100k_plus,4)),ZScore(Mean(agg_price_range_bps,16)))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0004,False,True
a7ffcore29e_0065,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_volume_imbalance,premium_index_bps,4,SpreadShortLong,"Sub(ZScore(Mean(agg_volume_imbalance,4)),ZScore(Mean(premium_index_bps,16)))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0005,False,True
a7ffcore29e_0066,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,premium_index_bps,8,SpreadShortLong,"Sub(ZScore(Mean(agg_max_trade_notional,8)),ZScore(Mean(premium_index_bps,32)))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0006,False,True
a7ffcore29e_0140,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_signed_aggressor_notional,agg_price_range_bps,4,SpreadShortLong,"Sub(ZScore(Mean(agg_signed_aggressor_notional,4)),ZScore(Mean(agg_price_range_bps,16)))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0007,False,True
a7ffcore29e_0010,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_max_trade_notional,mark_index_basis_bps,4,TSRank,"TSRank(agg_max_trade_notional,4)*ZScore(Delta(mark_index_basis_bps,4))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0008,False,True
a7ffcore29e_0011,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,mark_index_basis_bps,8,TSRank,"TSRank(agg_large_notional_ratio_100k_plus,8)*ZScore(Delta(mark_index_basis_bps,8))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0009,False,True
a7ffcore29e_0135,F1a_aggtrades_flow_microstructure,core12_aggtrades_all_features,flow_reversal,agg_large_notional_ratio_100k_plus,funding_rate,4,TSRank,"TSRank(agg_large_notional_ratio_100k_plus,4)*ZScore(Delta(funding_rate,4))",preflight_blueprint_only,False,True,True,True,a7ffcore30_0010,False,True
