ordinal,token_id,field_id,token_kind,context_id,family,expression,base_dependencies,feature_available_lag_bars,alignment_shift_bars,execution_semantics,authority_ref,finite_ratio,finite_rows,variance,nonzero_ratio_of_finite,minimum,maximum,input_gradient_mean_abs,first_layer_weight_update_mean_abs,ablation_prediction_change_mean_abs,check_materialized,check_finite_adequacy,check_value_variation,check_gradient_reachable,check_parameter_updated,check_prediction_sensitive,plumbing_pass,nontrivial_utilization_pass,consumption_pass
1,FIELD:top_global_account_divergence,top_global_account_divergence,BASE,BROAD_PANEL_BASELINE,account_position_divergence,top_global_account_divergence,['top_global_account_divergence'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,0.12017205805402412,0.9999966317082898,-4.885745525360107,2.729769468307495,0.004345945082604885,0.03571853041648865,0.004557968117296696,True,True,True,True,True,True,True,True,True
2,FIELD:mark_trade_basis_bps,mark_trade_basis_bps,BASE,BROAD_PANEL_BASELINE,basis_premium,mark_trade_basis_bps,['mark_trade_basis_bps'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9995158921838103,1486552,22.987011339718187,0.7210834198870945,-819.3118896484375,1438.72900390625,0.006914416328072548,0.03348635882139206,0.004663263447582722,True,True,True,True,True,True,True,True,True
3,FIELD:trade_quote_volume,trade_quote_volume,BASE,BROAD_PANEL_BASELINE,quote_volume_activity,trade_quote_volume,['trade_quote_volume'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,5749988733530120.0,1.0,1728.0850830078125,14348726272.0,0.005413582548499107,0.010989267379045486,0.0008014951017685235,True,True,True,True,True,True,True,True,True
4,FIELD:account_position_divergence,account_position_divergence,BASE,BROAD_PANEL_BASELINE,account_position_divergence,account_position_divergence,['account_position_divergence'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,0.9423425685861986,1.0,-12.60622787475586,3.1125500202178955,0.01507808081805706,0.04258042946457863,0.011153042316436768,True,True,True,True,True,True,True,True,True
5,FIELD:global_long_short_account_ratio_last,global_long_short_account_ratio_last,BASE,BROAD_PANEL_BASELINE,account_crowding,global_long_short_account_ratio_last,['global_long_short_account_ratio_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1900732148643025,1.0,0.18748605251312256,17.970081329345703,0.0091872438788414,0.03521658480167389,0.007044681813567877,True,True,True,True,True,True,True,True,True
6,FIELD:open_interest_value_last,open_interest_value_last,BASE,BROAD_PANEL_BASELINE,open_interest_value,open_interest_value_last,['open_interest_value_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1836382086015749e+17,0.9997123478879464,0.0,6205993472.0,0.0066164229065179825,0.011866024695336819,0.0012254260946065187,True,True,True,True,True,True,True,True,True
7,FIELD:open_interest_value_mean,open_interest_value_mean,BASE,BROAD_PANEL_BASELINE,open_interest_value,open_interest_value_mean,['open_interest_value_mean'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1837045021723635e+17,1.0,578671.0625,6162523648.0,0.0032177194952964783,0.011886046268045902,0.000621030165348202,True,True,True,True,True,True,True,True,True
8,FIELD:top_long_short_account_ratio_last,top_long_short_account_ratio_last,BASE,BROAD_PANEL_BASELINE,account_crowding,top_long_short_account_ratio_last,['top_long_short_account_ratio_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1398362284655228,1.0,0.16249389946460724,14.51958179473877,0.008799825794994831,0.0337371788918972,0.006730504333972931,True,True,True,True,True,True,True,True,True
9,FIELD:trade_close,trade_close,BASE,BROAD_PANEL_BASELINE,price_level,trade_close,['trade_close'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,14026223.903625699,1.0,0.00016080000204965472,73644.6015625,0.009349547326564789,0.011029994115233421,0.0018826370360329747,True,True,True,True,True,True,True,True,True
10,FIELD:top_long_short_position_ratio_last,top_long_short_position_ratio_last,BASE,BROAD_PANEL_BASELINE,position_crowding,top_long_short_position_ratio_last,['top_long_short_position_ratio_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,0.2977730591571077,1.0,0.4063189923763275,7.295567989349365,0.006265236996114254,0.020621204748749733,0.0041051749140024185,True,True,True,True,True,True,True,True,True
