candidate_id,cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_fields,source_field_families,expression,expr_hash,horizon,object_type,signal_mode,static_score,may_used_for_generation,may_used_for_static_score,selection_status
a7o_l1_C0064_2036,C0064,2036,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Neg(Rank(Decay(realized_vol_12,36))),Rank(TSMean(realized_vol_12,3)))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,16)))",42f2664923828197,48,generated_candidate,original,0.3007,False,False,selected_for_strict_replay
a7o_l1_C0064_0181,C0064,181,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Neg(Rank(Decay(realized_vol_12,60))),ZScore(TSMean(premium_index,10)))))),-4.0,4.0),Rank(TSMean(premium_index,10)))",bcb75b2073760346,48,generated_candidate,original,0.2887,False,False,selected_for_strict_replay
a7o_l1_C0064_0180,C0064,180,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Neg(Rank(Decay(realized_vol_12,12))),Rank(TSMean(realized_vol_12,4)))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,4)))",ef5b21dffbc4d1f8,48,generated_candidate,original,0.2877,False,False,selected_for_strict_replay
a7o_l1_C0064_0373,C0064,373,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Neg(Rank(Decay(realized_vol_12,16))),ZScore(TSMean(premium_index,60)))))),-4.0,4.0),Rank(TSMean(premium_index,24)))",2c7f2979824949df,48,generated_candidate,original,0.2867,False,False,selected_for_strict_replay
a7o_l1_C0064_0372,C0064,372,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Neg(Rank(Decay(realized_vol_12,24))),Rank(TSMean(realized_vol_12,24)))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,10)))",5eeb15e788403ff8,48,generated_candidate,original,0.2857,False,False,selected_for_strict_replay
a7o_l1_C0064_0565,C0064,565,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Neg(Rank(Decay(realized_vol_12,30))),ZScore(TSMean(premium_index,10)))))),-4.0,4.0),Rank(TSMean(premium_index,6)))",a6f89e242a1e608b,48,generated_candidate,original,0.2847,False,False,selected_for_strict_replay
a7o_l1_C0064_0564,C0064,564,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Neg(Rank(Decay(realized_vol_12,48))),Rank(TSMean(realized_vol_12,36)))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,20)))",16c2bebaa9f34e61,48,generated_candidate,original,0.2837,False,False,selected_for_strict_replay
a7o_l1_C0064_0757,C0064,757,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Neg(Rank(Decay(realized_vol_12,60))),ZScore(TSMean(premium_index,10)))))),-4.0,4.0),Rank(TSMean(premium_index,16)))",f78f2ec9e66c53d3,48,generated_candidate,original,0.2827,False,False,selected_for_strict_replay
a7o_l1_C0064_0756,C0064,756,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F3_high_liquidity_high_vol,Sub(Neg(Rank(Decay(realized_vol_12,12))),Rank(TSMean(realized_vol_12,10)))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,4)))",df15431ae4bffb5e,48,generated_candidate,original,0.2817,False,False,selected_for_strict_replay
a7o_l1_C0064_0096,C0064,96,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Mul(Neg(Rank(TSMean(mark_index_ratio,4))),Neg(Rank(Decay(mark_index_ratio,48)))))),-4.0,4.0),Rank(TSMean(realized_vol_12,20)))",e656dfac0f714fce,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_0387,C0064,387,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Clip(Neg(Rank(Decay(realized_vol_12,12))),-4.0,4.0))),-4.0,4.0),Rank(TSMean(premium_index,60)))",b9ea3aa4d3cd9b40,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_0484,C0064,484,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(SafeDiv(Sub(Neg(Rank(Decay(premium_index,30))),Rank(TSMean(premium_index,36))),Clip(Abs(TSRank(realized_vol_12,72)),0.05,2.25)))),-4.0,4.0),Rank(TSMean(realized_vol_12,12)))",5f94611cd8c08e07,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_0775,C0064,775,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(SafeDiv(Neg(Rank(Decay(realized_vol_24,60))),Clip(Abs(ZScore(TSStd(premium_index,10))),0.05,6.0)))),-4.0,4.0),Rank(TSMean(premium_index,24)))",49062a95f0c657b7,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_0949,C0064,949,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RegimeMaskNonMay(F5_funding_neutral,Add(Neg(Rank(Decay(realized_vol_12,16))),ZScore(TSMean(premium_index,60)))))),-4.0,4.0),Rank(TSMean(premium_index,36)))",a61a69c9508fc9aa,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_0969,C0064,969,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(Delta(Neg(Rank(Decay(mark_index_ratio,48))),72)))),-4.0,4.0),Rank(TSMean(realized_vol_24,36)))",1fee709c3ab31758,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_1066,C0064,1066,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(SmoothInteraction(Neg(Rank(Decay(realized_vol_12,16))),TSStd(realized_vol_12,12))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,20)))",dd1c63dc6f73170e,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_1357,C0064,1357,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Mul(ZScore(TSMean(premium_index,8)),Neg(Rank(Decay(premium_index,30)))))),-4.0,4.0),Rank(TSMean(realized_vol_24,16)))",c009cf3a2d34718a,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_1454,C0064,1454,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Mul(SafeDiv(ZScore(TSMean(realized_vol_24,24)),Clip(Abs(ZScore(TSMean(mark_index_ratio,48))),0.05,3.0)),Neg(Rank(Decay(realized_vol_24,72)))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,12)))",582e4a8e5ed5ca55,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_1745,C0064,1745,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(SmoothInteraction(Neg(Rank(Decay(realized_vol_24,20))),TSMean(premium_index,10)))),-4.0,4.0),Rank(TSMean(premium_index,6)))",a2d6a96d3df6c8f6,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_1842,C0064,1842,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(CrossSymbolRank(Add(Neg(Rank(Decay(premium_index,48))),TSMean(premium_index,24))))),-4.0,4.0),Rank(TSMean(realized_vol_12,60)))",1f6546ea854972ae,48,generated_candidate,original,0.2807,False,False,selected_for_strict_replay
a7o_l1_C0064_0289,C0064,289,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Add(Abs(ZScore(TSStd(mark_index_ratio,72))),Neg(Rank(Decay(mark_index_ratio,60)))))),-4.0,4.0),Rank(TSMean(realized_vol_24,36)))",0d97a69a6da17f7c,48,generated_candidate,original,0.2797,False,False,selected_for_strict_replay
a7o_l1_C0064_0386,C0064,386,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_12,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(ZScore(Decay(Neg(Rank(Decay(realized_vol_12,20))),16)))),-4.0,4.0),Rank(TSMean(mark_index_ratio,24)))",ab1a5cc4a7a98bfa,48,generated_candidate,original,0.2797,False,False,selected_for_strict_replay
a7o_l1_C0064_0677,C0064,677,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,premium_index;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RollingMax(Sub(Neg(Rank(Decay(premium_index,36))),ZScore(TSMean(premium_index,8))),10))),-4.0,4.0),Rank(TSMean(realized_vol_24,16)))",a6f50d26f1f3ddb4,48,generated_candidate,original,0.2797,False,False,selected_for_strict_replay
a7o_l1_C0064_0774,C0064,774,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,mark_index_ratio;realized_vol_24,basis;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Mul(Neg(Rank(Decay(realized_vol_24,12))),Rank(TSStd(realized_vol_24,24))))),-4.0,4.0),Rank(TSMean(mark_index_ratio,16)))",0d6969dc0e898427,48,generated_candidate,original,0.2797,False,False,selected_for_strict_replay
a7o_l1_C0065_0290,C0065,290,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_24,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Sub(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_24,6)),ZScore(TSMean(ret_24,8)))),Abs(ZScore(TSMean(ret_24,10)))))),-4.0,4.0),ZScore(TSStd(realized_vol_24,48)))",b5430439178680ea,24,generated_candidate,original,0.3058,False,False,selected_for_strict_replay
a7o_l1_C0065_0581,C0065,581,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_24,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Add(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_24,30)),ZScore(TSMean(ret_24,36)))),ZScore(TSMean(ret_24,12))))),-4.0,4.0),ZScore(TSStd(realized_vol_24,10)))",1ed3c317dc61b59a,24,generated_candidate,original,0.3058,False,False,selected_for_strict_replay
a7o_l1_C0065_0872,C0065,872,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_6;ret_6,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(TSRank(Sub(TSMean(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_6,16)),ZScore(TSMean(ret_6,20)))),24),TSMean(realized_vol_6,30)),36))),-4.0,4.0),ZScore(TSStd(realized_vol_6,8)))",4f06614a590649bc,24,generated_candidate,original,0.3058,False,False,selected_for_strict_replay
a7o_l1_C0065_1163,C0065,1163,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_6;ret_6,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(WinsorZScore(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_6,8)),ZScore(TSMean(ret_6,10)))),3.0))),-4.0,4.0),ZScore(TSStd(realized_vol_6,60)))",91bf4f46441e8803,24,generated_candidate,original,0.3058,False,False,selected_for_strict_replay
a7o_l1_C0065_1454,C0065,1454,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_6;ret_6,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Mul(SafeDiv(ZScore(TSMean(realized_vol_6,24)),Clip(Abs(ZScore(TSMean(ret_6,48))),0.05,3.0)),RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_6,36)),ZScore(TSMean(ret_6,48))))))),-4.0,4.0),ZScore(TSStd(realized_vol_6,12)))",3c7563e103578a5e,24,generated_candidate,original,0.3058,False,False,selected_for_strict_replay
a7o_l1_C0065_1842,C0065,1842,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_6;ret_12,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(CrossSymbolRank(Add(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(ret_12,16)),ZScore(TSMean(realized_vol_6,20)))),TSMean(ret_12,24))))),-4.0,4.0),ZScore(TSStd(ret_12,60)))",7aa5e31392a37411,24,generated_candidate,original,0.3058,False,False,selected_for_strict_replay
a7o_l1_C0065_0289,C0065,289,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_6;ret_12,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Add(Abs(ZScore(TSStd(realized_vol_6,72))),RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_6,12)),ZScore(TSMean(ret_12,16))))))),-4.0,4.0),ZScore(TSStd(realized_vol_6,36)))",7310a87e3f310e31,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
a7o_l1_C0065_0580,C0065,580,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_12,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Sub(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_24,6)),ZScore(TSMean(ret_12,8)))),Rank(TSMean(realized_vol_24,10))))),-4.0,4.0),ZScore(TSStd(realized_vol_24,6)))",41878b6781749a3e,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
a7o_l1_C0065_0968,C0065,968,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_12,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Sub(TSMean(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(ret_12,24)),ZScore(TSMean(realized_vol_24,30)))),24),TSMean(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(ret_12,24)),ZScore(TSMean(realized_vol_24,30)))),36)))),-4.0,4.0),ZScore(TSStd(ret_12,3)))",871897f18cd9dab2,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
a7o_l1_C0065_1259,C0065,1259,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_12,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Mul(Add(Rank(TSMean(ret_12,48)),ZScore(TSMean(realized_vol_24,84))),Clip(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(ret_12,12)),ZScore(TSMean(realized_vol_24,16)))),-4.0,4.0)))),-4.0,4.0),ZScore(TSStd(ret_12,60)))",b7cf630e2f84d46f,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
a7o_l1_C0065_1356,C0065,1356,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_6,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Neg(Clip(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(ret_6,10)),ZScore(TSMean(realized_vol_24,12)))),-1.5,1.5)))),-4.0,4.0),ZScore(TSStd(ret_6,20)))",1e5c6b6b496cce04,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
a7o_l1_C0065_1550,C0065,1550,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_24,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Mul(Rank(TSMean(realized_vol_24,10)),RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(ret_24,6)),ZScore(TSMean(realized_vol_24,8))))))),-4.0,4.0),ZScore(TSStd(ret_24,48)))",a2a725411ea72dc2,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
a7o_l1_C0065_1647,C0065,1647,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_24,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(Clip(Add(Decay(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_24,48)),ZScore(TSMean(ret_24,6)))),8),TSRank(realized_vol_24,10)),-4.0,4.0))),-4.0,4.0),ZScore(TSStd(realized_vol_24,24)))",fe974066d333c961,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
a7o_l1_C0065_1938,C0065,1938,H06_liquidity_structure_ex_realized_vol_mul,P14_horizon_spread,RegimeMaskNonMay,H24,same_symbol_zscore,FundingCore_and_Core4,medium_turnover,F7_trend_reversal,realized_vol_24;ret_24,price;volatility,"Sub(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(RollingMax(RollingMin(RegimeMaskNonMay(F7_trend_reversal,Mul(Rank(TSMean(realized_vol_24,24)),ZScore(TSMean(ret_24,30)))),60),12))),-4.0,4.0),ZScore(TSStd(realized_vol_24,30)))",d8b56d7a5581d5ed,24,generated_candidate,original,0.3048,False,False,selected_for_strict_replay
