cell_id,candidate_decision,count
C0064,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0064,A7O_PILOT_RESEARCH_CANDIDATE,1
C0065,A7O_PILOT_REJECTED,1
C0065,A7O_PILOT_RESEARCH_CANDIDATE,2
C0066,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0066,A7O_PILOT_RESEARCH_CANDIDATE,2
C0067,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0067,A7O_PILOT_REJECTED,1
C0068,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0068,A7O_PILOT_RESEARCH_CANDIDATE,2
C0069,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0069,A7O_PILOT_REJECTED,1
C0069,A7O_PILOT_RESEARCH_CANDIDATE,1
C0070,A7O_PILOT_REJECTED,1
C0070,A7O_PILOT_RESEARCH_CANDIDATE,2
C0071,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0071,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0072,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0072,A7O_PILOT_RESEARCH_CANDIDATE,1
C0073,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0074,A7O_PILOT_RESEARCH_CANDIDATE,3
C0075,NEGATIVE_CONTROL,3
C0076,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0076,A7O_PILOT_RESEARCH_CANDIDATE,1
C0077,A7O_PILOT_REJECTED,3
C0078,A7O_PILOT_RESEARCH_CANDIDATE,3
C0079,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0079,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0079,A7O_PILOT_RESEARCH_CANDIDATE,1
C0080,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0080,A7O_PILOT_RESEARCH_CANDIDATE,1
C0081,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0081,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0082,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0082,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0083,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0084,A7O_PILOT_RESEARCH_CANDIDATE,3
C0085,NEGATIVE_CONTROL,3
C0086,A7O_PILOT_REJECTED,3
C0087,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0087,A7O_PILOT_REJECTED,1
C0087,A7O_PILOT_RESEARCH_CANDIDATE,1
C0088,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0088,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0089,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0090,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0091,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0091,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0092,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0092,A7O_PILOT_REJECTED,2
C0093,NEGATIVE_CONTROL,3
C0094,A7O_PILOT_RESEARCH_CANDIDATE,3
C0095,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0095,A7O_PILOT_REJECTED,1
C0096,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0096,A7O_PILOT_RESEARCH_CANDIDATE,1
C0097,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0097,A7O_PILOT_RESEARCH_CANDIDATE,2
C0098,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0098,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0098,A7O_PILOT_REJECTED,1
C0099,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0099,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0100,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0100,A7O_PILOT_RESEARCH_CANDIDATE,2
C0101,A7O_PILOT_RESEARCH_CANDIDATE,3
C0102,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0103,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0103,A7O_PILOT_RESEARCH_CANDIDATE,1
C0104,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0104,A7O_PILOT_REJECTED,1
C0105,A7O_PILOT_MAY_VETOED_NEAR_MISS,3
C0106,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0106,A7O_PILOT_RESEARCH_CANDIDATE,1
C0107,A7O_PILOT_REJECTED,1
C0107,A7O_PILOT_RESEARCH_CANDIDATE,2
C0108,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0108,A7O_PILOT_REJECTED,1
C0108,A7O_PILOT_RESEARCH_CANDIDATE,1
C0109,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0109,A7O_PILOT_REJECTED,1
C0109,A7O_PILOT_RESEARCH_CANDIDATE,1
C0110,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0110,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0110,A7O_PILOT_RESEARCH_CANDIDATE,1
C0111,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0111,A7O_PILOT_RESEARCH_CANDIDATE,2
C0112,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0112,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0113,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0113,A7O_PILOT_REJECTED,1
C0113,A7O_PILOT_RESEARCH_CANDIDATE,1
C0114,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0114,A7O_PILOT_REJECTED,2
C0115,A7O_PILOT_REJECTED,3
C0116,A7O_PILOT_REJECTED,3
C0117,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0117,A7O_PILOT_REJECTED,1
C0118,A7O_PILOT_MAY_VETOED_NEAR_MISS,2
C0118,A7O_PILOT_REJECTED,1
C0119,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0119,A7O_PILOT_REJECTED,1
C0120,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0120,A7O_PILOT_REJECTED,1
C0120,A7O_PILOT_RESEARCH_CANDIDATE,1
C0121,A7O_PILOT_RESEARCH_CANDIDATE,3
C0122,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0122,A7O_PILOT_RESEARCH_CANDIDATE,2
C0123,A7O_PILOT_REJECTED,2
C0123,A7O_PILOT_RESEARCH_CANDIDATE,1
C0124,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0124,A7O_PILOT_REJECTED,1
C0125,A7O_PILOT_PRE_MAY_NEAR_MISS,1
C0125,A7O_PILOT_REJECTED,2
C0126,A7O_PILOT_PRE_MAY_NEAR_MISS,2
C0126,A7O_PILOT_RESEARCH_CANDIDATE,1
C0127,A7O_PILOT_MAY_VETOED_NEAR_MISS,1
C0127,A7O_PILOT_REJECTED,1
C0127,A7O_PILOT_RESEARCH_CANDIDATE,1
