decision,label_family,response_rows
HOLD_A7LS30a7ls30_num_s006_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,2018
HOLD_A7LS30a7ls30_num_s007_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,2015
HOLD_A7LS30a7ls30_num_s004_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,2007
HOLD_A7LS30a7ls30_num_s008_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1995
HOLD_A7LS30a7ls30_num_s005_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1977
HOLD_A7LS30a7ls30_num_s010_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1950
HOLD_A7LS30a7ls30_num_s009_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1945
HOLD_A7LS30a7ls30_num_s006_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1666
HOLD_A7LS30a7ls30_num_s006_PRE_MAY_UNSTABLE,L0_raw_forward_return,1666
HOLD_A7LS30a7ls30_num_s007_PRE_MAY_UNSTABLE,L0_raw_forward_return,1655
HOLD_A7LS30a7ls30_num_s007_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1655
HOLD_A7LS30a7ls30_num_s005_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1538
HOLD_A7LS30a7ls30_num_s005_PRE_MAY_UNSTABLE,L0_raw_forward_return,1538
HOLD_A7LS30a7ls30_num_s011_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1537
HOLD_A7LS30a7ls30_num_s008_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1471
HOLD_A7LS30a7ls30_num_s008_PRE_MAY_UNSTABLE,L0_raw_forward_return,1471
HOLD_A7LS30a7ls30_num_s006_CONTROL_DOMINATED,L7_ranked_future_return,1434
HOLD_A7LS30a7ls30_num_s012_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1417
HOLD_A7LS30a7ls30_num_s007_CONTROL_DOMINATED,L7_ranked_future_return,1401
HOLD_A7LS30a7ls30_num_s001_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1400
HOLD_A7LS30a7ls30_num_s009_PRE_MAY_UNSTABLE,L0_raw_forward_return,1398
HOLD_A7LS30a7ls30_num_s009_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1398
HOLD_A7LS30a7ls30_num_s005_CONTROL_DOMINATED,L7_ranked_future_return,1388
HOLD_A7LS30a7ls30_num_s001_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1379
HOLD_A7LS30a7ls30_num_s001_PRE_MAY_UNSTABLE,L0_raw_forward_return,1379
HOLD_A7LS30a7ls30_num_s004_CONTROL_DOMINATED,L7_ranked_future_return,1360
HOLD_A7LS30a7ls30_num_s002_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1360
HOLD_A7LS30a7ls30_num_s002_PRE_MAY_UNSTABLE,L0_raw_forward_return,1338
HOLD_A7LS30a7ls30_num_s002_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1338
HOLD_A7LS30a7ls30_num_s014_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1296
HOLD_A7LS30a7ls30_num_s012_PRE_MAY_UNSTABLE,L7_ranked_future_return,1288
HOLD_A7LS30a7ls30_num_s003_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,1274
HOLD_A7LS30a7ls30_num_s001_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1205
HOLD_A7LS30a7ls30_num_s002_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1193
HOLD_A7LS30a7ls30_num_s013_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1186
HOLD_A7LS30a7ls30_num_s014_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1162
HOLD_A7LS30a7ls30_num_s004_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1139
HOLD_A7LS30a7ls30_num_s004_PRE_MAY_UNSTABLE,L0_raw_forward_return,1139
HOLD_A7LS30a7ls30_num_s012_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1137
HOLD_A7LS30a7ls30_num_s013_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1133
HOLD_A7LS30a7ls30_num_s011_CONTROL_DOMINATED,L0_raw_forward_return,1122
HOLD_A7LS30a7ls30_num_s010_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,1120
HOLD_A7LS30a7ls30_num_s013_PRE_MAY_UNSTABLE,L7_ranked_future_return,1106
HOLD_A7LS30a7ls30_num_s011_CONTROL_DOMINATED,L1_cross_sectional_relative_return,1104
HOLD_A7LS30a7ls30_num_s000_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1094
HOLD_A7LS30a7ls30_num_s015_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,1086
HOLD_A7LS30a7ls30_num_s012_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1084
HOLD_A7LS30a7ls30_num_s015_PRE_MAY_UNSTABLE,L0_raw_forward_return,1084
HOLD_A7LS30a7ls30_num_s015_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1084
HOLD_A7LS30a7ls30_num_s012_PRE_MAY_UNSTABLE,L0_raw_forward_return,1084
HOLD_A7LS30a7ls30_num_s008_CONTROL_DOMINATED,L7_ranked_future_return,1058
HOLD_A7LS30a7ls30_num_s011_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,1057
HOLD_A7LS30a7ls30_num_s015_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,1049
HOLD_A7LS30a7ls30_num_s014_PRE_MAY_UNSTABLE,L0_raw_forward_return,1036
HOLD_A7LS30a7ls30_num_s014_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,1036
HOLD_A7LS30a7ls30_num_s000_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,981
HOLD_A7LS30a7ls30_num_s000_PRE_MAY_UNSTABLE,L0_raw_forward_return,981
HOLD_A7LS30a7ls30_num_s015_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,976
HOLD_A7LS30a7ls30_num_s013_CONTROL_DOMINATED,L0_raw_forward_return,971
HOLD_A7LS30a7ls30_num_s009_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,963
HOLD_A7LS30a7ls30_num_s013_CONTROL_DOMINATED,L1_cross_sectional_relative_return,959
HOLD_A7LS30a7ls30_num_s013_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,936
HOLD_A7LS30a7ls30_num_s013_PRE_MAY_UNSTABLE,L0_raw_forward_return,936
HOLD_A7LS30a7ls30_num_s004_CONTROL_DOMINATED,L1_cross_sectional_relative_return,909
HOLD_A7LS30a7ls30_num_s004_CONTROL_DOMINATED,L0_raw_forward_return,909
HOLD_A7LS30a7ls30_num_s009_PRE_MAY_UNSTABLE,L7_ranked_future_return,908
HOLD_A7LS30a7ls30_num_s011_CONTROL_DOMINATED,L7_ranked_future_return,893
HOLD_A7LS30a7ls30_num_s003_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,881
HOLD_A7LS30a7ls30_num_s010_CONTROL_DOMINATED,L7_ranked_future_return,872
HOLD_A7LS30a7ls30_num_s009_CONTROL_DOMINATED,L7_ranked_future_return,869
HOLD_A7LS30a7ls30_num_s008_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,866
HOLD_A7LS30a7ls30_num_s014_CONTROL_DOMINATED,L7_ranked_future_return,849
HOLD_A7LS30a7ls30_num_s003_PRE_MAY_UNSTABLE,L0_raw_forward_return,846
HOLD_A7LS30a7ls30_num_s003_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,846
HOLD_A7LS30a7ls30_num_s012_CONTROL_DOMINATED,L1_cross_sectional_relative_return,830
HOLD_A7LS30a7ls30_num_s004_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,825
HOLD_A7LS30a7ls30_num_s012_CONTROL_DOMINATED,L0_raw_forward_return,822
HOLD_A7LS30a7ls30_num_s002_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,806
HOLD_A7LS30a7ls30_num_s005_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,805
HOLD_A7LS30a7ls30_num_s000_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,805
HOLD_A7LS30a7ls30_num_s013_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,799
HOLD_A7LS30a7ls30_num_s010_CONTROL_DOMINATED,L1_cross_sectional_relative_return,795
HOLD_A7LS30a7ls30_num_s010_CONTROL_DOMINATED,L0_raw_forward_return,794
HOLD_A7LS30a7ls30_num_s001_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,794
HOLD_A7LS30a7ls30_num_s008_PRE_MAY_UNSTABLE,L7_ranked_future_return,785
HOLD_A7LS30a7ls30_num_s011_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,773
A7LS30a7ls30_num_s011_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,766
HOLD_A7LS30a7ls30_num_s013_CONTROL_DOMINATED,L7_ranked_future_return,761
HOLD_A7LS30a7ls30_num_s007_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,751
HOLD_A7LS30a7ls30_num_s010_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,749
HOLD_A7LS30a7ls30_num_s010_PRE_MAY_UNSTABLE,L0_raw_forward_return,749
HOLD_A7LS30a7ls30_num_s000_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,749
