system_id,seed,fit_rows,features,trees,runtime_seconds,fit_dates,sequence_length,epochs,turnover_penalty
QLIB_ALPHA158_LIGHTGBM,1701,2099.0,158,160.0,1.6489036999410018,,,,
QLIB_ALPHA158_LIGHTGBM,1709,2099.0,158,160.0,2.6846899000229314,,,,
QLIB_PRICE_KBAR_CONTROL,1701,2099.0,13,160.0,0.33074859995394945,,,,
QLIB_PRICE_KBAR_CONTROL,1709,2099.0,13,160.0,0.3986133000580594,,,,
DEEP_MOMENTUM_LSTM,1901,,7,,23.444005199940875,182.0,20.0,80.0,0.0005
DEEP_MOMENTUM_LSTM,1907,,7,,19.09093499998562,182.0,20.0,80.0,0.0005
DEEP_MOMENTUM_NO_TURNOVER_CONTROL,1901,,7,,18.147847199928947,182.0,20.0,80.0,0.0
DEEP_MOMENTUM_NO_TURNOVER_CONTROL,1907,,7,,18.577770499978215,182.0,20.0,80.0,0.0
