system_id,data_role,evaluation,observations,months,gross_mean,net_mean,net_lcb,annualized_sharpe,max_drawdown,positive_month_fraction,turnover_mean,coverage,runtime_seconds,complexity,failure_mode,behaviour_overlap
INTERNAL_FORMULA_20D_CS_MOMENTUM,DEVELOPMENT,COMMON,180,6,0.000352460753910616,0.00021755385247366015,-0.0010944683349548717,0.31095458177962304,-0.15917189180686986,0.5,0.26981380287391216,1.0,0.0,1.0,NONE,1.0
INTERNAL_FORMULA_20D_CS_MOMENTUM,CHALLENGE,COMMON,121,4,0.00020488187406724555,1.715136480171381e-05,-0.0016578101385767941,0.027272315949713348,-0.11821624464520253,0.5,0.3754610185310633,1.0,0.0,1.0,NONE,1.0
SIMPLE_ECONOMIC_20D_TSMOM,DEVELOPMENT,COMMON,180,6,0.0014750033010267653,0.001366985424645845,-0.001909419502871304,1.1896383894466604,-0.20964618703839155,0.6666666666666666,0.2160357527618409,1.0,0.0,2.0,NONE,0.18382874788816167
SIMPLE_ECONOMIC_20D_TSMOM,CHALLENGE,COMMON,121,4,-0.004430489954394352,-0.0045534311022297205,-0.006636262434674178,-3.3654876103641613,-0.5230170655642409,0.0,0.2458822956707362,1.0,0.0,2.0,NONE,0.18382874788816167
QLIB_ALPHA158_LIGHTGBM,DEVELOPMENT,COMMON,180,6,0.023193823672834006,0.02266520345425477,0.01727925791598985,28.554592304122103,0.0,1.0,1.0572404371584698,1.0,4.333593599963933,158.0,NONE,-0.13961214488619486
QLIB_ALPHA158_LIGHTGBM,CHALLENGE,COMMON,121,4,0.0010560129524908365,0.0005626139851723458,-0.0016794064978129268,0.9669517192835778,-0.10415834918942124,0.75,0.9867979346369807,1.0,4.333593599963933,158.0,NONE,-0.13961214488619486
QLIB_PRICE_KBAR_CONTROL,DEVELOPMENT,COMMON,180,6,0.017485044567181005,0.01683823471087661,0.012065597903481306,24.01711479001904,-0.0041887291588157405,1.0,1.2936197126087836,1.0,0.7293619000120088,13.0,NONE,-0.04148913649352561
QLIB_PRICE_KBAR_CONTROL,CHALLENGE,COMMON,121,4,0.0010294736001190234,0.0003758038926117602,-0.001747442890674544,0.5710004987458108,-0.12524980573548494,0.5,1.3073394150145263,1.0,0.7293619000120088,13.0,NONE,-0.04148913649352561
DEEP_MOMENTUM_LSTM,DEVELOPMENT,COMMON,180,6,0.0036204112014753035,0.0033173495035376294,-0.00043156915285118584,2.6877869590847308,-0.3442453551722998,0.8333333333333334,0.6061233958753479,1.0,42.534940199926496,112.0,NONE,-0.1394335279576668
DEEP_MOMENTUM_LSTM,CHALLENGE,COMMON,121,4,0.0014455339381580583,0.0010973200082466518,-0.00411857008697469,0.8754449219926569,-0.2669763980090534,0.5,0.6964278598228143,1.0,42.534940199926496,112.0,NONE,-0.1394335279576668
DEEP_MOMENTUM_NO_TURNOVER_CONTROL,DEVELOPMENT,COMMON,180,6,0.003661255901314803,0.0033572476713938813,-0.0003867158715698438,2.7218405235060104,-0.3425718717916386,0.8333333333333334,0.6080164598418398,1.0,36.72561769990716,112.0,NONE,-0.1438984219754081
DEEP_MOMENTUM_NO_TURNOVER_CONTROL,CHALLENGE,COMMON,121,4,0.0015155968914130828,0.0011648809449407028,-0.0040839140896276474,0.9342533405156533,-0.26118125129337877,0.5,0.7014318929447607,1.0,36.72561769990716,112.0,NONE,-0.1438984219754081
QLIB_ALPHA158_LIGHTGBM,DEVELOPMENT,NATIVE,180,6,0.029619521350975227,0.02856952135097523,0.01895386547483377,12.832575722211338,-0.10624109490491529,1.0,1.05,1.0,4.333593599963933,158.0,NONE,-0.13961214488619486
QLIB_ALPHA158_LIGHTGBM,CHALLENGE,NATIVE,121,4,0.002564651694591177,0.0015701613364644555,-0.0005699237297627302,0.800042166545771,-0.30359523025456125,0.75,0.9944903581267217,1.0,4.333593599963933,158.0,NONE,-0.13961214488619486
QLIB_PRICE_KBAR_CONTROL,DEVELOPMENT,NATIVE,180,6,0.022195264070689027,0.020886004811429767,0.012857240444768263,9.689321391917106,-0.14119567658706111,1.0,1.3092592592592591,1.0,0.7293619000120088,13.0,NONE,-0.04148913649352561
QLIB_PRICE_KBAR_CONTROL,CHALLENGE,NATIVE,121,4,0.0028270749169039353,0.0015240446138736331,-0.0019029334478493603,0.7571753929864148,-0.32096313471415605,0.75,1.303030303030303,1.0,0.7293619000120088,13.0,NONE,-0.04148913649352561
DEEP_MOMENTUM_LSTM,DEVELOPMENT,NATIVE,180,6,5.171433070079975e-06,2.7206855447451503e-06,-7.826329566897546e-05,0.11207664916943921,-0.011217311772164451,0.6666666666666666,0.008169158417782726,1.0,42.534940199926496,112.0,NONE,-0.1394335279576668
DEEP_MOMENTUM_LSTM,CHALLENGE,NATIVE,121,4,2.211636229933245e-05,1.9167957085463333e-05,-6.224289226383112e-05,0.8435587515909846,-0.005183716637886526,0.5,0.009828017379563724,1.0,42.534940199926496,112.0,NONE,-0.1394335279576668
DEEP_MOMENTUM_NO_TURNOVER_CONTROL,DEVELOPMENT,NATIVE,180,6,5.314299943339753e-06,2.861257841106259e-06,-7.789905981522247e-05,0.11802642089232794,-0.011177205807168189,0.6666666666666666,0.008176807007444943,1.0,36.72561769990716,112.0,NONE,-0.1438984219754081
DEEP_MOMENTUM_NO_TURNOVER_CONTROL,CHALLENGE,NATIVE,121,4,2.299026668042519e-05,2.003898098767323e-05,-6.1005887315794085e-05,0.8981107543678287,-0.004986905144474196,0.5,0.009837618975839851,1.0,36.72561769990716,112.0,NONE,-0.1438984219754081
