candidate_id,proposed_subgraph_id,semantic_bucket,motif_bucket,generation_mode,expression,raw_inputs,status,error,rows,non_null_rows,finite_rows,active_rows,non_null_ratio,active_ratio,std
a7ffcore11e_08873be32daaf18f8f,sgx_540d11f3aa1e7dc996,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,72))",trade_volume,ok,,6949596,6913242,6913242,6909129,0.9947689045521496,0.9941770715880462,79325404930.47536
a7ffcore11e_0bd2f928b5872ede39,sgx_1f9cc20309cede8b84,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,6))",trade_volume,ok,,6949596,6946110,6946110,6941403,0.9994983881077404,0.9988210825492588,64345319084.33523
a7ffcore11e_0dd21d80949fec5fb7,sgx_6d38c3f41175d91973,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,16))",trade_volume,ok,,6949596,6941130,6941130,6936513,0.9987817996902266,0.9981174445248328,72875537956.21237
a7ffcore11e_13264b1d3d4cecd510,sgx_01bddf093e7bfeb7a8,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),2)),Delta(trade_count_168h,24))",trade_count_168h,ok,,6949596,6626394,6626394,6622065,0.9534934117033566,0.9528704977958432,65604.56071162387
a7ffcore11e_182f68b6ba2a032d4a,sgx_4d2c24838ff00b5802,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,72))",trade_volume,ok,,6949596,6913242,6913242,6909129,0.9947689045521496,0.9941770715880462,79340249323.68921
a7ffcore11e_18542b23c0df88c9e3,sgx_aeb8bd6ce2a5f3eb2e,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,72))",trade_count_168h,ok,,6949596,6602988,6602988,6599082,0.950125446141042,0.94956339908104,111774.65596334227
a7ffcore11e_1c0ea6a158e2272181,sgx_946b6d0969a6f95bfc,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),4)),Delta(trade_volume,32))",trade_volume,ok,,6949596,6933162,6933162,6928689,0.9976352582222046,0.9969916236857508,77105651369.5403
a7ffcore11e_1c294ee13a07d9e36a,sgx_3c8b93e2f6fa8e9d5b,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,24))",trade_volume,ok,,6949596,6937146,6937146,6932601,0.9982085289562156,0.9975545341052918,73493934156.71346
a7ffcore11e_1e0cb752c5faf8d4ec,sgx_13f64762390a6ea75a,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,16))",trade_count_168h,ok,,6949596,6625398,6625398,6621087,0.9533500940198538,0.9527297701909578,40865.6259623113
a7ffcore11e_243f32b909d9469672,sgx_34b3cfd09e800cec28,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,12))",trade_volume,ok,,6949596,6943122,6943122,6938469,0.999068435057232,0.9983988997346032,69359092796.11089
a7ffcore11e_244bc5af746086ac32,sgx_e27f463c533df68bba,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),3)),Delta(trade_count_168h,12))",trade_count_168h,ok,,6949596,6625896,6625896,6621576,0.9534217528616052,0.9528001339934004,30709.391612677427
a7ffcore11e_249ea435c032b9b694,sgx_ad968d07136d454902,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,4))",trade_volume,ok,,6949596,6947106,6947106,6942381,0.9996417057912432,0.9989618101541442,61997843772.18383
a7ffcore11e_29d746447d38664022,sgx_cb7cafc7d47fca9003,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),2)),Delta(trade_count_168h,32))",trade_count_168h,ok,,6949596,6622908,6622908,6618642,0.9529917998110968,0.9523779511787448,79295.05137455888
a7ffcore11e_2a813d4a66f1f8183d,sgx_9c3bd94dd2c5be079d,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),3)),Delta(trade_count_168h,4))",trade_count_168h,ok,,6949596,6625896,6625896,6621576,0.9534217528616052,0.9528001339934004,10125.934937393617
a7ffcore11e_343267f2e7087f5d25,sgx_12f4c009c67c59b67f,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,12))",trade_count_168h,ok,,6949596,6625398,6625398,6621087,0.9533500940198538,0.9527297701909578,30289.71134997989
a7ffcore11e_351ac7e31e9ae0d389,sgx_6b7580a796caac43f8,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),4)),Delta(trade_count_168h,32))",trade_count_168h,ok,,6949596,6622908,6622908,6618642,0.9529917998110968,0.9523779511787448,79963.86989071425
a7ffcore11e_367ac18bfb4b2ddd30,sgx_1915e3faee008d5266,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),2)),Delta(trade_count_168h,12))",trade_count_168h,ok,,6949596,6626394,6626394,6622065,0.9534934117033566,0.9528704977958432,31140.329375934205
a7ffcore11e_3a127ba1e5d07bad06,sgx_e0d34436d45868ea35,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),2)),Delta(trade_volume,3))",trade_volume,ok,,6949596,6947106,6947106,6942381,0.9996417057912432,0.9989618101541442,59578003697.75023
a7ffcore11e_3bbaa7588ab71e0a2e,sgx_851686ab96178bb479,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),3)),Delta(trade_count_168h,32))",trade_count_168h,ok,,6949596,6622908,6622908,6618642,0.9529917998110968,0.9523779511787448,79637.65323271933
a7ffcore11e_3e8653b7c83fd2a5b4,sgx_90d6ac4788a0a31757,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Mean(trade_volume,4),3)),Delta(trade_volume,6))",trade_volume,ok,,6949596,6946110,6946110,6941403,0.9994983881077404,0.9988210825492588,64197729825.91302
a7ffcore11e_430ff18833681d881c,sgx_e13984b6b598c5885e,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),2)),Delta(trade_count_168h,8))",trade_count_168h,ok,,6949596,6626394,6626394,6622064,0.9534934117033566,0.9528703539025866,20617.831865266413
a7ffcore11e_4bf0e639317c5974b5,sgx_15a6afedeedcb06d16,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),2)),Delta(trade_count_168h,6))",trade_count_168h,ok,,6949596,6626394,6626394,6622065,0.9534934117033566,0.9528704977958432,15456.919503965964
a7ffcore11e_4e324155d75d50457e,sgx_d11e4e4575364625c8,liquidity_like,single,seed_field_mul_delta,"Mul(ZScore(Mean(Delta(trade_count_168h,24),3)),Delta(trade_count_168h,96))",trade_count_168h,ok,,6949596,6591036,6591036,6587346,0.9484056339390088,0.9478746678224172,123674.62801248192
