candidate_id,decision,reasons,warnings,label_t1_positive_premay_splits,label_t2_positive_premay_splits,one_bar_lag_positive_premay_splits,latent_positive_premay_splits,net_10bps_positive_premay_splits,control_ratio_premay_max,top_symbol_abs_contribution_share,top_month_abs_contribution_share,top_latent_abs_contribution_share
a7al2q_69d146749c30da3c,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.6386744001375635,0.044961937240661845,0.29699041662742115,0.20294125371524424
a7al2q_3abec814a5c6d0df,HOLD_A7AL2R_LATENT_FRAGILE,timevarying_latent_fragile,control_close,3,3,3,2,3,0.8201729427179055,0.04306876997263128,0.31392964435599346,0.2019342594007362
a7al2q_1378ff7d2322adee,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.5977895485931952,0.04454982722640114,0.2897293591915247,0.2035102347394666
a7al2q_a4993fe3273bf0c8,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.9553990254446422,0.04454058758313747,0.29625276457521205,0.20292010154117915
a7al2q_0de0d41346741bd1,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.6438314312964573,0.044555804828024695,0.2892728857383039,0.20361290718495687
a7al2q_5da100b2822dc1a6,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.7821360461711647,0.04449003718462261,0.28653304061132656,0.20289331674848524
a7al2q_132c2a7c6c4a9142,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.8147654685480294,0.04470307788735621,0.28188825600004297,0.20723435620732272
a7al2q_f00f22bbcc48dc2c,A7AL2R_LOCAL_FORENSIC_PASS,,,3,3,3,3,3,0.7371290356519459,0.0450271148930863,0.28523575711057514,0.20462594298810213
a7al2q_d6f7ebc0dbbdda7a,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.8138625769990896,0.0450585090983562,0.28653162352600947,0.20460411514145277
a7al2q_6671d1fac5e57efe,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.8901761602600439,0.04496547717414799,0.2787882254441636,0.20698635823036168
a7al2q_33d51890b0068eb6,HOLD_A7AL2R_CONTROL_DOMINATED,control_dominated,,3,3,3,3,3,1.6375358012984886,0.044728091738281774,0.2792374071248341,0.20702780197168996
a7al2q_100786d679e5b988,HOLD_A7AL2R_LATENT_FRAGILE,timevarying_latent_fragile,,3,3,3,2,3,0.7837193150370825,0.043586388393671106,0.33478387020472694,0.20583606413287256
a7al2q_2ec6136e6ff32eb3,A7AL2R_LOCAL_FORENSIC_PASS,,control_close,3,3,3,3,3,0.9289268616254807,0.0446373549356572,0.2836110120897562,0.20713870608204057
a7al2q_ca72f5849cff347a,HOLD_A7AL2R_LATENT_FRAGILE,timevarying_latent_fragile,control_close,3,3,3,2,3,0.9186554799806426,0.04315488386641445,0.33826234594290316,0.20604502751698575
