candidate_id,entry_label,split,original_abs_spread,max_control_abs_spread,control_ratio,gate
a7al2q_1378ff7d2322adee,label_t1_to_t25,train_2024,0.0016542222867750324,0.0014419127984587451,0.8716560101906301,WARN_CONTROL_CLOSE
a7al2q_1378ff7d2322adee,label_t1_to_t25,validation_2025H1,0.0013906428607702327,0.0007973050275972427,0.5733355774433997,ELIGIBLE_DIAGNOSTIC
a7al2q_1378ff7d2322adee,label_t2_to_t26,known_may2026_stress,0.0018621614500395664,0.0021040283281332913,1.1298850204898108,HOLD_CONTROL_DOMINATED
a7al2q_1378ff7d2322adee,label_t2_to_t26,recent_oos_2026JanApr,0.002002306520085158,0.0012013052624764765,0.5999607205121548,ELIGIBLE_DIAGNOSTIC
a7al2q_1378ff7d2322adee,label_t2_to_t26,test_2025H2,0.0018586250105422984,0.0010605064394985976,0.5705865537606046,ELIGIBLE_DIAGNOSTIC
a7al2q_1378ff7d2322adee,label_t2_to_t26,train_2024,0.0016992336587023495,0.0014391777572180986,0.8469569501802081,WARN_CONTROL_CLOSE
a7al2q_1378ff7d2322adee,label_t2_to_t26,validation_2025H1,0.001373214361808825,0.0008024494946615916,0.5843585072942212,ELIGIBLE_DIAGNOSTIC
a7al2q_2ec6136e6ff32eb3,label_t1_to_t25,known_may2026_stress,0.0018624487931047347,0.002189554299592449,1.1756319463379306,HOLD_CONTROL_DOMINATED
a7al2q_2ec6136e6ff32eb3,label_t1_to_t25,recent_oos_2026JanApr,0.0017352263347542478,0.0011978077506167052,0.6902890571830477,ELIGIBLE_DIAGNOSTIC
a7al2q_2ec6136e6ff32eb3,label_t1_to_t25,test_2025H2,0.001731323287281739,0.0016082727077137364,0.9289268616254807,WARN_CONTROL_CLOSE
a7al2q_2ec6136e6ff32eb3,label_t1_to_t25,train_2024,0.0017975931457237249,0.00161929939783279,0.9008152938749928,WARN_CONTROL_CLOSE
a7al2q_2ec6136e6ff32eb3,label_t1_to_t25,validation_2025H1,0.001199924507907205,0.0009362699708282446,0.780274062791832,ELIGIBLE_DIAGNOSTIC
a7al2q_2ec6136e6ff32eb3,label_t2_to_t26,known_may2026_stress,0.0018924069640681568,0.002199739503555201,1.162402984834913,HOLD_CONTROL_DOMINATED
