"stage","shard","offset","limit","process_id","runtime","report","out_log","err_log","script","launched_at"
"A7FF-19S00","00","0","28","14148","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_numeric_confirmation_shard_00","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF19S00_COMPANY_NUMERIC_CONFIRMATION_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_parallel\a7ff19s00.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_parallel\a7ff19s00.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_parallel\run_a7ff19s00.ps1","2026-05-30T13:04:17.8644422+08:00"
"A7FF-19S01","01","28","28","21104","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_numeric_confirmation_shard_01","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\reports\CRYPTO_A7FF19S01_COMPANY_NUMERIC_CONFIRMATION_20260530.md","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_parallel\a7ff19s01.out.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_parallel\a7ff19s01.err.log","D:\HermesWorker\GDrive\Project_V7_Rotation\alpha_pit_engine_crypto_20260519_remote\runtime\a7ff19_company_parallel\run_a7ff19s01.ps1","2026-05-30T13:04:17.8834423+08:00"
