seed_id,semantic_pair,operator,operator_origin,expression,materialization_status,rows,non_null_rows,finite_rows,nan_rows,inf_rows,active_rows,non_null_ratio,active_ratio,std,stale_signal,sign_flip_signal,time_shuffle_signal,symbol_shuffle_signal,stale_signal_corr,sign_flip_signal_corr,time_shuffle_signal_corr,symbol_shuffle_signal_corr,abs_stale_corr,abs_time_shuffle_corr,abs_symbol_shuffle_corr,active_ratio_num
a7ffcore48se_0021,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,4)),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6937156,6937156,12440,0,0,0.99821,0.0,0.0,6937156,6937156,6925702,6916136,,,,,,,,0.0
a7ffcore48se_0024,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6937250,6937250,12346,0,0,0.998223,0.0,0.0,6937250,6937250,6925796,6916230,,,,,,,,0.0
a7ffcore48se_0025,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6937156,6937156,12440,0,0,0.99821,0.0,0.0,6937156,6937156,6925702,6916136,,,,,,,,0.0
a7ffcore48se_0026,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(is_forward_only,16)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0027,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(is_forward_only,4)))",fail_inactive_or_empty,6949596,6937156,6937156,12440,0,0,0.99821,0.0,0.0,6937156,6937156,6925702,6916136,,,,,,,,0.0
a7ffcore48se_0050,basis_premium_like|state_or_taxonomy,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(raw_latent_state_id,4)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0051,basis_premium_like|state_or_taxonomy,Delta,native,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(raw_latent_state_id,4)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0293,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,8)),Sign(Delta(is_forward_only,8)))",fail_inactive_or_empty,6949596,6935152,6935152,14444,0,0,0.997922,0.0,0.0,6935152,6935152,6923698,6914136,,,,,,,,0.0
a7ffcore48se_0296,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_forward_only,8)))",fail_inactive_or_empty,6949596,6935338,6935338,14258,0,0,0.997948,0.0,0.0,6935338,6935338,6923884,6914322,,,,,,,,0.0
a7ffcore48se_0297,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,8)),Sign(Delta(is_forward_only,8)))",fail_inactive_or_empty,6949596,6935152,6935152,14444,0,0,0.997922,0.0,0.0,6935152,6935152,6923698,6914136,,,,,,,,0.0
a7ffcore48se_0298,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,8)),ZScore(Mean(is_forward_only,32)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0299,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,8)),-3,3),Sign(Delta(is_forward_only,8)))",fail_inactive_or_empty,6949596,6935152,6935152,14444,0,0,0.997922,0.0,0.0,6935152,6935152,6923698,6914136,,,,,,,,0.0
a7ffcore48se_0322,basis_premium_like|state_or_taxonomy,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(raw_latent_state_id,8)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0323,basis_premium_like|state_or_taxonomy,Delta,native,"Mul(Delta(mark_trade_basis_bps,8),ZScore(Delta(raw_latent_state_id,8)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0564,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,24)),Sign(Delta(is_forward_only,24)))",fail_inactive_or_empty,6949596,6927136,6927136,22460,0,0,0.996768,0.0,0.0,6927136,6927136,6915682,6906136,,,,,,,,0.0
a7ffcore48se_0567,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_forward_only,24)))",fail_inactive_or_empty,6949596,6927690,6927690,21906,0,0,0.996848,0.0,0.0,6927690,6927690,6916236,6906690,,,,,,,,0.0
a7ffcore48se_0568,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,24)),Sign(Delta(is_forward_only,24)))",fail_inactive_or_empty,6949596,6927136,6927136,22460,0,0,0.996768,0.0,0.0,6927136,6927136,6915682,6906136,,,,,,,,0.0
a7ffcore48se_0569,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,24)),ZScore(Mean(is_forward_only,96)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0570,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,24)),-3,3),Sign(Delta(is_forward_only,24)))",fail_inactive_or_empty,6949596,6927136,6927136,22460,0,0,0.996768,0.0,0.0,6927136,6927136,6915682,6906136,,,,,,,,0.0
a7ffcore48se_0593,basis_premium_like|state_or_taxonomy,CSRank,native,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(raw_latent_state_id,24)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0594,basis_premium_like|state_or_taxonomy,Delta,native,"Mul(Delta(mark_trade_basis_bps,24),ZScore(Delta(raw_latent_state_id,24)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
a7ffcore48se_0835,basis_premium_like|generic_numeric,AbsDelta,repaired_native_proxy,"Mul(Abs(Delta(index_close,72)),Sign(Delta(is_forward_only,72)))",fail_inactive_or_empty,6949596,6903088,6903088,46508,0,0,0.993308,0.0,0.0,6903088,6903088,6891634,6882136,,,,,,,,0.0
a7ffcore48se_0838,basis_premium_like|generic_numeric,Identity,native,"Mul(ZScore(index_close),Sign(Delta(is_forward_only,72)))",fail_inactive_or_empty,6949596,6904746,6904746,44850,0,0,0.993546,0.0,0.0,6904746,6904746,6893292,6883794,,,,,,,,0.0
a7ffcore48se_0839,basis_premium_like|generic_numeric,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,72)),Sign(Delta(is_forward_only,72)))",fail_inactive_or_empty,6949596,6903088,6903088,46508,0,0,0.993308,0.0,0.0,6903088,6903088,6891634,6882136,,,,,,,,0.0
a7ffcore48se_0840,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,72)),ZScore(Mean(is_forward_only,288)))",fail_inactive_or_empty,6949596,0,0,6949596,0,0,0.0,0.0,,0,0,0,0,,,,,,,,0.0
