seed_lane,cost_bps,median_cost_adjusted_spread,median_control_ratio,median_one_bar_lag_spread,candidate_count
S0_positioning_price_basis,2,0.0002459773374613,0.5572324529857349,0.0001513433707902,31
S1_liquidity_basis_positioning,2,0.0004360589150924,0.718863599896951,0.0002287889019636,33
S2_taker_flow_liquidity_oi,2,1.379562517065812e-05,1.7213478323454674,2.9762164700762497e-06,12
S3_cross_family_bridge,2,0.0010639942543351501,0.7182607889179484,0.0007734102008403,20
S0_positioning_price_basis,5,-0.0003540226625386,0.5572324529857349,0.0001513433707902,31
S1_liquidity_basis_positioning,5,-0.0001639410849075,0.718863599896951,0.0002287889019636,33
S2_taker_flow_liquidity_oi,5,-0.0005862043748293,1.7213478323454674,2.9762164700762497e-06,12
S3_cross_family_bridge,5,0.00046399425433514996,0.7182607889179484,0.0007734102008403,20
S0_positioning_price_basis,10,-0.0013540226625386,0.5572324529857349,0.0001513433707902,31
S1_liquidity_basis_positioning,10,-0.0011639410849075,0.718863599896951,0.0002287889019636,33
S2_taker_flow_liquidity_oi,10,-0.0015862043748292999,1.7213478323454674,2.9762164700762497e-06,12
S3_cross_family_bridge,10,-0.00053600574566475,0.7182607889179484,0.0007734102008403,20
S0_positioning_price_basis,20,-0.0033540226625386,0.5572324529857349,0.0001513433707902,31
S1_liquidity_basis_positioning,20,-0.0031639410849075,0.718863599896951,0.0002287889019636,33
S2_taker_flow_liquidity_oi,20,-0.0035862043748293,1.7213478323454674,2.9762164700762497e-06,12
S3_cross_family_bridge,20,-0.00253600574566475,0.7182607889179484,0.0007734102008403,20
